tf,target,mode,weight,confidence
TP53,BCL2,Repression,-1.0,A
MITF,PMEL,Activation,1.0,A
MITF,HERC2,Activation,1.0,A
MITF,GPNMB,Activation,1.0,A
MITF,CDK2,Activation,1.0,A
MITF,BCL2A1,Repression,-1.0,A
MEF2D,SOST,Repression,-1.0,A
MEF2D,ATF3,Activation,1.0,A
MEF2C,SOST,Repression,-1.0,A
MEF2C,CPT1B,Activation,1.0,A
MITF,PRKCB,Activation,1.0,A
MEF2C,NR4A1,Repression,-1.0,A
LEF1,TCF3,Activation,1.0,A
LEF1,NT5E,Activation,1.0,A
LEF1,CCL7,Activation,1.0,A
LEF1,BIRC5,Activation,1.0,A
KLF6,LTC4S,Activation,1.0,A
KLF5,NOTCH1,Activation,1.0,A
KLF4,THBD,Activation,1.0,A
KLF10,CDKN1A,Activation,1.0,A
LEF1,NRCAM,Activation,1.0,A
LHX4,POU1F1,Activation,1.0,A
MITF,SERPINF1,Activation,1.0,A
MSC,IL10,Activation,1.0,A
MSC,MMP2,Activation,1.0,A
NANOG,L1TD1,Activation,1.0,A
NANOG,GATA4,Repression,-1.0,A
NANOG,CDX2,Repression,-1.0,A
MYC,WRN,Activation,1.0,A
MYC,TFAP4,Activation,1.0,A
MYC,ST3GAL1,Activation,1.0,A
MYC,SHMT1,Activation,1.0,A
MYC,HLA-F,Activation,1.0,A
MYC,HDAC2,Activation,1.0,A
MYC,ASS1,Activation,1.0,A
MYBL2,PSG1,Activation,1.0,A
MYBL1,NCL,Activation,1.0,A
MYB,WAS,Activation,1.0,A
MYB,TK1,Activation,1.0,A
MYB,NMU,Activation,1.0,A
MZF1,MYB,Activation,1.0,A
NFKB1,COL1A1,Repression,-1.0,A
MYB,GSTM1,Activation,1.0,A
MYB,SIM2,Activation,1.0,A
MYB,COL1A1,Activation,1.0,A
MYB,CEBPA,Activation,1.0,A
JUND,ITGB3,Repression,-1.0,A
NANOG,LAMB1,Repression,-1.0,A
JUND,ITGAV,Repression,-1.0,A
JUN,VCAM1,Activation,1.0,A
IRF3,PURA,Repression,-1.0,A
IRF3,IRF7,Activation,1.0,A
IRF1,IL10,Activation,1.0,A
IRF1,CASP7,Activation,1.0,A
HSF2,MAPK8,Repression,-1.0,A
HSF2,MAP2K4,Repression,-1.0,A
HOXD3,ITGB3,Activation,1.0,A
HOXD3,ITGB1,Activation,1.0,A
HOXC8,TNFRSF11B,Activation,1.0,A
IRF4,FCER2,Activation,1.0,A
HOXB13,TCF4,Repression,-1.0,A
HOXA4,TH,Activation,1.0,A
HOXA10,ITGB3,Activation,1.0,A
HNF4G,CYP2D6,Activation,1.0,A
HNF4A,TCF7L2,Activation,1.0,A
HNF4A,TBP,Activation,1.0,A
HNF4A,SERPINC1,Activation,1.0,A
HNF4A,PCSK9,Activation,1.0,A
HNF4A,LDLR,Activation,1.0,A
HNF4A,GPR39,Activation,1.0,A
HOXA5,TH,Activation,1.0,A
IRF5,TNF,Activation,1.0,A
IRF7,CXCL10,Activation,1.0,A
IRF7,IFNA2,Activation,1.0,A
