pathway,gene
IL-6/JAK/STAT3 Signaling,IL4R
IL-6/JAK/STAT3 Signaling,IL6ST
IL-6/JAK/STAT3 Signaling,STAT1
IL-6/JAK/STAT3 Signaling,IL1R1
IL-6/JAK/STAT3 Signaling,CSF2RB
IL-6/JAK/STAT3 Signaling,SOCS3
IL-6/JAK/STAT3 Signaling,STAT3
IL-6/JAK/STAT3 Signaling,OSMR
IL-6/JAK/STAT3 Signaling,IL2RG
IL-6/JAK/STAT3 Signaling,IFNGR1
IL-6/JAK/STAT3 Signaling,TYK2
IL-6/JAK/STAT3 Signaling,IL13RA1
IL-6/JAK/STAT3 Signaling,TLR2
IL-6/JAK/STAT3 Signaling,IFNGR2
IL-6/JAK/STAT3 Signaling,IL10RB
IL-6/JAK/STAT3 Signaling,IL6
IL-6/JAK/STAT3 Signaling,IL1R2
IL-6/JAK/STAT3 Signaling,IL3RA
IL-6/JAK/STAT3 Signaling,IFNAR1
IL-6/JAK/STAT3 Signaling,TNFRSF1A
IL-6/JAK/STAT3 Signaling,MYD88
IL-6/JAK/STAT3 Signaling,ACVR1B
IL-6/JAK/STAT3 Signaling,CSF3R
IL-6/JAK/STAT3 Signaling,ITGB3
IL-6/JAK/STAT3 Signaling,REG1A
IL-6/JAK/STAT3 Signaling,CXCL1
IL-6/JAK/STAT3 Signaling,A2M
IL-6/JAK/STAT3 Signaling,CSF2RA
IL-6/JAK/STAT3 Signaling,IL15RA
IL-6/JAK/STAT3 Signaling,IRF9
IL-6/JAK/STAT3 Signaling,PDGFC
IL-6/JAK/STAT3 Signaling,HAX1
IL-6/JAK/STAT3 Signaling,BAK1
IL-6/JAK/STAT3 Signaling,EBI3
IL-6/JAK/STAT3 Signaling,INHBE
IL-6/JAK/STAT3 Signaling,CRLF2
IL-6/JAK/STAT3 Signaling,TNFRSF1B
IL-6/JAK/STAT3 Signaling,CD14
IL-6/JAK/STAT3 Signaling,PTPN1
IL-6/JAK/STAT3 Signaling,PTPN2
IL-6/JAK/STAT3 Signaling,IL1B
IL-6/JAK/STAT3 Signaling,CSF1
IL-6/JAK/STAT3 Signaling,IL18R1
IL-6/JAK/STAT3 Signaling,TNF
IL-6/JAK/STAT3 Signaling,PF4
IL-6/JAK/STAT3 Signaling,CXCL13
IL-6/JAK/STAT3 Signaling,LTBR
IL-6/JAK/STAT3 Signaling,FAS
IL-6/JAK/STAT3 Signaling,IL17RA
IL-6/JAK/STAT3 Signaling,CXCL10
