pathway,gene,source
Interferon Signaling,AAAS,Reactome_Pathways_2024
Interferon Signaling,ABCE1,Reactome_Pathways_2024
Interferon Signaling,ADAR,Reactome_Pathways_2024
Interferon Signaling,APITD1,Reactome_Pathways_2024
Interferon Signaling,ARIH1,Reactome_Pathways_2024
Interferon Signaling,B2M,Reactome_Pathways_2024
Interferon Signaling,BECN1,Reactome_Pathways_2024
Interferon Signaling,BST2,Reactome_Pathways_2024
Interferon Signaling,CAMK2A,Reactome_Pathways_2024
Interferon Signaling,CAMK2B,Reactome_Pathways_2024
Interferon Signaling,CAMK2D,Reactome_Pathways_2024
Interferon Signaling,CAMK2G,Reactome_Pathways_2024
Interferon Signaling,CD44,Reactome_Pathways_2024
Interferon Signaling,CDK1,Reactome_Pathways_2024
Interferon Signaling,CHUK,Reactome_Pathways_2024
Interferon Signaling,CIITA,Reactome_Pathways_2024
Interferon Signaling,DHX9,Reactome_Pathways_2024
Interferon Signaling,DNAJC3,Reactome_Pathways_2024
Interferon Signaling,DUS2,Reactome_Pathways_2024
Interferon Signaling,EGR1,Reactome_Pathways_2024
Interferon Signaling,EIF2AK2,Reactome_Pathways_2024
Interferon Signaling,EIF2S1,Reactome_Pathways_2024
Interferon Signaling,EIF2S2,Reactome_Pathways_2024
Interferon Signaling,EIF2S3,Reactome_Pathways_2024
Interferon Signaling,EIF4A1,Reactome_Pathways_2024
Interferon Signaling,EIF4A2,Reactome_Pathways_2024
Interferon Signaling,EIF4A3,Reactome_Pathways_2024
Interferon Signaling,EIF4E,Reactome_Pathways_2024
Interferon Signaling,EIF4E2,Reactome_Pathways_2024
Interferon Signaling,EIF4E3,Reactome_Pathways_2024
Interferon Signaling,EIF4G1,Reactome_Pathways_2024
Interferon Signaling,EIF4G2,Reactome_Pathways_2024
Interferon Signaling,EIF4G3,Reactome_Pathways_2024
Interferon Signaling,FAAP100,Reactome_Pathways_2024
Interferon Signaling,FAAP20,Reactome_Pathways_2024
Interferon Signaling,FAAP24,Reactome_Pathways_2024
Interferon Signaling,FANCA,Reactome_Pathways_2024
Interferon Signaling,FANCB,Reactome_Pathways_2024
Interferon Signaling,FANCC,Reactome_Pathways_2024
Interferon Signaling,FANCE,Reactome_Pathways_2024
Interferon Signaling,FANCF,Reactome_Pathways_2024
Interferon Signaling,FANCG,Reactome_Pathways_2024
Interferon Signaling,FANCL,Reactome_Pathways_2024
Interferon Signaling,FANCM,Reactome_Pathways_2024
Interferon Signaling,FCGR1A,Reactome_Pathways_2024
Interferon Signaling,FCGR1B,Reactome_Pathways_2024
Interferon Signaling,FCGR1BP,Reactome_Pathways_2024
Interferon Signaling,FLNA,Reactome_Pathways_2024
Interferon Signaling,FLNB,Reactome_Pathways_2024
Interferon Signaling,GBP1,Reactome_Pathways_2024
Interferon Signaling,GBP2,Reactome_Pathways_2024
Interferon Signaling,GBP3,Reactome_Pathways_2024
Interferon Signaling,GBP4,Reactome_Pathways_2024
