tf,target,mode,weight,confidence
AHR,CYP1A1,Activation,1.0,A
AHR,CYP1A2,Activation,1.0,A
AHR,CYP1B1,Activation,1.0,A
AHR,FOS,Activation,1.0,A
AHR,MYC,Activation,1.0,A
AHR,UGT1A6,Activation,1.0,A
AR,AKR1C3,Repression,-1.0,A
AR,AKT1,Activation,1.0,A
AR,CDC6,Activation,1.0,A
AR,CDH2,Activation,1.0,A
AR,CDKN1A,Activation,1.0,A
AR,CRISP1,Activation,1.0,A
AR,EGFR,Repression,-1.0,A
AR,ERBB3,Activation,1.0,A
AR,FOXA1,Activation,1.0,A
AR,GTF2F1,Activation,1.0,A
AR,IGF1R,Activation,1.0,A
AR,IGFBP3,Activation,1.0,A
AR,JUN,Activation,1.0,A
AR,KLF5,Activation,1.0,A
AR,KLK2,Activation,1.0,A
AR,KLK3,Activation,1.0,A
AR,KLK4,Activation,1.0,A
AR,MED1,Activation,1.0,A
AR,MID1,Activation,0.5,B
AR,MUC1,Repression,-1.0,A
AR,MYC,Activation,1.0,A
AR,NDRG1,Activation,1.0,A
AR,NKX3-1,Activation,1.0,A
AR,PIGR,Activation,1.0,A
AR,PMEPA1,Activation,1.0,A
AR,PNRC1,Activation,1.0,A
AR,PTGS2,Repression,-1.0,A
AR,RELA,Repression,-1.0,A
AR,SERPINB5,Repression,-1.0,A
AR,TMPRSS2,Activation,1.0,A
AR,TRPS1,Activation,1.0,A
AR,UGT2B15,Activation,1.0,A
AR,VEGFA,Activation,1.0,A
ARNT,BHLHE40,Activation,1.0,A
ARNT,CYP1B1,Activation,1.0,A
ARNT,EPO,Activation,1.0,A
ARNT,ESR1,Activation,0.5,B
ARNT,UGT1A6,Activation,1.0,A
ARNT,VEGFA,Activation,1.0,A
ASCL1,PCSK6,Repression,-1.0,A
ATF1,BCL2,Activation,1.0,A
ATF1,CCNA1,Repression,-1.0,A
ATF1,CFTR,Activation,1.0,A
ATF1,CGA,Activation,1.0,A
ATF1,CYP11B1,Activation,1.0,A
ATF1,CYP11B2,Activation,1.0,A
ATF1,ERBB2,Activation,1.0,A
ATF1,FLT1,Activation,1.0,A
ATF1,IL10,Activation,1.0,A
ATF1,LDHA,Activation,1.0,A
ATF1,MAP1LC3B,Activation,1.0,A
ATF1,NTS,Activation,1.0,A
ATF1,PCSK1,Activation,1.0,A
ATF1,PLAUR,Activation,1.0,A
ATF1,SLC20A1,Activation,1.0,A
ATF1,TGFB2,Activation,1.0,A
ATF1,TH,Activation,1.0,A
ATF1,TOP2A,Activation,1.0,A
ATF2,APOC3,Activation,1.0,A
ATF2,ATF3,Activation,1.0,A
ATF2,CCND1,Activation,1.0,A
ATF2,CDKN1A,Activation,1.0,A
ATF2,CYP11B1,Activation,1.0,A
ATF2,CYP11B2,Activation,1.0,A
ATF2,DUSP1,Activation,1.0,A
ATF2,DUSP10,Activation,0.5,B
ATF2,FN1,Activation,1.0,A
ATF2,IFNB1,Activation,1.0,A
ATF2,IFNG,Activation,1.0,A
ATF2,IMPDH2,Activation,1.0,A
ATF2,INS,Activation,1.0,A
ATF2,JUN,Activation,1.0,A
ATF2,MMP2,Activation,1.0,A
ATF2,NOS3,Repression,-1.0,A
ATF2,PCK1,Activation,1.0,A
ATF2,PCK2,Activation,1.0,A
ATF2,PLAT,Activation,1.0,A
ATF2,PTGS2,Activation,1.0,A
ATF2,TGFB2,Activation,1.0,A
ATF2,TNF,Activation,1.0,A
ATF3,ASNS,Activation,1.0,A
ATF3,CCL5,Activation,1.0,A
ATF3,DDIT3,Activation,1.0,A
ATF3,GDF15,Activation,1.0,A
ATF3,ID1,Repression,-1.0,A
ATF3,LDLR,Repression,-1.0,A
ATF3,SELE,Repression,-1.0,A
ATF4,ASNS,Activation,1.0,A
ATF4,ATF3,Activation,1.0,A
ATF4,CEBPB,Activation,1.0,A
ATF4,CHAC1,Activation,1.0,A
ATF4,CXCL8,Activation,1.0,A
ATF4,DDIT3,Activation,1.0,A
ATF4,DDIT4,Activation,1.0,A
ATF4,DDR2,Activation,1.0,A
ATF4,DISC1,Activation,1.0,A
ATF4,F7,Activation,0.5,B
ATF4,FGF21,Activation,1.0,A
ATF4,HRK,Activation,1.0,A
ATF4,MCL1,Activation,1.0,A
ATF4,NUPR1,Activation,1.0,A
ATF4,PTGS2,Activation,1.0,A
ATF4,S100P,Activation,0.5,B
ATF4,TNFRSF10B,Activation,0.5,B
ATF4,TRIB3,Activation,1.0,A
ATF4,VEGFA,Activation,1.0,A
ATF5,DISC1,Activation,1.0,A
ATF6,ATP2A2,Activation,1.0,A
ATF6,DDIT3,Activation,1.0,A
ATF6,DNAJC3,Activation,1.0,A
ATF6,HSPA5,Activation,1.0,A
ATF6,RTN3,Activation,1.0,A
ATF6,SRF,Activation,1.0,A
ATF6,XBP1,Activation,1.0,A
ATOH1,HES6,Activation,1.0,A
BACH1,HMOX1,Repression,-1.0,A
BACH2,IL2,Activation,1.0,A
BCL6,CCND2,Repression,-1.0,A
BCL6,HDAC7,Repression,-1.0,A
BCL6,IRF4,Repression,-1.0,A
BCL6,LITAF,Repression,-1.0,A
CDX1,DSC2,Activation,1.0,A
CDX1,PPARG,Activation,1.0,A
CDX2,ABCB1,Activation,1.0,A
CDX2,AXIN2,Activation,1.0,A
CDX2,CDH17,Activation,1.0,A
CDX2,CFTR,Activation,1.0,A
CDX2,DSC2,Activation,1.0,A
CDX2,GUCY2C,Activation,1.0,A
CDX2,KLF4,Activation,1.0,A
CDX2,LCT,Activation,1.0,A
CDX2,MEP1A,Activation,1.0,A
CDX2,MUC2,Activation,1.0,A
CDX2,REG4,Activation,1.0,A
CDX2,SLC15A1,Activation,1.0,A
CDX2,SLC9A2,Activation,1.0,A
CDX2,UGT1A10,Activation,1.0,A
CDX2,UGT1A8,Activation,1.0,A
CEBPA,AFP,Activation,1.0,A
CEBPA,ALB,Activation,1.0,A
CEBPA,BCL2,Activation,1.0,A
CEBPA,CRMP1,Activation,1.0,A
CEBPA,CSF1,Activation,1.0,A
CEBPA,CSF3R,Activation,1.0,A
CEBPA,CXCR2,Activation,1.0,A
CEBPA,CYP3A4,Activation,1.0,A
CEBPA,DEFA3,Activation,1.0,A
CEBPA,ELANE,Activation,1.0,A
CEBPA,F9,Activation,1.0,A
CEBPA,FN1,Activation,1.0,A
CEBPA,GAPDH,Activation,1.0,A
CEBPA,HAMP,Activation,1.0,A
CEBPA,HOMER3,Activation,1.0,A
CEBPA,HSD17B11,Activation,1.0,A
CEBPA,HSPA4,Activation,1.0,A
CEBPA,ICAM1,Activation,1.0,A
CEBPA,ID1,Activation,1.0,A
CEBPA,IGF1,Activation,1.0,A
CEBPA,IGF2,Activation,1.0,A
CEBPA,IL10,Activation,1.0,A
CEBPA,IL3,Activation,1.0,A
CEBPA,IL5,Activation,1.0,A
CEBPA,IL6,Activation,1.0,A
CEBPA,INSR,Activation,1.0,A
CEBPA,ITGAX,Activation,1.0,A
CEBPA,LEP,Activation,1.0,A
CEBPA,MAD1L1,Activation,1.0,A
CEBPA,MSR1,Activation,1.0,A
