run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,0,334,334,0.5,0.598443830901072,0.614874432892545,1.588235294117647,0.0326975230127573,0.0235725250095129,0.0091249980032444,0.1968876618021442
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,spearman,0,334,334,0.5,0.5882247481085733,0.6033173590233366,1.5294117647058822,0.0263903513550758,0.0195919498801231,0.0067984014749526,0.1764494962171465
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,mutual_information,0,334,334,0.5,0.5783552655168704,0.5939686763858796,1.588235294117647,0.000360986101441,0.000202851020731,0.00015813508071,0.1567105310337408
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,coexpression_probability,0,334,334,0.5,0.5243734088708809,0.5200288866702604,1.1176470588235294,0.0136449607089161,0.0126317213289439,0.0010132393799722,0.048746817741762
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,codetection_odds_ratio,0,334,334,0.5,0.5922585965792965,0.6257188438060108,1.6470588235294117,1.2583751678466797,1.2087774872779846,0.049597680568695,0.1845171931585929
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,pearson,1,334,334,0.5,0.5883502456165512,0.6073282423670773,1.588235294117647,0.0326975230127573,0.0251486897468566,0.0075488332659006,0.1767004912331027
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,spearman,1,334,334,0.5,0.5675624798307577,0.5843293994066391,1.411764705882353,0.0263903513550758,0.0223202016204595,0.0040701497346162,0.1351249596615154
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,mutual_information,1,334,334,0.5,0.5594365161891786,0.5781124020083632,1.411764705882353,0.000360986101441,0.0002487818128429,0.0001122042885981,0.1188730323783571
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,coexpression_probability,1,334,334,0.5,0.5222309871275413,0.5195255308278605,1.1764705882352942,0.0136449607089161,0.013104566372931,0.0005403943359851,0.0444619742550826
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,formal_abs,codetection_odds_ratio,1,334,334,0.5,0.5690146652802179,0.5913857291731994,1.4705882352941178,1.2583751678466797,1.2285882234573364,0.0297869443893432,0.1380293305604361
