run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,0,334,334,0,0,0.0,0,0,0.0324230795706808,-0.0008189100823069
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,1,334,334,0,0,0.0,0,0,0.0270502124163316,-0.0012911101486942
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,2,334,334,0,0,0.0,0,0,0.02641721764527,-0.0010431906169902
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,3,334,334,0,0,0.0,0,0,0.0325954157787391,-0.0012365809718628
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,4,334,334,0,0,0.0,0,0,0.0230850817613536,-0.0017335194765371
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,5,334,334,0,0,0.0,0,0,0.0280967707024012,0.0005221139337948
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,6,334,334,0,0,0.0,0,0,0.0231810807142549,-0.0020433611144779
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,7,334,334,0,0,0.0,0,0,0.0274936713642882,-0.0006425007917779
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,8,334,334,0,0,0.0,0,0,0.0255468676319927,-0.0006494734067249
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,9,334,334,0,0,0.0,0,0,0.0294262633295159,-0.0013227902327367
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,0,541,541,0,0,0.0,0,0,0.0155021457510679,-0.0019676133473781
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,1,541,541,0,0,0.0,0,0,0.016023533795698,-0.0006416685759983
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,2,541,541,0,0,0.0,0,0,0.0173872950452341,-0.001379940294224
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,3,541,541,0,0,0.0,0,0,0.0165563425149075,-0.0006470760639544
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,4,541,541,0,0,0.0,0,0,0.0135120129446177,-0.0020265720162804
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,5,541,541,0,0,0.0,0,0,0.0135442846639135,-0.0009701136472746
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,6,541,541,0,0,0.0,0,0,0.0128383690110671,-0.0014835998515017
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,7,541,541,0,0,0.0,0,0,0.015109774176352,-0.0014975266222611
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,8,541,541,0,0,0.0,0,0,0.013044985558936,-0.0011930484128981
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,9,541,541,0,0,0.0,0,0,0.0170985508430346,-0.0008891445480164
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,0,157,157,0,0,0.0,0,0,0.0361344766301425,-0.0021353961960555
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,1,157,157,0,0,0.0,0,0,0.0322600220646271,-0.0026567862394789
