run_dir,dataset,condition,edge_set,caliper_z,original_positive_edges,matched_positive_edges_common,matching_coverage,unmatched_positive_edges,unmatched_reasons,repeats,per_repeat_positive_edges,per_repeat_negative_min,per_repeat_negative_max,internal_duplicate_total,internal_duplicate_max,failed_matches_total_final,relaxed_fraction_max,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts_mean,smd_target_mean_counts_max_abs,smd_target_detection_rate_mean,smd_target_detection_rate_max_abs
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust,0.25,350,334,0.9542857142857144,16,all_caliper_candidates_excluded:16,10,334,334,334,0,0,0,0.0,0,0,0.0275315660914828,0.0325954157787391,-0.0010259322908314,0.0020433611144779
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,dorothea_ab,0.25,552,541,0.980072463768116,11,all_caliper_candidates_excluded:11,10,541,541,541,0,0,0,0.0,0,0,0.0150617294304828,0.0173872950452341,-0.0012696303379787,0.0020265720162804
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_intersection,0.25,164,157,0.9573170731707316,7,all_caliper_candidates_excluded:7,10,157,157,157,0,0,0,0.0,0,0,0.0340328843061253,0.0427953514768086,-0.0018164433912605,0.0030745817991686
adult_celltype__at2_cell,ZJU_HCL_adult_celltype,AT2 cell,trrust_dorothea_union,0.25,738,718,0.97289972899729,20,all_caliper_candidates_excluded:20,10,718,718,718,0,0,0,0.0,0,0,0.0175838355367005,0.0188833208065429,-0.0009671175515364,0.0016107826542099
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust,0.25,572,528,0.9230769230769232,44,all_caliper_candidates_excluded:44,10,528,528,528,0,0,0,0.0,0,0,0.0030909364851208,0.0042072477743711,-0.0063319637898017,0.007572196696143
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,dorothea_ab,0.25,840,787,0.936904761904762,53,all_caliper_candidates_excluded:52; caliper_candidates_exhausted_by_unique_constraint:1,10,787,787,787,0,0,0,0.0,0,0,0.0037932003266702,0.0043772282287088,-0.0037722456021309,0.0048320195930105
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_intersection,0.25,267,242,0.906367041198502,25,all_caliper_candidates_excluded:25,10,242,242,242,0,0,0,0.0,0,0,0.0040360740157678,0.0051784876558975,-0.0076999492453589,0.0108784378607555
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,0.25,1145,1073,0.9371179039301312,72,all_caliper_candidates_excluded:71; caliper_candidates_exhausted_by_unique_constraint:1,10,1073,1073,1073,0,0,0,0.0,0,0,0.0032712815788663,0.0045522977897165,-0.0046712986723116,0.0057295713419644
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,0.25,168,154,0.9166666666666666,14,all_caliper_candidates_excluded:14,10,154,154,154,0,0,0,0.0,0,0,0.0085038689525331,0.0109222938381159,-0.0019427825851278,0.0039139876672971
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,0.25,181,168,0.9281767955801103,13,all_caliper_candidates_excluded:13,10,168,168,168,0,0,0,0.0,0,0,0.0033590330260269,0.0060205860900884,-3.693372940035318e-05,0.0020350241616342
