run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,pearson,0,127,127,0.5,0.4371008742017483,0.4885763523147715,0.9230769230769232,0.0860086530447006,0.1064803525805473,-0.0204716995358467,-0.1257982515965031
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,spearman,0,127,127,0.5,0.4481988963977928,0.4909047238506023,1.0769230769230769,0.0742650404572486,0.0807831659913063,-0.0065181255340576,-0.1036022072044143
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,mutual_information,0,127,127,0.5,0.447268894537789,0.488272042818222,0.7692307692307693,0.0023716758005321,0.0032469404395669,-0.0008752646390348,-0.1054622109244218
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,coexpression_probability,0,127,127,0.5,0.4835699671399343,0.5053066382632531,1.0769230769230769,0.026814941316843,0.0273081921041011,-0.0004932507872581,-0.0328600657201314
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,codetection_odds_ratio,0,127,127,0.5,0.4388368776737553,0.5043989167600916,1.3846153846153846,1.7404943704605105,1.8673012256622317,-0.1268068552017212,-0.1223262446524893
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,pearson,1,127,127,0.5,0.4431148862297724,0.4930310635373965,0.9230769230769232,0.0860086530447006,0.0976388156414032,-0.0116301625967025,-0.113770227540455
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,spearman,1,127,127,0.5,0.4554529109058218,0.5045489716627038,1.0769230769230769,0.0742650404572486,0.0818451046943664,-0.0075800642371177,-0.0890941781883564
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,mutual_information,1,127,127,0.5,0.4545849091698183,0.4985502504886279,0.7692307692307693,0.0023716758005321,0.0029960952233523,-0.0006244194228202,-0.0908301816603632
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,coexpression_probability,1,127,127,0.5,0.4873519747039494,0.5062030915093306,1.0769230769230769,0.026814941316843,0.0271288286894559,-0.0003138873726129,-0.0252960505921011
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,formal_abs,codetection_odds_ratio,1,127,127,0.5,0.4501209002418004,0.5127955340007195,1.5384615384615383,1.7404943704605105,1.814202904701233,-0.0737085342407226,-0.099758199516399
