run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,0,127,127,0,0,0.0,0,0,0.0094082108433993,0.0018614947892416
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,1,127,127,0,0,0.0,0,0,0.0182451860144075,0.0012431390975529
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,2,127,127,0,0,0.0,0,0,0.0147040287603993,-0.0008276099541153
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,3,127,127,0,0,0.0,0,0,0.0140035040601222,0.0012927310449745
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,4,127,127,0,0,0.0,0,0,0.0178439438094769,-0.0004060149634401
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,5,127,127,0,0,0.0,0,0,0.0140073384323287,-0.0001137066898424
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,6,127,127,0,0,0.0,0,0,0.0142918475817264,0.0018210708520542
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,7,127,127,0,0,0.0,0,0,0.0095049144617615,-0.0007431866657716
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,8,127,127,0,0,0.0,0,0,0.0127973250946513,0.0014392813405902
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,9,127,127,0,0,0.0,0,0,0.0146026948047535,0.0004314096780916
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0,89,89,0,0,0.0,0,0,0.0069908214638635,-0.0014777599248811
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,1,89,89,0,0,0.0,0,0,0.0167799733623909,3.3171462686724456e-05
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,2,89,89,0,0,0.0,0,0,0.0223326949989348,0.0006647002744281
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,3,89,89,0,0,0.0,0,0,0.0145403284494499,0.0039739825306086
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,4,89,89,0,0,0.0,0,0,0.0203073689441657,0.0026108063898611
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,5,89,89,0,0,0.0,0,0,0.016013385056094,0.005493821419979
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,6,89,89,0,0,0.0,0,0,0.0253207350237895,0.0013420010197743
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,7,89,89,0,0,0.0,0,0,0.021760092768233,0.0027004598699058
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,8,89,89,0,0,0.0,0,0,0.0219657466115685,0.001726886957483
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,9,89,89,0,0,0.0,0,0,0.0174567129634943,0.0043975003452913
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,0,48,48,0,0,0.0,0,0,0.0348739370913444,0.0019103561009705
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,1,48,48,0,0,0.0,0,0,0.025562320287037,0.0038069630042397
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,2,48,48,0,0,0.0,0,0,0.0178312676113788,0.0020747220180091
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,3,48,48,0,0,0.0,0,0,0.0287442796540672,0.0045347928140583
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,4,48,48,0,0,0.0,0,0,0.0324489152609051,-0.0012722088523947
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,5,48,48,0,0,0.0,0,0,0.0396498438069918,-0.0001680504094787
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,6,48,48,0,0,0.0,0,0,0.0364292043745244,4.000725480477555e-05
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,7,48,48,0,0,0.0,0,0,0.0310513540336286,0.0034424042290028
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,8,48,48,0,0,0.0,0,0,0.0263995374241656,0.0054193023193917
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,9,48,48,0,0,0.0,0,0,0.0297401930106115,0.0024097246498211
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,0,168,168,0,0,0.0,0,0,0.0078363283226903,-0.000799307424464
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,1,168,168,0,0,0.0,0,0,0.0129458569545259,0.0008661863266528
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,2,168,168,0,0,0.0,0,0,0.0132913627717139,-2.028006674848182e-05
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,3,168,168,0,0,0.0,0,0,0.0086845171045405,-5.401936710873397e-05
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,4,168,168,0,0,0.0,0,0,0.0181587840942149,0.0028540315961149
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,5,168,168,0,0,0.0,0,0,0.0119366899106945,0.0007506157642107
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,6,168,168,0,0,0.0,0,0,0.0117542956301506,0.0021402471848925
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,7,168,168,0,0,0.0,0,0,0.0092353169351209,0.0005316351109558
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,8,168,168,0,0,0.0,0,0,0.0101268372272312,0.0023356313419035
