run_dir,dataset,condition,edge_set,caliper_z,original_positive_edges,matched_positive_edges_common,matching_coverage,unmatched_positive_edges,unmatched_reasons,repeats,per_repeat_positive_edges,per_repeat_negative_min,per_repeat_negative_max,internal_duplicate_total,internal_duplicate_max,failed_matches_total_final,relaxed_fraction_max,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts_mean,smd_target_mean_counts_max_abs,smd_target_detection_rate_mean,smd_target_detection_rate_max_abs
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust,0.25,131,127,0.9694656488549618,4,all_caliper_candidates_excluded:4,10,127,127,127,0,0,0,0.0,0,0,0.0139408993863027,0.0182451860144075,0.0005998608529335,0.0018614947892416
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,0.25,91,89,0.978021978021978,2,all_caliper_candidates_excluded:2,10,89,89,89,0,0,0,0.0,0,0,0.0183467859641984,0.0253207350237895,0.0021465570345137,0.005493821419979
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,0.25,49,48,0.979591836734694,1,all_caliper_candidates_excluded:1,10,48,48,48,0,0,0,0.0,0,0,0.0302730852554654,0.0396498438069918,0.0022198013128424,0.0054193023193917
adult_tissue__adultcolon,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,0.25,173,168,0.9710982658959536,5,all_caliper_candidates_excluded:5,10,168,168,168,0,0,0,0.0,0,0,0.0115001206591199,0.0181587840942149,0.0008901892973349,0.0028540315961149
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust,0.25,478,446,0.9330543933054394,32,all_caliper_candidates_excluded:32,10,446,446,446,0,0,0,0.0,0,0,0.0086205735709995,0.0104026200298637,-0.0038639315683778,0.0063217412925744
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,0.25,813,766,0.942189421894219,47,all_caliper_candidates_excluded:43; caliper_candidates_exhausted_by_unique_constraint:4,10,766,766,766,0,0,0,0.0,0,0,0.0058975567649031,0.006744477161588,-0.0024387408618496,0.0035284225088354
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,0.25,227,213,0.9383259911894272,14,all_caliper_candidates_excluded:14,10,213,213,213,0,0,0,0.0,0,0,0.0091690252158817,0.0126161957666964,-0.0042642642925285,0.0060955657103923
adult_tissue__adultkidney,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,0.25,1064,997,0.93703007518797,67,all_caliper_candidates_excluded:61; caliper_candidates_exhausted_by_unique_constraint:6,10,997,997,997,0,0,0,0.0,0,0,0.0064919815807923,0.0073042391899987,-0.0026745835689954,0.0040083995998137
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,0.25,178,155,0.8707865168539326,23,all_caliper_candidates_excluded:23,10,155,155,155,0,0,0,0.0,0,0,0.0152019572011615,0.0191525979966545,-0.0057567773273535,0.007011220863077
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,0.25,249,225,0.9036144578313252,24,all_caliper_candidates_excluded:24,10,225,225,225,0,0,0,0.0,0,0,0.0142649202710632,0.0157991754966232,-0.0065561066474549,0.0090025117362758
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,0.25,86,76,0.8837209302325582,10,all_caliper_candidates_excluded:10,10,76,76,76,0,0,0,0.0,0,0,0.0257775469889721,0.0306040644870684,-0.0076028285094996,0.0120525456451546
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,0.25,341,304,0.8914956011730205,37,all_caliper_candidates_excluded:37,10,304,304,304,0,0,0,0.0,0,0,0.011872634985489,0.0142547888064799,-0.0055958393784605,0.0070323626476354
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,0.25,487,454,0.9322381930184804,33,all_caliper_candidates_excluded:33,10,454,454,454,0,0,0,0.0,0,0,0.0025183248847568,0.0031561045110063,-0.0010250922667824,0.0024797060413154
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,0.25,796,760,0.9547738693467336,36,all_caliper_candidates_excluded:36,10,760,760,760,0,0,0,0.0,0,0,0.0039107954218242,0.0051397142406471,-0.0010693373822827,0.0019707200360766
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust_dorothea_intersection,0.25,246,229,0.9308943089430894,17,all_caliper_candidates_excluded:17,10,229,229,229,0,0,0,0.0,0,0,0.0048617871880656,0.0066709769297837,-0.003153038600537,0.0052312765166844
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust_dorothea_union,0.25,1037,983,0.947926711668274,54,all_caliper_candidates_excluded:52; caliper_candidates_exhausted_by_unique_constraint:2,10,983,983,983,0,0,0,0.0,0,0,0.0029443321247666,0.0036152383267767,-0.0008685507698555,0.0022296914925685
