source_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr
hcl_adult_celltype,Hypoxia,top_100,140,118,3.5888961449809704,8.52022790000625e-10
hcl_adult_celltype,Tnfa Signaling Via Nfkb,top_100,140,112,3.276640569140569,1.6987690114884274e-19
hcl_adult_celltype,Apoptosis,top_100,140,94,3.1820235533237686,3.952855453891778e-07
hcl_adult_celltype,Inflammatory Response,top_100,140,64,3.103295164979422,1.0218315807928856e-08
hcl_adult_celltype,P53 Pathway,top_100,140,64,2.9498669654438885,3.678657695708856e-05
hcl_adult_celltype,Mtorc1 Signaling,top_100,140,57,2.475721797202444,3.4675677196378096e-08
hcl_adult_celltype,Interferon Gamma Response,top_100,140,45,2.531477108749836,1.3285614034349226e-05
hcl_adult_celltype,Glycolysis,top_100,140,39,2.530811237373737,6.326098281344938e-07
hcl_adult_celltype,Uv Response Up,top_100,140,34,2.5470038526327583,5.904305870188463e-05
hcl_adult_celltype,Il2 Stat5 Signaling,top_100,140,21,2.259352943947184,9.953346871181782e-05
hcl_adult_celltype,Allograft Rejection,top_100,140,19,2.2200075331172893,8.046252196286092e-05
hcl_adult_celltype,G2M Checkpoint,top_100,140,18,2.279832766439909,0.0002929957273978
hcl_adult_celltype,Unfolded Protein Response,top_100,140,17,2.3678384115884112,0.0007258277253231
hcl_adult_celltype,Tgf Beta Signaling,top_100,140,14,2.359367971210076,0.0006925447362459
hcl_adult_celltype,Uv Response Dn,top_100,140,14,2.3445824041799272,0.0002319509410212
hcl_adult_celltype,Il6 Jak Stat3 Signaling,top_100,140,14,2.0984065934065934,0.0006081644780612
hcl_adult_celltype,Pi3K Akt Mtor Signaling,top_100,140,11,2.2333619374523264,0.0024084494995389
hcl_adult_celltype,Myogenesis,top_100,140,11,2.206929050554292,0.0012212923997313
hcl_adult_celltype,Epithelial Mesenchymal Transition,top_100,140,9,2.1925863487572617,0.0037172991806941
hcl_adult_celltype,Cholesterol Homeostasis,top_100,140,7,2.134624756335283,0.0078513021946973
hcl_adult_celltype,Kras Signaling Up,top_100,140,6,2.0539613661814107,0.0063579818869234
hcl_adult_celltype,E2F Targets,top_100,140,4,1.7667164357381748,0.0064118101757596
hcl_adult_celltype,Fatty Acid Metabolism,top_100,140,4,1.7293594002896329,0.0019469894153443
hcl_adult_celltype,Estrogen Response Early,top_100,140,3,1.8691889828517736,0.0186909240586924
hcl_adult_celltype,Reactive Oxygen Species Pathway,top_100,140,2,2.3837241828857683,0.008345704346215
hcl_adult_celltype,Hedgehog Signaling,top_100,140,1,4.6098023571130575,0.0324212793934561
hcl_adult_celltype,Wnt Beta Catenin Signaling,top_100,140,1,3.2845473024044454,0.023303352600365
hcl_adult_celltype,Complement,top_100,140,1,1.5822048976720144,0.0314298147285966
hcl_adult_celltype,Heme Metabolism,top_100,140,1,1.0801719452634084,0.0306513291656075
hcl_adult_celltype,Apical Junction,top_100,140,1,1.0667592017587353,0.0118156346675385
hcl_adult_celltype,Apical Surface,top_100,140,0,3.975716248037677,0.0204915438978938
hcl_adult_celltype,Myc Targets V2,top_100,135,0,2.3562367864693448,0.042093251451044
hcl_adult_celltype,Angiogenesis,top_100,140,0,2.1603386408479786,0.0446894086101593
hcl_adult_celltype,Xenobiotic Metabolism,top_100,140,0,1.3667600337071248,0.086329485384046
hcl_adult_celltype,Myc Targets V1,top_100,140,0,1.318068538222582,0.04518762389102
hcl_adult_celltype,Estrogen Response Late,top_100,140,0,1.1767857142857143,0.0734511423917691
hcl_adult_celltype,Interferon Alpha Response,top_100,140,0,0.9763794406651548,0.1538585094231867
hcl_adult_celltype,Mitotic Spindle,top_100,140,0,0.8891991170159685,0.0517052244544212
hcl_adult_celltype,Adipogenesis,top_100,140,0,0.7358561091686092,0.1824986659053032
hcl_adult_celltype,Oxidative Phosphorylation,top_100,140,0,0.6110898509328488,0.074268904153262
hcl_adult_celltype,Androgen Response,top_100,140,0,0.0,0.0785499528800799
hcl_adult_celltype,Bile Acid Metabolism,top_100,140,0,0.0,0.2537146061115783
hcl_adult_celltype,Coagulation,top_100,140,0,0.0,0.0822720322956578
hcl_adult_celltype,Dna Repair,top_100,140,0,0.0,0.1013480911359035
hcl_adult_celltype,Kras Signaling Dn,top_100,135,0,0.0,0.2968230595899426
hcl_adult_celltype,Notch Signaling,top_100,135,0,0.0,0.2777777777777778
hcl_adult_celltype,Pancreas Beta Cells,top_100,130,0,0.0,0.1415428167020523
hcl_adult_celltype,Peroxisome,top_100,140,0,0.0,0.0886950533290007
hcl_adult_celltype,Protein Secretion,top_100,140,0,0.0,0.2216744891166554
hcl_adult_celltype,Spermatogenesis,top_100,120,0,0.0,0.1687017994858611
hcl_adult_celltype,Hypoxia,top_500,140,140,2.15475469998266,4.5104571702383964e-13
hcl_adult_celltype,Apoptosis,top_500,140,136,2.1499645419535947,1.6688884739483974e-10
hcl_adult_celltype,Tnfa Signaling Via Nfkb,top_500,140,135,1.9531042972882775,6.504275710856678e-17
hcl_adult_celltype,Interferon Gamma Response,top_500,140,119,1.9894179894179893,1.996411789518048e-08
hcl_adult_celltype,Mtorc1 Signaling,top_500,140,103,1.743915343915344,2.722119364165105e-06
hcl_adult_celltype,Inflammatory Response,top_500,140,101,1.9444444444444444,1.0699959125311948e-08
hcl_adult_celltype,P53 Pathway,top_500,140,99,1.852969434936648,5.681067539925415e-08
hcl_adult_celltype,Glycolysis,top_500,140,93,1.87337717695774,2.3298155516447847e-05
hcl_adult_celltype,G2M Checkpoint,top_500,140,78,1.912450665531651,1.3654041756587617e-05
hcl_adult_celltype,Il2 Stat5 Signaling,top_500,140,73,1.886406864416636,8.475034872549456e-06
hcl_adult_celltype,Uv Response Up,top_500,140,55,1.7588426093070426,2.8334077385751043e-05
hcl_adult_celltype,Complement,top_500,140,55,1.715031382750728,0.0001783950475358
hcl_adult_celltype,Il6 Jak Stat3 Signaling,top_500,140,51,1.988269065925875,0.0001672131697019
hcl_adult_celltype,E2F Targets,top_500,140,47,1.7966397630638105,4.893792672564821e-05
hcl_adult_celltype,Allograft Rejection,top_500,140,44,1.8782180436928624,1.2582830437716164e-05
