collection,pathway,msigdb_name,gene
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ABCA1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ABCB8
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACAA2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACADL
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACADM
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACADS
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACLY
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACO2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ACOX1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ADCY6
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ADIG
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ADIPOQ
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ADIPOR2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,AGPAT3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,AIFM1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,AK2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ALDH2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ALDOA
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ANGPT1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ANGPTL4
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,APLP2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,APOE
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ARAF
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ARL4A
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ATL2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ATP1B3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,ATP5PO
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,BAZ2A
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,BCKDHA
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,BCL2L13
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,BCL6
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,C3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CAT
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CAVIN1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CAVIN2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CCNG2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CD151
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CD302
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CD36
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CDKN2C
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CHCHD10
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CHUK
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CIDEA
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CMBL
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CMPK1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COL15A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COL4A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COQ3
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COQ5
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COQ9
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COX6A1
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COX7B
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,COX8A
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CPT2
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CRAT
Hallmark,Adipogenesis,HALLMARK_ADIPOGENESIS,CS
