source_group,dataset,condition,edge_set,repeat,metric,top_level,requested_top_n,actual_top_n,complete_threshold,total_pairs_ranked,positive_pairs_in_evaluation,negative_pairs_in_evaluation,curated_positive_in_top,curated_positive_fraction,balanced_random_baseline,delta_vs_0_5
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,pearson,top_100,100,100,True,254,127,127,45,0.45,0.5,-0.0499999999999999
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,pearson,top_500,500,254,False,254,127,127,127,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,pearson,top_5pct,5pct,13,True,254,127,127,6,0.4615384615384615,0.5,-0.0384615384615384
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,spearman,top_100,100,100,True,254,127,127,45,0.45,0.5,-0.0499999999999999
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,spearman,top_500,500,254,False,254,127,127,127,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,spearman,top_5pct,5pct,13,True,254,127,127,7,0.5384615384615384,0.5,0.0384615384615384
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,mutual_information,top_100,100,100,True,254,127,127,45,0.45,0.5,-0.0499999999999999
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,mutual_information,top_500,500,254,False,254,127,127,127,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,mutual_information,top_5pct,5pct,13,True,254,127,127,5,0.3846153846153846,0.5,-0.1153846153846153
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,coexpression_probability,top_100,100,100,True,254,127,127,49,0.49,0.5,-0.01
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,coexpression_probability,top_500,500,254,False,254,127,127,127,0.5,0.5,0.0
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,coexpression_probability,top_5pct,5pct,13,True,254,127,127,7,0.5384615384615384,0.5,0.0384615384615384
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,codetection_odds_ratio,top_100,100,100,True,254,127,127,46,0.46,0.5,-0.0399999999999999
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,0,codetection_odds_ratio,top_500,500,254,False,254,127,127,127,0.5,0.5,0.0
