source_group,metric,top_level,analysis_units,median_unit_mean_fraction,mean_unit_mean_fraction,min_unit_mean_fraction,max_unit_mean_fraction,units_mean_above_0_5,units_all_repeats_above_0_5,units_with_complete_threshold,median_actual_top_n
hcl_adult_celltype,codetection_odds_ratio,top_100,28,0.5834999999999999,0.5838928571428571,0.409,0.711,26,21,28,100.0
hcl_adult_celltype,codetection_odds_ratio,top_500,28,0.5175000000000001,0.5307142857142857,0.5,0.5993999999999999,19,18,19,500.0
hcl_adult_celltype,codetection_odds_ratio,top_5pct,28,0.6449074074074075,0.6256311045451358,0.4208333333333333,0.8088235294117647,25,23,28,41.0
hcl_adult_celltype,coexpression_probability,top_100,28,0.513,0.514,0.49,0.541,22,12,28,100.0
hcl_adult_celltype,coexpression_probability,top_500,28,0.5038,0.5060714285714286,0.499,0.5192,18,13,19,500.0
hcl_adult_celltype,coexpression_probability,top_5pct,28,0.5251944444444444,0.526259516399025,0.4518518518518518,0.631578947368421,22,14,28,41.0
hcl_adult_celltype,mutual_information,top_100,28,0.549,0.5640714285714286,0.48,0.664,25,21,28,100.0
hcl_adult_celltype,mutual_information,top_500,28,0.5075000000000001,0.5203357142857142,0.4846,0.589,16,13,19,500.0
hcl_adult_celltype,mutual_information,top_5pct,28,0.6234892787524366,0.6161651729132096,0.4583333333333333,0.7666666666666667,24,22,28,41.0
hcl_adult_celltype,pearson,top_100,28,0.573,0.5846071428571429,0.508,0.6759999999999999,28,25,28,100.0
hcl_adult_celltype,pearson,top_500,28,0.5128,0.5221214285714286,0.4921999999999999,0.5786,17,15,19,500.0
hcl_adult_celltype,pearson,top_5pct,28,0.6516935483870967,0.6433133253605348,0.395,0.9333333333333332,27,23,28,41.0
hcl_adult_celltype,spearman,top_100,28,0.5660000000000001,0.5725,0.478,0.673,27,22,28,100.0
hcl_adult_celltype,spearman,top_500,28,0.5094000000000001,0.5221928571428572,0.4852,0.5883999999999999,15,14,19,500.0
hcl_adult_celltype,spearman,top_5pct,28,0.6285453438831405,0.6179066386500851,0.4604166666666666,0.8666666666666666,24,20,28,41.0
hcl_adult_tissue,codetection_odds_ratio,top_100,16,0.636,0.5925625,0.45,0.671,12,12,15,100.0
hcl_adult_tissue,codetection_odds_ratio,top_500,16,0.5,0.5263875,0.5,0.6202,7,7,7,454.0
hcl_adult_tissue,codetection_odds_ratio,top_5pct,16,0.6691666666666667,0.6719028847183527,0.6,0.7478260869565216,16,15,16,23.0
hcl_adult_tissue,coexpression_probability,top_100,16,0.5055000000000001,0.50925,0.485,0.554,11,5,15,100.0
hcl_adult_tissue,coexpression_probability,top_500,16,0.5,0.5093375,0.5,0.5354,7,7,7,454.0
hcl_adult_tissue,coexpression_probability,top_5pct,16,0.5231546231546231,0.5208816111880958,0.4,0.5777777777777777,12,8,16,23.0
hcl_adult_tissue,mutual_information,top_100,16,0.5854999999999999,0.5669375,0.45,0.651,12,12,15,100.0
hcl_adult_tissue,mutual_information,top_500,16,0.5,0.5189,0.5,0.5992,7,7,7,454.0
hcl_adult_tissue,mutual_information,top_5pct,16,0.6446022727272727,0.6187222795952395,0.3923076923076923,0.7478260869565216,14,13,16,23.0
hcl_adult_tissue,pearson,top_100,16,0.5965,0.565625,0.452,0.63,12,12,15,100.0
hcl_adult_tissue,pearson,top_500,16,0.5,0.5202625,0.5,0.5963999999999999,7,7,7,454.0
hcl_adult_tissue,pearson,top_5pct,16,0.6327302631578947,0.6223008267434735,0.4538461538461538,0.7032258064516129,14,13,16,23.0
hcl_adult_tissue,spearman,top_100,16,0.596,0.5756875,0.458,0.667,12,12,15,100.0
hcl_adult_tissue,spearman,top_500,16,0.5,0.519225,0.5,0.5982,7,7,7,454.0
hcl_adult_tissue,spearman,top_5pct,16,0.6516404647983596,0.6514764929310343,0.4923076923076923,0.7391304347826086,15,14,16,23.0
