source_group,dataset,condition,edge_set,positive_pairs,unique_negative_pairs_across_repeats,repeats,metric_file
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust,127,515,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultcolon/ZJU_HCL_adult_tissue_AdultColon_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,dorothea_ab,89,362,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultcolon/ZJU_HCL_adult_tissue_AdultColon_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_intersection,48,196,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultcolon/ZJU_HCL_adult_tissue_AdultColon_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultColon,trrust_dorothea_union,168,677,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultcolon/ZJU_HCL_adult_tissue_AdultColon_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultKidney,trrust,446,1685,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultkidney/ZJU_HCL_adult_tissue_AdultKidney_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultKidney,dorothea_ab,766,2900,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultkidney/ZJU_HCL_adult_tissue_AdultKidney_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_intersection,213,795,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultkidney/ZJU_HCL_adult_tissue_AdultKidney_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultKidney,trrust_dorothea_union,997,3733,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultkidney/ZJU_HCL_adult_tissue_AdultKidney_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultLiver,trrust,155,605,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultliver/ZJU_HCL_adult_tissue_AdultLiver_refined_pair_metrics.csv
hcl_adult_tissue,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,225,828,10,results/zju_cellatlas_adult_tissue_refined_matching_by_context/adult_tissue__adultliver/ZJU_HCL_adult_tissue_AdultLiver_refined_pair_metrics.csv
