tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AHR,CYP1B1,Activation,1.0,A,0.123801220575415,0.2868352223190941,0.1059285091543162,0.5828247602441164,1.747874520202219,0.9934946809322364,0
AHR,MYC,Activation,1.0,A,0.123801220575415,0.2868352223190941,0.0671316477768091,0.1455972101133393,0.2609064819045715,0.45741681617311397,1
ATF1,LDHA,Activation,1.0,A,0.059285091543156,0.0906713164777682,0.1848299912816041,0.3086312118570194,0.8153691402528486,2.083720450835595,2
ATF1,MAP1LC3B,Activation,1.0,A,0.059285091543156,0.0906713164777682,0.1634699215344379,0.2733217088055802,0.6952849816266159,1.788576457878334,3
ATF1,PLAUR,Activation,1.0,A,0.059285091543156,0.0906713164777682,0.0632083696599825,0.1342632955536184,0.22236094950602883,0.40320669501769646,4
ATF1,SLC20A1,Activation,1.0,A,0.059285091543156,0.0906713164777682,0.0806451612903228,0.1255448997384485,0.19271053996868837,0.6441405668195497,5
ATF4,CEBPB,Activation,1.0,A,0.2515257192676537,0.4829991281604222,0.1434176111595473,0.4616390584132536,1.335733827633182,1.511502505306213,6
ATF4,MCL1,Activation,1.0,A,0.2515257192676537,0.4829991281604222,0.485178727114221,1.1412380122057553,3.6469832510688995,6.233806392622588,8
ATF4,TNFRSF10B,Activation,0.5,B,0.2515257192676537,0.4829991281604222,0.0793374019180473,0.1360069747166524,0.228291031413497,0.6260705264344111,9
BCL6,CCND2,Repression,-1.0,A,0.054054054054054,0.0832606800348737,0.1521360069747171,0.3142981691368798,0.8346419064521197,1.631969441207135,10
BCL6,HDAC7,Repression,-1.0,A,0.054054054054054,0.0832606800348737,0.1216216216216225,0.2367044463818661,0.5707532615697841,1.2103351655539045,11
BCL6,LITAF,Repression,-1.0,A,0.054054054054054,0.0832606800348737,0.1761115954664343,0.2903225806451621,0.7531032802244317,1.963253514934673,12
CEBPB,CDKN1A,Activation,1.0,A,0.1434176111595473,0.4616390584132536,0.0884917175239759,0.1761115954664344,0.3646829152852647,0.7525608091303831,13
CEBPB,FURIN,Activation,1.0,A,0.1434176111595473,0.4616390584132536,0.0680034873583261,0.1033129904097648,0.11710199564846857,0.4694635097632064,15
CEBPB,S100A9,Activation,1.0,A,0.1434176111595473,0.4616390584132536,0.0863121185701834,0.2933740191804715,0.7634809235625007,0.7224440751551519,16
CEBPB,XBP1,Activation,1.0,A,0.1434176111595473,0.4616390584132536,0.1176983435047959,0.204446381865737,0.4610467462816227,1.156125044398487,17
CEBPD,GAPDH,Activation,1.0,A,0.053182214472537,0.1264167393199654,0.434176111595474,1.1233653007846596,3.5861999115173595,5.529074817602145,18
CREB1,AQP3,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.065387968613775,0.1155187445510028,0.15861256900074575,0.43332342899292753,19
CREB1,CD4,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.0836965998256323,0.1612903225806453,0.31427721907178496,0.6863039943848731,21
CREB1,HLA-DQB1,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.1059285091543162,0.5117698343504808,1.506223682472891,0.9934946809322364,23
CREB1,JUN,Repression,-1.0,A,0.0723626852659112,0.1159546643417614,0.057541412380122,0.1142109851787274,0.15416500757014492,0.32490318668209556,24
CREB1,NOLC1,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.0536181342632955,0.0841325196163906,0.05187109466631809,0.2706930655266795,25
CREB1,PPP2CA,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.1486486486486492,0.2462946817785528,0.6033687120608578,1.5837826668467667,26
CREB1,PSEN1,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.064516129032258,0.0985178727114214,0.10079427040293147,0.42127673540283506,27
CREB1,SLC20A1,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.0806451612903228,0.1255448997384485,0.19271053996868837,0.6441405668195497,28
CREB1,UXT,Activation,1.0,A,0.0723626852659112,0.1159546643417614,0.1752397558849173,0.2951176983435059,0.7694110054699701,1.9512068213445808,29
CREM,CD247,Repression,-1.0,A,0.0675675675675676,0.1102877070619008,0.2903225806451621,0.7144725370531873,2.1955957042160783,3.541370375236795,30
CREM,DUSP1,Repression,-1.0,A,0.0675675675675676,0.1102877070619008,0.0771578029642547,0.1822144725370534,0.38543820196140327,0.5959537924591785,31
CTCF,ATXN7,Activation,1.0,A,0.051438535309503,0.0710549258936356,0.054054054054054,0.0775937227550131,0.02963328751331249,0.2767164123217257,32
CTCF,BCL6,Repression,-1.0,A,0.051438535309503,0.0710549258936356,0.054054054054054,0.0832606800348737,0.048906053712584385,0.2767164123217257,33
CTCF,PBXIP1,Activation,1.0,A,0.051438535309503,0.0710549258936356,0.2519616390584122,0.4808195292066293,1.4009647286153377,3.011315857272701,34
CTCF,MYC,Repression,-1.0,A,0.051438535309503,0.0710549258936356,0.0671316477768091,0.1455972101133393,0.2609064819045715,0.45741681617311397,35
