dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,676,SPI1,CCL5,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,183,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,661,SP3,CTSB,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,882,YY1,CXCR4,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,488,RELA,TIMP1,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,454,RELA,CXCR4,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,743,STAT1,TIMP1,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,436,RELA,CCL2,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,287,MYC,CXCR4,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,518,RUNX1,TIMP1,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,649,SP1,UBC,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,757,STAT3,CDKN1A,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,10,ATF2,CDKN1A,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,630,SP1,SOD2,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,190,IRF1,HLA-A,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,508,RFX5,HLA-DRB1,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,778,STAT3,TIMP1,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,325,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,248,JUND,CCL5,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,219,JUN,CCL5,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,218,JUN,CCL2,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,383,NFKB1,TIMP1,all_caliper_candidates_excluded,False
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,0,85,E2F3,CDKN1A,all_caliper_candidates_excluded,False
