tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
ATF1,LDHA,Unknown,0.019710693508386612,0.019800040870904922,0.0010558055,0.03924862667918205,1.2700148820877075
ATF1,MAP1LC3B,Unknown,0.0012542714830487967,0.006273226346820593,0.00019251237,0.026267562061548233,1.1032767295837402
ATF1,PLAUR,Unknown,-0.04581237584352493,-0.022907184436917305,0.00021749268,0.02642028033733368,0.9005572199821472
ATF4,CEBPB,Unknown,-0.0034601774532347918,0.014584081247448921,0.0040253946,0.07040317356586456,1.1865049600601196
ATF4,DDIT3,Unknown,0.054926637560129166,0.04550253227353096,0.00089491834,0.018784360960125923,1.4634138345718384
ATF4,DDIT4,Unknown,0.10858116298913956,0.08481965959072113,0.006271509,0.04306658357381821,1.6039589643478394
ATF4,MCL1,Unknown,0.048529885709285736,0.04374537616968155,0.004287461,0.044288333505392075,1.321763277053833
BACH1,HMOX1,Unknown,0.10900192707777023,0.11878795176744461,0.0063773375,0.023365912958979607,2.814993143081665
CEBPB,ADM,Unknown,0.2185678333044052,0.22704637050628662,0.02651309,0.06704337149858475,5.735514163970947
CEBPB,CDKN1A,Unknown,0.2056853175163269,0.22033201158046722,0.02931643,0.10201588273048401,3.883275270462036
CEBPB,IL1B,Unknown,0.29731592535972595,0.31664443016052246,0.054796733,0.14095906913280487,6.188567638397217
CEBPB,MAD1L1,Unknown,0.0016538744093850255,0.020215244963765144,0.0006271858,0.031307268887758255,1.2928104400634766
CEBPB,TNFAIP6,Unknown,0.1413959413766861,0.14719733595848083,0.014705018,0.04367746040225029,4.678060054779053
CEBPB,TOP1,Unknown,0.06351744383573532,0.0800156369805336,0.005006633,0.06459987908601761,1.8355014324188232
CEBPB,XBP1,Unknown,-0.03060428984463215,-0.011449609883129597,0.019793488,0.10323762893676758,1.0891610383987427
CEBPD,GAPDH,Unknown,0.12982098758220673,0.15289048850536346,0.013883353,0.06643249839544296,7.260243892669678
CREB1,CCL5,Unknown,-0.007401878014206886,0.003409561002627015,0.0007465371,0.009163103066384792,1.09268057346344
CREB1,CXCR4,Unknown,0.01046172995120287,-0.0029254553373903036,0.0010199544,0.03772144019603729,0.9826801419258118
CREB1,FOS,Unknown,-0.013497389853000641,0.0012964729685336351,0.0005239264,0.009010384790599346,1.0935988426208496
CREB1,HLA-DQB1,Unknown,0.023993588984012604,0.03949005529284477,0.00089073024,0.021075136959552765,1.443345546722412
CREB1,HMOX1,Unknown,0.014186103828251362,0.03337978571653366,0.0008898301,0.014660964719951153,1.481946587562561
CREB1,JUN,Unknown,0.013195833191275597,0.025302018970251083,0.00072289427,0.015424557030200958,1.3777483701705933
CREB1,ODC1,Unknown,-0.010432391427457333,-0.011472072452306747,7.854936e-05,0.00305436784401536,0.8111699223518372
CREB1,POLD2,Unknown,0.001959102228283882,0.007166246417909861,5.3196138e-05,0.004276114981621504,1.2073054313659668
CREB1,PPP2CA,Unknown,0.006474421825259924,0.015058139339089394,0.0008656156,0.013133781030774117,1.2560232877731323
CREB1,PSEN1,Unknown,-0.003987772390246391,0.013064763508737087,0.00015107846,0.004276114981621504,1.3667891025543213
CREB1,UXT,Unknown,0.004598573781549931,0.003385998774319887,0.0008233264,0.016340866684913635,1.0833171606063843
CREM,CD247,Unknown,0.10566909611225128,0.10715477168560028,0.007171107,0.05482590198516846,1.7970383167266846
CREM,DUSP1,Unknown,-0.17183394730091095,-0.176609069108963,0.03443127,0.07971899956464767,0.5080268979072571
CREM,FOS,Unknown,-0.07928085327148438,-0.09666305780410767,0.0121496115,0.04062309116125107,0.6169477701187134
E2F4,MYC,Unknown,0.02758285030722618,0.031067512929439545,0.0004338969,0.008094074204564095,1.4772801399230957
ELF2,VCP,Unknown,-0.03126199543476105,-0.022169077768921852,0.00047286478,0.008552229963243008,0.8001717925071716
FOS,CREM,Unknown,-0.07928085327148438,-0.09666305780410767,0.0121496115,0.04062309116125107,0.6169477701187134
FOS,CSTA,Unknown,0.09673114120960236,0.10125304758548737,0.004696707,0.01817348785698414,2.5843098163604736
FOS,DDIT3,Unknown,0.022833889350295067,0.03306422382593155,0.0013368656,0.018326206132769585,1.431293249130249
