dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,136,NFKB1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,188,RELA,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,304,STAT3,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,300,STAT3,S100A11,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,167,NFKB1,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,178,REL,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,253,STAT1,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,12,CEBPB,S100A9,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,279,STAT1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,282,STAT3,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,196,RELA,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,223,RELA,SOD2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,82,JUN,CCL2,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,174,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,319,ZEB2,VIM,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,144,NFKB1,CD74,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,226,RELA,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,8,132,NFKB1,B2M,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,8,169,NFKB1,TIMP1,all_caliper_candidates_excluded,False
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,8,319,ZEB2,VIM,all_caliper_candidates_excluded,False
