tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
ATF1,CCNA1,Repression,-1.0,A,0.0602603677358743,0.0648235136223326,0.0565024828882028,0.0927392296336067,-0.03018641994877259,0.06253471101712478,0
ATF1,LDHA,Activation,1.0,A,0.0602603677358743,0.0648235136223326,0.4054489330291441,0.6993692121862883,0.3102229801983085,3.0892998167563075,1
ATF1,MAP1LC3B,Activation,1.0,A,0.0602603677358743,0.0648235136223326,0.3284122936518674,0.4619514159173403,0.17699638089296355,2.421083212643055,2
ATF1,PLAUR,Activation,1.0,A,0.0602603677358743,0.0648235136223326,0.2537914373909514,0.5368406925245025,0.21902037321200302,1.7738211361849228,3
ATF3,CCL5,Activation,1.0,A,0.1140786471614574,0.1528653871963508,0.1704469198765273,0.7860689840289914,0.3588744121662303,1.0508899320834448,4
ATF3,DDIT3,Activation,1.0,A,0.1140786471614574,0.1528653871963508,0.1072339283317697,0.1288417662058806,-0.009927541931168935,0.5025797917745843,5
ATF4,ATF3,Activation,1.0,A,0.1138102268151951,0.1366259562474854,0.1140786471614574,0.1528653871963508,0.0035532728091684273,0.5619509534640837,6
ATF4,CEBPB,Activation,1.0,A,0.1138102268151951,0.1366259562474854,0.2915044960408028,0.5074486646087883,0.20252708590399296,2.100944595689842,7
ATF4,DDIT3,Activation,1.0,A,0.1138102268151951,0.1366259562474854,0.1072339283317697,0.1288417662058806,-0.009927541931168935,0.5025797917745843,8
ATF4,DDIT4,Activation,1.0,A,0.1138102268151951,0.1366259562474854,0.1587706348141202,0.2854650382499018,0.0779613452306987,0.9496097150837222,9
ATF4,MCL1,Activation,1.0,A,0.1138102268151951,0.1366259562474854,0.4020936787008655,0.5871695074486751,0.24726230353394066,3.0601963061241975,10
BACH1,HMOX1,Repression,-1.0,A,0.0583814253120386,0.0675077170849551,0.1766205878405587,0.3822305730774444,0.13226116326301077,1.1044403916465173,11
CEBPB,ADM,Activation,1.0,A,0.2915044960408028,0.5074486646087883,0.0994497382901642,0.1440075157696967,-0.0014173069274924298,0.4350596471080958,12
CEBPB,CDKN1A,Activation,1.0,A,0.2915044960408028,0.5074486646087883,0.1242786203194233,0.1634679908737094,0.009502906130323042,0.65042562578569,13
CEBPB,S100A9,Activation,1.0,A,0.2915044960408028,0.5074486646087883,0.2186283720305981,0.7972084283988777,0.36512529274415406,1.4688163447604625,14
CEBPB,TNFAIP6,Activation,1.0,A,0.2915044960408028,0.5074486646087883,0.1623943094886604,0.5342906992350067,0.21758944874235572,0.9810415065663953,15
CEBPB,TOP1,Activation,1.0,A,0.2915044960408028,0.5074486646087883,0.1430680445577796,0.1678969265870369,0.01198819599865373,0.8134052853254742,16
CEBPB,XBP1,Activation,1.0,A,0.2915044960408028,0.5074486646087883,0.2831834653066719,0.4156489061871,0.1510138049967801,2.0287678893222085,17
CEBPD,GAPDH,Activation,1.0,A,0.1130049657764083,0.1680311367601677,0.6765534827539821,2.7429875184539174,1.456995974897336,5.440863475830187,18
CREB1,CCL5,Activation,1.0,A,0.0559656421956783,0.0616024694671855,0.1704469198765273,0.7860689840289914,0.3588744121662303,1.0508899320834448,19
CREB1,CXCR4,Activation,1.0,A,0.0559656421956783,0.0616024694671855,0.5031539390686157,1.4310830760971964,0.7208229911721876,3.9367940463633486,20
CREB1,HLA-DQB1,Activation,1.0,A,0.0559656421956783,0.0616024694671855,0.231244128304923,0.5133539122265548,0.20584080572843186,1.5782455447371746,21
