tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
TP53,BCL2,Repression,-1.0,A,0.2720906968989674,0.3046848949649814,0.35978127,0.5778597,0.13716599714310515,1.7245388547237723,0
MEF2D,ATF3,Activation,1.0,A,0.148132710903632,0.0570190063354454,0.17380823,0.07219076,-0.05550428497105042,-0.03444682832197943,1
LEF1,TCF3,Activation,1.0,A,0.2694231410470174,0.1312104034678185,0.56485283,0.15747,-0.023011137914636836,0.49247920934569894,2
KLF10,CDKN1A,Activation,1.0,A,0.1580526842280743,0.0708569523174387,0.24608192,0.104368836,-0.043243775197974905,0.06383375847895917,3
MYC,WRN,Activation,1.0,A,0.2710070023341127,0.0816938979659874,0.41546583,0.09203144,-0.04794457720466737,0.14080048308210194,4
MYC,TFAP4,Activation,1.0,A,0.2710070023341127,0.0689396465488493,0.41546583,0.07360811,-0.0549642454258996,0.050216568741480005,5
MYC,ST3GAL1,Activation,1.0,A,0.2710070023341127,0.2201567189063059,0.41546583,0.27508947,0.021804302928966214,1.1241984028192897,6
MYC,HLA-F,Activation,1.0,A,0.2710070023341127,0.7079026342112985,0.41546583,1.5131941,0.4935476699408737,4.588293061687916,7
MYC,HDAC2,Activation,1.0,A,0.2710070023341127,0.2718406135378471,0.41546583,0.3647826,0.05597923299447831,1.4912704740035179,8
MYBL1,NCL,Activation,1.0,A,0.1031177059019644,0.7981827275757313,0.16380519,2.3808444,0.8241403064540669,5.229485082804759,9
JUND,ITGAV,Repression,-1.0,A,0.8939646548848109,0.0501000333444483,3.986715,0.055685073,-0.06179329170889347,-0.0835871217224519,10
IRF3,PURA,Repression,-1.0,A,0.374541513837922,0.3454484828275924,0.5066588,0.49407062,0.10524063174161234,2.014052149577084,11
IRF3,IRF7,Activation,1.0,A,0.374541513837922,0.3548682894297908,0.5066588,0.74826354,0.20209337023059482,2.080953994809035,12
IRF1,CASP7,Activation,1.0,A,0.7586695565187219,0.1199566522174016,3.5529811,0.13888083,-0.03009399459190872,0.412552226103967,13
HSF2,MAPK8,Repression,-1.0,A,0.0769423141047007,0.1009503167722547,0.08519566,0.11070501,-0.04082956238889002,0.2775644321846094,14
HSF2,MAP2K4,Repression,-1.0,A,0.0769423141047007,0.1219573191063644,0.08519566,0.13929778,-0.029935128053403315,0.4267614675691624,15
IRF4,FCER2,Activation,1.0,A,0.0581027009003003,0.0988662887629184,0.087279335,0.20748629,-0.0039539011687860495,0.2627631389916973,16
IRF7,CXCL10,Activation,1.0,A,0.3548682894297908,0.0726908969656547,0.74826354,0.62320834,0.15444476309280594,0.07685889648872225,17
JUN,TXN,Activation,1.0,A,0.6497165721906392,0.5640213404467455,2.2591062,1.506515,0.4910027952620598,3.5664117796494397,18
JUN,TNFRSF10A,Activation,1.0,A,0.6497165721906392,0.1033677892630847,2.2591062,0.11487321,-0.0392413923306139,0.2947339322883867,19
JUN,TIMP2,Activation,1.0,A,0.6497165721906392,0.3398632877625721,2.2591062,0.71340996,0.18881343832240152,1.9743846838200863,20
JUN,POLD2,Activation,1.0,A,0.6497165721906392,0.147965988662885,2.2591062,0.17105746,-0.0178340357746185,0.6114816066167313,21
JUN,PDHA1,Activation,1.0,A,0.6497165721906392,0.1933144381460501,2.2591062,0.22674157,0.003382757139290101,0.9335577464945509,22
JUN,NFKB2,Activation,1.0,A,0.6497165721906392,0.1749749916638878,2.2591062,0.21032028,-0.00287409260310927,0.8033063663969038,23
JUN,RUNX2,Activation,1.0,A,0.6497165721906392,0.100283427809267,2.2591062,0.14663315,-0.0271402009864735,0.27282801836287685,24
JUN,ETS2,Activation,1.0,A,0.6497165721906392,0.1709736578859614,2.2591062,0.23882943,0.007988480789938721,0.7748878834665074,25
JUN,CTSL,Activation,1.0,A,0.6497165721906392,0.086612204068021,2.2591062,0.1558024,-0.02364652786453877,0.17573153501737412,26
JUN,CREM,Activation,1.0,A,0.6497165721906392,0.0880293431143697,2.2591062,0.10061785,-0.044672978128307644,0.18579641438855451,27
JUN,CD82,Activation,1.0,A,0.6497165721906392,0.134878292764251,2.2591062,0.1752255,-0.01624592667963812,0.5185294853652287,28
