dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
PBMC10k,all,dorothea_ab,0,4931,ETS1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,3725,NFYB,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,408,MYC,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1670,JUN,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1139,CEBPA,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1675,TP53,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2708,TP53,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,620,MYC,RPL10,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2279,SPI1,AIF1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1878,STAT1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1512,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,5262,ETS1,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1764,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,724,FLI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1676,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1298,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,423,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2892,VDR,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1992,CREB1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2036,SRF,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1626,POU2F1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,924,SPI1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,3563,TBP,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1940,ETS1,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,631,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,282,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,414,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1414,ELK3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,533,NFAT5,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1947,TP53,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1555,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2064,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,626,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,725,ETS2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2872,VDR,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,777,E2F4,LGALS1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,357,MYC,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,443,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1725,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2059,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1104,NFYA,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2549,NFYA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1632,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1107,ATF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1368,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2470,GATA3,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1985,JUN,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1529,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,720,FOS,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1028,TCF7L2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1735,HIF1A,LGALS1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,968,NFYB,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1328,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,126,SPI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1576,CEBPB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1385,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1951,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,950,RFX5,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,3637,STAT1,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,421,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,3130,STAT1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,4584,CREB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,636,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1312,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,194,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,418,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,4917,ETS1,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1737,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,3718,E2F4,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1039,MYC,RPL13,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,2121,SPI1,TYROBP,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1850,ETS1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,208,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,161,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1066,NFKB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,81,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1870,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,157,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,616,MYC,RPL27A,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,1866,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,0,3407,SPI1,FYB1,caliper_candidates_exhausted_by_unique_constraint,False
PBMC10k,all,dorothea_ab,0,3106,STAT1,FYB1,caliper_candidates_exhausted_by_unique_constraint,False
PBMC10k,all,dorothea_ab,1,126,SPI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1107,ATF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1139,CEBPA,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,421,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1735,HIF1A,LGALS1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1878,STAT1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1985,JUN,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,423,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,357,MYC,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,725,ETS2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1512,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,208,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,81,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1992,CREB1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1764,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1028,TCF7L2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,414,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2121,SPI1,TYROBP,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,636,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,924,SPI1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2549,NFYA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2036,SRF,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,443,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,950,RFX5,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1866,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1676,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1529,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1951,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,194,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2872,VDR,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2064,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,631,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,408,MYC,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,161,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,3563,TBP,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2892,VDR,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2059,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2470,GATA3,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2708,TP53,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,620,MYC,RPL10,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,3725,NFYB,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1632,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,4931,ETS1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,777,E2F4,LGALS1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,720,FOS,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1947,TP53,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,4584,CREB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1870,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,616,MYC,RPL27A,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1675,TP53,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1626,POU2F1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,282,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,724,FLI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1328,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1737,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,5262,ETS1,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1940,ETS1,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1725,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1039,MYC,RPL13,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,3637,STAT1,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1368,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1298,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,968,NFYB,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1850,ETS1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,3130,STAT1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,157,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,4917,ETS1,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,3718,E2F4,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,626,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1312,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1576,CEBPB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1385,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1414,ELK3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1104,NFYA,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,418,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,533,NFAT5,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1555,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,2279,SPI1,AIF1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1670,JUN,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1066,NFKB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,1,1273,STAT1,S100A10,caliper_candidates_exhausted_by_unique_constraint,False
PBMC10k,all,dorothea_ab,1,3319,SPI1,LCP1,caliper_candidates_exhausted_by_unique_constraint,False
PBMC10k,all,dorothea_ab,2,1940,ETS1,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,4584,CREB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,4931,ETS1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1104,NFYA,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,725,ETS2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1878,STAT1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1764,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1555,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2036,SRF,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,968,NFYB,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2121,SPI1,TYROBP,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1735,HIF1A,LGALS1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2064,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1576,CEBPB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,533,NFAT5,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1737,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,421,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1626,POU2F1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2279,SPI1,AIF1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,4917,ETS1,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,423,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,626,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1066,NFKB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,126,SPI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,724,FLI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2470,GATA3,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,194,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,408,MYC,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1328,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,208,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1725,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,282,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1870,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1676,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,3718,E2F4,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,357,MYC,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1675,TP53,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,414,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,157,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1951,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,3637,STAT1,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,620,MYC,RPL10,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1947,TP53,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2892,VDR,EEF1A1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,418,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2872,VDR,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,631,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2708,TP53,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,161,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1414,ELK3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,5262,ETS1,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,3130,STAT1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,777,E2F4,LGALS1,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1985,JUN,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,81,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1992,CREB1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1368,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1670,JUN,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,3725,NFYB,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1512,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1139,CEBPA,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,1385,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,2549,NFYA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,dorothea_ab,2,720,FOS,HLA-DRA,all_caliper_candidates_excluded,False
