dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
PBMC10k,all,trrust_dorothea_intersection,0,16,ATF3,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,0.07219076,0.0570190063354454,17
PBMC10k,all,trrust_dorothea_intersection,0,198,FOXO3,TNFSF10,NCF1,Activation,0.21507192103135744,0.25,0,4.0093765,3.6843536,0.565271757252347,0.5900300100032579,0.2870103,0.2166555518506204,207
PBMC10k,all,trrust_dorothea_intersection,0,190,FOXO1,TNFSF10,NCF1,Activation,0.21507192103135744,0.25,0,4.0093765,3.6843536,0.565271757252347,0.5900300100032579,0.19389808,0.1632210736912292,199
PBMC10k,all,trrust_dorothea_intersection,0,587,RFX5,HLA-DPB1,FCER1G,Activation,0.28567568112945824,0.25,0,4.220864,4.72183,0.5259253084360845,0.4959986662220204,0.12704407,0.1112870956985626,603
PBMC10k,all,trrust_dorothea_intersection,0,280,JUN,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,2.2591062,0.6497165721906392,290
PBMC10k,all,trrust_dorothea_intersection,0,508,REL,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,0.58986443,0.3631210403467611,522
PBMC10k,all,trrust_dorothea_intersection,0,260,IRF1,TNFSF10,NCF1,Activation,0.21507192103135744,0.25,0,4.0093765,3.6843536,0.565271757252347,0.5900300100032579,3.5529811,0.7586695565187219,270
PBMC10k,all,trrust_dorothea_intersection,0,747,SP1,TNFSF10,NCF1,Activation,0.21507192103135744,0.25,0,4.0093765,3.6843536,0.565271757252347,0.5900300100032579,0.40529555,0.2797599199733236,766
PBMC10k,all,trrust_dorothea_intersection,0,783,SPI1,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,1.8685457,0.4275591863954283,803
PBMC10k,all,trrust_dorothea_intersection,0,313,JUND,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,3.986715,0.8939646548848109,323
PBMC10k,all,trrust_dorothea_intersection,0,403,NFKB1,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,0.5491799,0.359286428809583,414
PBMC10k,all,trrust_dorothea_intersection,0,525,RELA,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,0.2434963,0.2120706902300798,539
PBMC10k,all,trrust_dorothea_intersection,0,802,SPI1,MNDA,FCN1,Activation,0.148142612129306,0.25,0,7.60538,7.989433,0.4518172724240986,0.4485661887295345,1.8685457,0.4275591863954283,823
PBMC10k,all,trrust_dorothea_intersection,0,703,SP1,MNDA,FCN1,Activation,0.148142612129306,0.25,0,7.60538,7.989433,0.4518172724240986,0.4485661887295345,0.40529555,0.2797599199733236,722
PBMC10k,all,trrust_dorothea_intersection,0,862,STAT1,S100A10,LCP1,Activation,0.2064452622799355,0.25,0,5.459279,5.9992237,0.8182727575857297,0.8158552850949,3.1569238,0.694648216071922,884
PBMC10k,all,trrust_dorothea_intersection,0,588,RFX5,HLA-DQA1,CD14,Activation,0.3162804112164508,0.25,0,2.503589,1.9396497,0.3291097032343986,0.3617872624207861,0.12704407,0.1112870956985626,604
PBMC10k,all,trrust_dorothea_intersection,0,244,IRF1,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,3.5529811,0.7586695565187219,254
PBMC10k,all,trrust_dorothea_intersection,0,71,CREB1,CCL5,FCGR3A,Activation,0.3289476551462179,0.25,0,2.0445166,1.4739962,0.1663054351450474,0.2010670223407824,0.47023085,0.3244414804934861,76
PBMC10k,all,trrust_dorothea_intersection,0,459,NFKB1,TNFSF10,NCF1,Activation,0.21507192103135744,0.25,0,4.0093765,3.6843536,0.565271757252347,0.5900300100032579,0.5491799,0.359286428809583,471
PBMC10k,all,trrust_dorothea_intersection,0,844,STAT1,HLA-E,RPL31,Activation,0.19595899415529827,0.25,0,7.3577914,7.489179,0.9786595531842234,0.9519839946647234,3.1569238,0.694648216071922,866
PBMC10k,all,trrust_dorothea_intersection,0,210,HBP1,NCF1,TNFSF10,Repression,0.21507192103135744,0.25,0,3.6843536,4.0093765,0.5900300100032579,0.565271757252347,0.3947079,0.3009336445481768,219
PBMC10k,all,trrust_dorothea_intersection,0,271,IRF8,CYBB,IL32,Activation,0.051739053771977295,0.25,0,4.499658,4.3638673,0.4816605535177892,0.4816605535177892,0.7768535,0.3225241747248971,281
PBMC10k,all,trrust_dorothea_intersection,0,248,IRF1,CYBB,IL32,Activation,0.051739053771977295,0.25,0,4.499658,4.3638673,0.4816605535177892,0.4816605535177892,3.5529811,0.7586695565187219,258
PBMC10k,all,trrust_dorothea_intersection,0,790,SPI1,CYBB,IL32,Activation,0.051739053771977295,0.25,0,4.499658,4.3638673,0.4816605535177892,0.4816605535177892,1.8685457,0.4275591863954283,811
PBMC10k,all,trrust_dorothea_intersection,0,586,RFX5,HLA-DPA1,TYMP,Activation,0.20472429236092252,0.25,0,6.742542,7.2068653,0.561270423474422,0.5467655885294439,0.12704407,0.1112870956985626,602
PBMC10k,all,trrust_dorothea_intersection,0,591,RFX5,HLA-DRB1,LST1,Activation,0.14402490317764965,0.25,0,5.5847845,5.6934257,0.530593531176997,0.5111703901299861,0.12704407,0.1112870956985626,608
PBMC10k,all,trrust_dorothea_intersection,0,90,CREM,DUSP1,HLA-DRB1,Repression,0.19958286353803922,0.25,0,5.0690584,5.5847845,0.5256752250749642,0.530593531176997,0.10061785,0.0880293431143697,96
PBMC10k,all,trrust_dorothea_intersection,0,721,SP1,RPS3A,RPS6,Activation,0.11045273614540554,0.25,0,31.919973,31.630424,0.9810770256750532,0.981827275758414,0.40529555,0.2797599199733236,740
PBMC10k,all,trrust_dorothea_intersection,0,961,TP53,DUSP1,FCER1G,Activation,0.24885290470270185,0.25,0,5.0690584,4.72183,0.5256752250749642,0.4959986662220204,0.35978127,0.2720906968989674,988
PBMC10k,all,trrust_dorothea_intersection,0,11,ATF2,DUSP1,HLA-DRB1,Activation,0.19958286353803922,0.25,0,5.0690584,5.5847845,0.5256752250749642,0.530593531176997,0.22132294,0.1853951317105709,12
PBMC10k,all,trrust_dorothea_intersection,0,252,IRF1,HLA-A,RPL22,Activation,0.08285535936033815,0.25,0,15.145466,15.189851,0.985078359452978,0.9736578859618172,3.5529811,0.7586695565187219,262
PBMC10k,all,trrust_dorothea_intersection,0,191,FOXO1,TXNIP,H3F3A,Activation,0.05394242127539218,0.25,0,12.857609,12.864595,0.9784928309434764,0.9709069689894936,0.19389808,0.1632210736912292,200
