dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
PBMC10k,all,trrust_dorothea_intersection,0,121,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,421,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,696,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,607,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,229,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,1036,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,544,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,773,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,582,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,958,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,65,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,126,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,924,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,405,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,937,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,1108,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,849,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,42,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,80,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,698,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,1042,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,512,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,911,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,1064,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,946,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,810,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,97,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,1055,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,1,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,69,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,52,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,0,503,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,582,RELA,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,1108,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,1036,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,69,CEBPD,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,607,RFX5,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,97,CREM,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,1042,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,1055,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,849,SRF,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,121,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,65,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,1064,USF2,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,52,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,229,HIF1A,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,544,RELA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,512,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,126,ELK4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,937,STAT4,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,421,NFKB1,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,503,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,405,NFKB1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,946,STAT6,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,958,TCF4,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,1,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,80,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,698,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,773,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,810,SPI1,CTSS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,42,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,696,SP1,FGL2,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,924,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,1,911,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,773,SP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,52,CEBPA,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,65,CEBPB,S100A9,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,503,POU2F2,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,1055,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,924,STAT3,S100A11,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,1036,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,42,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,698,SP1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,512,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,1042,USF1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,1,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,1108,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_intersection,2,946,STAT6,FOS,all_caliper_candidates_excluded,False
