dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
PBMC10k,all,trrust_dorothea_union,0,1460,EP300,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,17,AHR,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4536,SFPQ,NEAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,6427,TP53,VCAN,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3898,PARP1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3488,MYC,RPL13,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,1417,ELK1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3979,PPARD,SAT1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,75,ATF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3576,NF1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,6153,TP53,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3818,NFYB,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4938,SPI1,B2M,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,5029,SPI1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,5315,SRF,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,2864,HSF2,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,1602,ETS1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,640,CREB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3751,NFKB1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3825,NFYB,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,1013,CTNNB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,5481,STAT1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4612,SMARCA4,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,1437,ELK3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3806,NFYA,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3494,MYC,RPL27A,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,5942,STAT3,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4232,RFX5,CD74,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4917,SPI1,AIF1,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3487,MYC,RPL10,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,694,CREBBP,S100A4,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,6492,USF1,S100A6,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,5344,STAT1,ACTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,331,CEBPA,GAPDH,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,2818,HIPK2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,646,CREB1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3583,NFAT5,LTB,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4020,RB1,FOS,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,3777,NFKB1,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,1809,ETS1,TMSB4X,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,6805,ZEB2,VIM,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,2009,FOS,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,2616,HDAC1,HLA-DRA,all_caliper_candidates_excluded,False
PBMC10k,all,trrust_dorothea_union,0,4854,SP1,VIM,all_caliper_candidates_excluded,False
