tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,22909821,0.2945981993997955,0.4886628876291579,0.3623645,0.8149618,0.22750678116843745,3.0311970177938288,0
AATF,CDKN1A,Unknown,17157788,0.2945981993997955,0.0708569523174387,0.3623645,0.104368836,-0.043243775197974905,0.06383375847895917,1
AATF,MYC,Activation,20549547,0.2945981993997955,0.2710070023341127,0.3623645,0.41546583,0.07529058761823003,1.4853499567263537,2
AATF,TP53,Unknown,17157788,0.2945981993997955,0.2720906968989674,0.3623645,0.35978127,0.054073623245052146,1.493046629186667,3
ABL1,BAX,Activation,11753601,0.0611870623541183,0.4886628876291579,0.064604774,0.8149618,0.22750678116843745,3.0311970177938288,4
ABL1,BCL2,Repression,11753601,0.0611870623541183,0.3046848949649814,0.064604774,0.5778597,0.13716599714310515,1.7245388547237723,5
ABL1,BCL6,Repression,15509806,0.0611870623541183,0.1882294098032687,0.064604774,0.3059335,0.033556513696820535,0.8974425911038394,6
ABL1,CCND2,Activation,15509806,0.0611870623541183,0.2890130043347752,0.064604774,0.4857372,0.10206542706644334,1.6132331299130929,7
ABL1,CDKN1A,Activation,11753601;9916993,0.0611870623541183,0.0708569523174387,0.064604774,0.104368836,-0.043243775197974905,0.06383375847895917,8
ABL1,FOXO3,Activation,15509806,0.0611870623541183,0.2166555518506204,0.064604774,0.2870103,0.026346384709063066,1.0993322302551938,9
ABL1,JUN,Activation,15145216,0.0611870623541183,0.6497165721906392,0.064604774,2.2591062,0.777755544641191,4.175040955741881,10
ABL1,PIM1,Activation,15145216,0.0611870623541183,0.3832110703567595,0.064604774,0.65180755,0.16534165120094638,2.282251582232605,11
ABL1,TP53,Activation,11753601,0.0611870623541183,0.2720906968989674,0.064604774,0.35978127,0.054073623245052146,1.493046629186667,12
AHR,ARNT,Unknown,19255421;8631989,0.2662554184728268,0.1537179059686541,0.5568498,0.18547884,-0.012339192937177381,0.6523331758291754,13
AHR,CCNG2,Activation,22596188,0.2662554184728268,0.1453817939313076,0.5568498,0.18231119,-0.01354613283571832,0.5931280030575176,14
AHR,CYP1B1,Activation,16115918;19287966,0.2662554184728268,0.1917305768589543,0.5568498,0.5604354,0.13052697993029855,0.9223087636679363,15
AHR,IL1B,Unknown,23349129,0.2662554184728268,0.0821940646882281,0.5568498,0.16480523,-0.02021626419059079,0.14435279344840074,17
AHR,MT2A,Unknown,23994556,0.2662554184728268,0.5882794264754158,0.5568498,2.0481071,0.697360541296052,3.738698832414907,18
AHR,MYC,Unknown,11114727;16091746,0.2662554184728268,0.2710070023341127,0.5568498,0.41546583,0.07529058761823003,1.4853499567263537,19
AHR,PCNA,Activation,12417031,0.2662554184728268,0.1495498499499809,0.5568498,0.18606216,-0.012116936001715161,0.6227305894433469,20
AIP,AHR,Activation,11469723,0.4240580193397439,0.2662554184728268,0.59236574,0.5568498,0.12916079247265375,1.4516030082465203,21
AIP,NFKB2,Repression,21984905,0.4240580193397439,0.1749749916638878,0.59236574,0.21032028,-0.00287409260310927,0.8033063663969038,22
AIP,RSF1,Repression,21984905,0.4240580193397439,0.4504001333777501,0.59236574,0.7405131,0.1991402929438846,2.7594452747720095,23
APBB1,GMPS,Repression,21453247,0.0555185061687231,0.2119873291097063,0.062020496,0.25533348,0.014276863797062172,1.0661773335030649,24
