dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
PBMC10k,all,trrust,formal_abs,pearson,0,2651,2651,0.5,0.5195894846766436,0.5190426132915814,1.0451127819548873,0.0411289595067501,0.0366130620241165,0.004515897482633598,0.03917896935328713
PBMC10k,all,trrust,formal_abs,spearman,0,2651,2651,0.5,0.5124358245203585,0.5143922536094798,1.0,0.0596461929380893,0.0569323301315307,0.002713862806558602,0.024871649040717037
PBMC10k,all,trrust,formal_abs,mutual_information,0,2651,2651,0.5,0.503535600965366,0.5051688958204366,1.0150375939849625,0.0144026335,0.014775359,-0.00037272550000000057,0.007071201930731963
PBMC10k,all,trrust,formal_abs,coexpression_probability,0,2651,2651,0.5,0.5000896439725598,0.5007447834873647,0.9924812030075187,0.0725241750478744,0.0737745910882949,-0.0012504160404205045,0.00017928794511967716
PBMC10k,all,trrust,formal_abs,codetection_odds_ratio,0,2651,2651,0.5,0.502057969484338,0.5134212887559895,1.0902255639097744,1.6484785079956057,1.6317936182022097,0.016684889793395996,0.004115938968676014
PBMC10k,all,trrust,formal_abs,pearson,1,2651,2651,0.5,0.5240430826086282,0.5221715902567753,1.0601503759398496,0.0411289595067501,0.0360012054443359,0.005127754062414197,0.048086165217256394
PBMC10k,all,trrust,formal_abs,spearman,1,2651,2651,0.5,0.5184841602657788,0.5193656734920691,1.0225563909774436,0.0596461929380893,0.0557831525802612,0.0038630403578280986,0.03696832053155741
PBMC10k,all,trrust,formal_abs,mutual_information,1,2651,2651,0.5,0.5067019541389974,0.5084088158706704,1.037593984962406,0.0144026335,0.014180975,0.00022165849999999931,0.01340390827799487
PBMC10k,all,trrust,formal_abs,coexpression_probability,1,2651,2651,0.5,0.5041980414641792,0.5032676016380344,1.0150375939849625,0.0725241750478744,0.072357453405857,0.00016672164201739226,0.008396082928358473
PBMC10k,all,trrust,formal_abs,codetection_odds_ratio,1,2651,2651,0.5,0.5171103308132943,0.5221189039294202,1.1278195488721805,1.6484785079956057,1.5984690189361572,0.050009489059448464,0.034220661626588544
PBMC10k,all,trrust,formal_abs,pearson,2,2651,2651,0.5,0.5219109789819034,0.5224500650901368,1.0451127819548873,0.0411289595067501,0.037657655775547,0.0034713037312031,0.043821957963806835
PBMC10k,all,trrust,formal_abs,spearman,2,2651,2651,0.5,0.5139621198722046,0.5184886170748892,1.0150375939849625,0.0596461929380893,0.0568006597459316,0.0028455331921577037,0.027924239744409274
PBMC10k,all,trrust,formal_abs,mutual_information,2,2651,2651,0.5,0.5061855763986487,0.5095665385504304,1.0225563909774436,0.0144026335,0.014474175,-7.154150000000109e-05,0.012371152797297391
PBMC10k,all,trrust,formal_abs,coexpression_probability,2,2651,2651,0.5,0.5028361645413694,0.5028548224561793,1.0,0.0725241750478744,0.0735245048999786,-0.0010003298521042009,0.005672329082738736
PBMC10k,all,trrust,formal_abs,codetection_odds_ratio,2,2651,2651,0.5,0.5152974593332964,0.5228124892658774,1.112781954887218,1.6484785079956057,1.6245635747909546,0.0239149332046511,0.030594918666592807
PBMC10k,all,trrust,formal_abs,pearson,3,2651,2651,0.5,0.5192378099493711,0.5200829785695421,1.0601503759398496,0.0411289595067501,0.0377061069011688,0.0034228526055812974,0.03847561989874215
PBMC10k,all,trrust,formal_abs,spearman,3,2651,2651,0.5,0.5129900519380102,0.5167994905762998,1.0075187969924813,0.0596461929380893,0.0560922287404537,0.003553964197635602,0.025980103876020344
PBMC10k,all,trrust,formal_abs,mutual_information,3,2651,2651,0.5,0.5057974037682627,0.5079434938740417,1.037593984962406,0.0144026335,0.014227544,0.00017508949999999954,0.011594807536525309
PBMC10k,all,trrust,formal_abs,coexpression_probability,3,2651,2651,0.5,0.5025869400684511,0.5023522291726416,0.9924812030075187,0.0725241750478744,0.0727742612361908,-0.0002500861883164007,0.005173880136901898
PBMC10k,all,trrust,formal_abs,codetection_odds_ratio,3,2651,2651,0.5,0.5108920983960701,0.519502058866292,1.105263157894737,1.6484785079956057,1.613418698310852,0.03505980968475364,0.021784196792140165
PBMC10k,all,trrust,formal_abs,pearson,4,2651,2651,0.5,0.5243470183632121,0.5240599442364742,1.0751879699248121,0.0411289595067501,0.0376595519483089,0.003469407558441197,0.04869403672642414
