dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,405.0,405.0,0.5,0.5601761926535589,0.011425351313727319,0.5655579045528623,0.010685016941043816,1.2926829268292683,0.04740611296622201,0.06729096174240112,0.013630939347094622,0.12035238530711782,0.022850702627454676,1.400678038597107,1.3333870768547058,0.5520029886883497,0.568349396618768,0.5579143038938663,0.5732015052118582,1.2587706365345137,1.326595217124023,0.057539975145836336,0.07704194833896591,0.10400597737669953,0.13669879323753611
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,405.0,405.0,0.5,0.5168193872885232,0.0033415709604712367,0.5202362564005223,0.003744821178906393,1.048780487804878,0.05268894876754362,0.0009590243920683861,0.00027569950351790263,0.033638774577046116,0.006683141920942438,0.01830863207578659,0.017349607683718203,0.5144289714252195,0.5192098031518269,0.5175573727086341,0.5229151400924105,1.0110890844366345,1.0864718911731217,0.000761800848259159,0.0011562479358776133,0.028857942850438804,0.03841960630365343
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,mutual_information,10,405.0,405.0,0.5,0.5251589696692578,0.006321958616251378,0.5397444238624378,0.004027198462708349,1.248780487804878,0.08965234960709086,0.00022063867654651404,7.76472865681839e-05,0.05031793933851545,0.012643917232502733,0.0020384809467941523,0.0018178422702476381,0.520636512913976,0.5296814264245396,0.5368635396304978,0.5426253080943778,1.1846470603785713,1.3129139152311848,0.00016509315387148527,0.0002761841992215428,0.041273025827951886,0.059362852849079016
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,pearson,10,405.0,405.0,0.5,0.5418576436518824,0.010682572040689382,0.556125084944019,0.006797587702451825,1.3414634146341464,0.04740611296622199,0.002509339153766632,0.0016420000915211893,0.08371528730376468,0.021365144081378646,0.02376898005604744,0.02125964090228081,0.5342157919692394,0.5494994953345254,0.5512623836372519,0.5609877862507862,1.3075511243393918,1.375375704928901,0.0013347230487221937,0.0036839552588110703,0.06843158393847874,0.09899899066905062
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,formal_abs,spearman,10,405.0,405.0,0.5,0.5436646852613931,0.01015304066587017,0.5591275033362311,0.006735019359437663,1.3853658536585365,0.025190135585088837,0.002407536469399929,0.0012218013611275539,0.08732937052278615,0.020306081331740382,0.03176947310566902,0.02936193663626909,0.5364016375046455,0.5509277330181407,0.5543095607257331,0.563945445946729,1.3673459162058617,1.4033857911112113,0.001533512428015081,0.0032815605107847775,0.07280327500929107,0.10185546603628123
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,805.0,805.0,0.5,0.5648180239959878,0.009022406429242935,0.5679781114604853,0.008131685119925451,1.3901234567901235,0.06053720345163222,0.09388188123703003,0.014572622317713214,0.12963604799197564,0.01804481285848586,1.4588814973831177,1.3649996161460876,0.558363783248518,0.5712722647434576,0.5621610543529149,0.5737951685680557,1.3468177502339425,1.4334291633463045,0.08345725522421531,0.10430650724984476,0.11672756649703601,0.1425445294869153
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,805.0,805.0,0.5,0.5169278963002971,0.002886441944343797,0.5135622517280439,0.0016141321835339566,1.037037037037037,0.016460905349794237,0.003102191537618637,0.0009808105004263548,0.033855792600594084,0.005772883888687614,0.04105839505791664,0.03795620352029801,0.5148630601217796,0.5189927324788146,0.5124075711234326,0.5147169323326553,1.02526161471683,1.0488124593572439,0.0024005619727078455,0.0038038211025294283,0.02972612024355906,0.03798546495762911
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,mutual_information,10,805.0,805.0,0.5,0.5251995679179043,0.0014481969900515912,0.5276504632984877,0.0037072179130308654,1.1925925925925926,0.058256258005551904,0.0004680451937019825,6.358951382324216e-05,0.050399135835808816,0.0028963939801031607,0.004337530583143234,0.0038694853894412516,0.5241635901998912,0.5262355456359175,0.5249984793625301,0.5303024472344454,1.1509185761133662,1.234266609071819,0.00042255599584235966,0.0005135343915616054,0.048327180399782566,0.052471091271835066
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,pearson,10,805.0,805.0,0.5,0.5540633463215154,0.0051501839571188104,0.5463570844103952,0.004016631229227905,1.1530864197530863,0.05708161608032819,0.0065384600311517715,0.0011361388725354216,0.10812669264303074,0.01030036791423757,0.03953196108341217,0.0329935010522604,0.5503791266608643,0.5577475659821666,0.5434837595219023,0.5492304092988881,1.1122526914870903,1.1939201480190824,0.005725715242562389,0.007351204819741154,0.1007582533217286,0.11549513196433288
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,formal_abs,spearman,10,805.0,805.0,0.5,0.5511801242236025,0.004746400072213151,0.5514980591193168,0.004745566096937008,1.2765432098765432,0.05340289118521266,0.0070503436028957365,0.0011342246261573964,0.102360248447205,0.009492800144426288,0.05196712166070938,0.04491677805781365,0.547784754153531,0.554575494293674,0.5481032856392185,0.5548928325994151,1.2383410828693677,1.3147453368837188,0.006238968183672569,0.007861719022118904,0.09556950830706208,0.10915098858734791
