dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
PBMC10k,all,trrust,0,2651,2651,0,0,0.0,0,0,0.006313819584924758,-0.0015852612572932589
PBMC10k,all,trrust,1,2651,2651,0,0,0.0,0,0,0.006715752812108199,-0.0007030641235044656
PBMC10k,all,trrust,2,2651,2651,0,0,0.0,0,0,0.007359718233082179,-0.0012356737173898735
PBMC10k,all,trrust,3,2651,2651,0,0,0.0,0,0,0.0066102712273585496,-0.0008488272399062276
PBMC10k,all,trrust,4,2651,2651,0,0,0.0,0,0,0.006297410679679081,-0.0011257748484588936
PBMC10k,all,trrust,5,2651,2651,0,0,0.0,0,0,0.006875511365397892,-0.0011497495063031173
PBMC10k,all,trrust,6,2651,2651,0,0,0.0,0,0,0.006907567423853411,-0.0012189565691103105
PBMC10k,all,trrust,7,2651,2651,0,0,0.0,0,0,0.007103425418137736,-0.0007551669742213429
PBMC10k,all,trrust,8,2651,2651,0,0,0.0,0,0,0.005962708612580754,-0.0008730815986031992
PBMC10k,all,trrust,9,2651,2651,0,0,0.0,0,0,0.006279462773752072,-0.0008526808614302324
PBMC10k,all,dorothea_ab,0,5283,5283,0,0,0.0,0,0,0.0038099428144928965,-0.000562457637871417
PBMC10k,all,dorothea_ab,1,5283,5283,0,0,0.0,0,0,0.003693032618728523,-0.0004243079812015107
PBMC10k,all,dorothea_ab,2,5283,5283,0,0,0.0,0,0,0.004231699045454465,-0.00036381505790773457
PBMC10k,all,dorothea_ab,3,5283,5283,0,0,0.0,0,0,0.004343618216706461,-0.0006029250307690338
PBMC10k,all,dorothea_ab,4,5283,5283,0,0,0.0,0,0,0.004048005667201269,-0.0003751775460508623
PBMC10k,all,dorothea_ab,5,5283,5283,0,0,0.0,0,0,0.00396103175345996,-0.0006157314840398529
PBMC10k,all,dorothea_ab,6,5283,5283,0,0,0.0,0,0,0.004240719260970179,-0.0008552347985986953
PBMC10k,all,dorothea_ab,7,5283,5283,0,0,0.0,0,0,0.003634492743801381,-0.00037757823061602725
PBMC10k,all,dorothea_ab,8,5283,5283,0,0,0.0,0,0,0.004228208685709134,-0.0006380432732693826
PBMC10k,all,dorothea_ab,9,5283,5283,0,0,0.0,0,0,0.003811062067225213,-0.0002581690397596967
PBMC10k,all,trrust_dorothea_intersection,0,1079,1079,0,0,0.0,0,0,0.00937448334918648,-0.0019097538665867062
PBMC10k,all,trrust_dorothea_intersection,1,1079,1079,0,0,0.0,0,0,0.011270503350072385,-0.00253874661055316
PBMC10k,all,trrust_dorothea_intersection,2,1079,1079,0,0,0.0,0,0,0.00949784015630229,-0.0025429065670336806
PBMC10k,all,trrust_dorothea_intersection,3,1079,1079,0,0,0.0,0,0,0.010125346842019855,-0.0023879659783771897
PBMC10k,all,trrust_dorothea_intersection,4,1079,1079,0,0,0.0,0,0,0.00923243735109506,-0.0009248726758469579
PBMC10k,all,trrust_dorothea_intersection,5,1079,1079,0,0,0.0,0,0,0.009121046904311748,-0.001302841975970358
PBMC10k,all,trrust_dorothea_intersection,6,1079,1079,0,0,0.0,0,0,0.01082275365596553,-0.002608546242670865
PBMC10k,all,trrust_dorothea_intersection,7,1079,1079,0,0,0.0,0,0,0.00976590050900696,-0.00231782430199792
PBMC10k,all,trrust_dorothea_intersection,8,1079,1079,0,0,0.0,0,0,0.011375286140175453,-0.0014471972189159634
PBMC10k,all,trrust_dorothea_intersection,9,1079,1079,0,0,0.0,0,0,0.011221014537206706,-0.0024572638132993626
PBMC10k,all,trrust_dorothea_union,0,6855,6855,0,0,0.0,0,0,0.004001933533022694,-0.0006248801334475262
PBMC10k,all,trrust_dorothea_union,1,6855,6855,0,0,0.0,0,0,0.004630613482053327,-0.0006370835671735826
PBMC10k,all,trrust_dorothea_union,2,6855,6855,0,0,0.0,0,0,0.0041915974395181745,-0.00052683365615158
PBMC10k,all,trrust_dorothea_union,3,6855,6855,0,0,0.0,0,0,0.004469218188913032,-0.0007191588243941925
PBMC10k,all,trrust_dorothea_union,4,6855,6855,0,0,0.0,0,0,0.004909929790750089,-0.0005661974490485848
PBMC10k,all,trrust_dorothea_union,5,6855,6855,0,0,0.0,0,0,0.004206417725860074,-0.0007176519533737321
PBMC10k,all,trrust_dorothea_union,6,6855,6855,0,0,0.0,0,0,0.004133041722050657,-0.00040606273011735064
PBMC10k,all,trrust_dorothea_union,7,6855,6855,0,0,0.0,0,0,0.004351531616958243,-0.0004851510002844387
PBMC10k,all,trrust_dorothea_union,8,6855,6855,0,0,0.0,0,0,0.004505889657975503,-0.0002775555965074336
PBMC10k,all,trrust_dorothea_union,9,6855,6855,0,0,0.0,0,0,0.0038568689056035265,-0.0005727667211854822
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,0,301,301,0,0,0.0,0,0,0.043588024507800006,0.0011064591899546874
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,1,301,301,0,0,0.0,0,0,0.05243561743567591,-0.0008061375428744866
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,2,301,301,0,0,0.0,0,0,0.05094440095302281,-0.0007625128090404443
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,3,301,301,0,0,0.0,0,0,0.06480195929078394,-3.487276918926017e-05
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,4,301,301,0,0,0.0,0,0,0.06317015730904314,-0.004161482016159886
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,5,301,301,0,0,0.0,0,0,0.05607496162298559,-0.0032574216735805246
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,6,301,301,0,0,0.0,0,0,0.058747464806304904,-0.0005794213902212632
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,7,301,301,0,0,0.0,0,0,0.059956273642893756,-0.002135666613317691
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,8,301,301,0,0,0.0,0,0,0.05803343077200549,0.0021670922582044377
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,9,301,301,0,0,0.0,0,0,0.06428722696498165,0.0015611366723815865
Kang_IFN_beta,stim,trrust_dorothea_intersection,0,294,294,0,0,0.0,0,0,0.02835602682952741,-0.0014901607641769367
Kang_IFN_beta,stim,trrust_dorothea_intersection,1,294,294,0,0,0.0,0,0,0.02648985518000081,-0.0030570462908687964
Kang_IFN_beta,stim,trrust_dorothea_intersection,2,294,294,0,0,0.0,0,0,0.030003733914945985,-0.00161548358529459
Kang_IFN_beta,stim,trrust_dorothea_intersection,3,294,294,0,0,0.0,0,0,0.026977104553954724,-0.0009848534265240335
Kang_IFN_beta,stim,trrust_dorothea_intersection,4,294,294,0,0,0.0,0,0,0.024970272992204924,-0.0012209974808663506
Kang_IFN_beta,stim,trrust_dorothea_intersection,5,294,294,0,0,0.0,0,0,0.022968297789615694,-0.0014045638156049889
Kang_IFN_beta,stim,trrust_dorothea_intersection,6,294,294,0,0,0.0,0,0,0.02422863234928287,0.0005548757103993935
Kang_IFN_beta,stim,trrust_dorothea_intersection,7,294,294,0,0,0.0,0,0,0.02908573997067579,-0.0029298809034886573
Kang_IFN_beta,stim,trrust_dorothea_intersection,8,294,294,0,0,0.0,0,0,0.01677130326482756,-0.001442272261001202
Kang_IFN_beta,stim,trrust_dorothea_intersection,9,294,294,0,0,0.0,0,0,0.021611048166351617,-0.0013000594421172225
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,0,405,405,0,0,0.0,0,0,0.012625155823097488,-0.0031161910438036785
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,1,405,405,0,0,0.0,0,0,0.011070595674964753,-0.0019985622623640968
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,2,405,405,0,0,0.0,0,0,0.012958113120993927,-0.0031667834646743934
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,3,405,405,0,0,0.0,0,0,0.011645895813319769,-0.005074741291111247
