dataset,condition,edge_set,metric,auroc_mean_refined,auprc_mean_refined,enrichment_at_5pct_mean_refined,median_difference_mean_refined,cliffs_delta_mean_refined,auroc_mean_current,auprc_mean_current,enrichment_at_5pct_mean_current,median_difference_mean_current,cliffs_delta_mean_current,delta_auroc_refined_minus_current,delta_auprc_refined_minus_current,delta_enrichment_at_5pct_refined_minus_current,delta_median_difference_refined_minus_current,delta_cliffs_delta_refined_minus_current
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,0.5601761926535589,0.5655579045528623,1.2926829268292683,0.06729096174240112,0.12035238530711782,0.5611388726899798,0.5890875862442229,1.5066666666666666,0.0633970975875854,0.1222777453799593,-0.0009626800364208599,-0.023529681691360604,-0.21398373983739827,0.0038938641548157266,-0.00192536007284147
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,coexpression_probability,0.5168193872885232,0.5202362564005223,1.048780487804878,0.0009590243920683861,0.033638774577046116,0.5546077238633392,0.5654152676130049,1.2755555555555556,0.0029642545618116,0.1092154477266786,-0.03778833657481606,-0.04517901121248258,-0.22677506775067746,-0.002005230169743214,-0.07557667314963248
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,mutual_information,0.5251589696692578,0.5397444238624378,1.248780487804878,0.00022063867654651404,0.05031793933851545,0.5768057873675321,0.5881902271184398,1.4355555555555557,0.0007965660654008,0.1536115747350641,-0.05164681769827428,-0.04844580325600201,-0.18677506775067765,-0.000575927388854286,-0.10329363539654865
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,pearson,0.5418576436518824,0.556125084944019,1.3414634146341464,0.002509339153766632,0.08371528730376468,0.5776956102073237,0.6109820206293524,1.64,0.0054643974639475,0.1553912204146473,-0.03583796655544136,-0.05485693568533334,-0.2985365853658535,-0.0029550583101808684,-0.07167593311088263
GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,spearman,0.5436646852613931,0.5591275033362311,1.3853658536585365,0.002407536469399929,0.08732937052278615,0.5761944740493474,0.6046647981162085,1.6222222222222222,0.0053324581123888,0.1523889480986949,-0.03252978878795432,-0.04553729477997748,-0.23685636856368575,-0.0029249216429888705,-0.06505957757590876
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,codetection_odds_ratio,0.5648180239959878,0.5679781114604853,1.3901234567901235,0.09388188123703003,0.12963604799197564,0.5592463547100829,0.5890029140701396,1.6065934065934069,0.0840630531311035,0.1184927094201658,0.005571669285904912,-0.021024802609654336,-0.21646994980328338,0.009818828105926533,0.011143338571809838
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,coexpression_probability,0.5169278963002971,0.5135622517280439,1.037037037037037,0.003102191537618637,0.033855792600594084,0.522410295133906,0.535824694687917,1.3252747252747257,0.0041970796883106,0.0448205902678119,-0.0054823988336089036,-0.02226244295987312,-0.2882376882376887,-0.0010948881506919628,-0.010964797667217814
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,mutual_information,0.5251995679179043,0.5276504632984877,1.1925925925925926,0.0004680451937019825,0.050399135835808816,0.5453619175142677,0.5701293169137917,1.5164835164835164,0.0007228287635371,0.0907238350285353,-0.020162349596363316,-0.0424788536153039,-0.3238909238909238,-0.0002547835698351175,-0.040324699192726486
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,pearson,0.5540633463215154,0.5463570844103952,1.1530864197530863,0.0065384600311517715,0.10812669264303074,0.5922432960787188,0.6085208462934945,1.6175824175824176,0.0102811986580491,0.1844865921574376,-0.0381799497572034,-0.062163761883099244,-0.46449599782933126,-0.003742738626897328,-0.07635989951440686
GSE178429_IFN_gamma,ifng_6h,trrust_dorothea_intersection,spearman,0.5511801242236025,0.5514980591193168,1.2765432098765432,0.0070503436028957365,0.102360248447205,0.5819027076832869,0.6053112610656903,1.6043956043956045,0.0110464558005332,0.1638054153665738,-0.03072258345968437,-0.05381320194637351,-0.32785239451906123,-0.003996112197637464,-0.06144516691936881
