context_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr,support_fraction,context_level
Adult cell types,Adipogenesis,top_100,140,0,0.7358561091686092,0.1824986659053032,0.0,Adult cell types
Adult cell types,Adipogenesis,top_500,140,2,1.100102634990284,0.0019060726830826,0.014285714285714285,Adult cell types
Adult cell types,Adipogenesis,top_5pct,140,0,0.0,0.439085923184671,0.0,Adult cell types
Adult cell types,Allograft Rejection,top_100,140,19,2.2200075331172893,8.046252196286092e-05,0.1357142857142857,Adult cell types
Adult cell types,Allograft Rejection,top_500,140,44,1.8782180436928624,1.2582830437716164e-05,0.3142857142857143,Adult cell types
Adult cell types,Allograft Rejection,top_5pct,140,7,2.4000128161312375,0.0040558648094279,0.05,Adult cell types
Adult cell types,Androgen Response,top_100,140,0,0.0,0.0785499528800799,0.0,Adult cell types
Adult cell types,Androgen Response,top_500,140,0,0.936842105263158,0.044570869818892,0.0,Adult cell types
Adult cell types,Androgen Response,top_5pct,140,0,0.0,0.2294866985453182,0.0,Adult cell types
Adult cell types,Angiogenesis,top_100,140,0,2.1603386408479786,0.0446894086101593,0.0,Adult cell types
Adult cell types,Angiogenesis,top_500,140,0,2.134920634920635,0.0740486217464584,0.0,Adult cell types
Adult cell types,Angiogenesis,top_5pct,140,0,0.0,0.1376849462825472,0.0,Adult cell types
Adult cell types,Apical Junction,top_100,140,1,1.0667592017587353,0.0118156346675385,0.007142857142857143,Adult cell types
Adult cell types,Apical Junction,top_500,140,9,1.0359787167449137,0.0007961782223794,0.06428571428571428,Adult cell types
Adult cell types,Apical Junction,top_5pct,140,0,0.0,0.0440992342509251,0.0,Adult cell types
Adult cell types,Apical Surface,top_100,140,0,3.975716248037677,0.0204915438978938,0.0,Adult cell types
Adult cell types,Apical Surface,top_500,140,4,2.275173611111111,0.027299163018944,0.02857142857142857,Adult cell types
Adult cell types,Apical Surface,top_5pct,140,0,0.0,0.2487627355574618,0.0,Adult cell types
Adult cell types,Apoptosis,top_100,140,94,3.1820235533237686,3.952855453891778e-07,0.6714285714285714,Adult cell types
Adult cell types,Apoptosis,top_500,140,136,2.1499645419535947,1.6688884739483974e-10,0.9714285714285714,Adult cell types
Adult cell types,Apoptosis,top_5pct,140,62,3.9623917344715665,3.073128698096557e-06,0.44285714285714284,Adult cell types
Adult cell types,Bile Acid Metabolism,top_100,140,0,0.0,0.2537146061115783,0.0,Adult cell types
Adult cell types,Bile Acid Metabolism,top_500,140,0,0.9007430238781318,0.1057536400380394,0.0,Adult cell types
Adult cell types,Bile Acid Metabolism,top_5pct,140,0,0.0,0.5267243279186348,0.0,Adult cell types
Adult cell types,Cholesterol Homeostasis,top_100,140,7,2.134624756335283,0.0078513021946973,0.05,Adult cell types
Adult cell types,Cholesterol Homeostasis,top_500,140,23,1.8996914027114757,0.0007410833574407,0.16428571428571428,Adult cell types
Adult cell types,Cholesterol Homeostasis,top_5pct,140,11,2.7013928799489144,0.0070532087675696,0.07857142857142857,Adult cell types
Adult cell types,Coagulation,top_100,140,0,0.0,0.0822720322956578,0.0,Adult cell types
Adult cell types,Coagulation,top_500,140,0,1.0921545333586253,0.0491213760046761,0.0,Adult cell types
Adult cell types,Coagulation,top_5pct,140,0,0.0,0.3213462497626324,0.0,Adult cell types
Adult cell types,Complement,top_100,140,1,1.5822048976720144,0.0314298147285966,0.007142857142857143,Adult cell types
Adult cell types,Complement,top_500,140,55,1.715031382750728,0.0001783950475358,0.39285714285714285,Adult cell types
Adult cell types,Complement,top_5pct,140,0,1.3616704345559258,0.0835957278166351,0.0,Adult cell types
Adult cell types,Dna Repair,top_100,140,0,0.0,0.1013480911359035,0.0,Adult cell types
Adult cell types,Dna Repair,top_500,140,0,0.34199497676054347,0.169723383623924,0.0,Adult cell types
Adult cell types,Dna Repair,top_5pct,140,0,0.0,0.3971934409278752,0.0,Adult cell types
Adult cell types,E2F Targets,top_100,140,4,1.7667164357381748,0.0064118101757596,0.02857142857142857,Adult cell types
Adult cell types,E2F Targets,top_500,140,47,1.7966397630638105,4.893792672564821e-05,0.3357142857142857,Adult cell types
Adult cell types,E2F Targets,top_5pct,140,0,2.2667680533751966,0.1086738643560479,0.0,Adult cell types
Adult cell types,Epithelial Mesenchymal Transition,top_100,140,9,2.1925863487572617,0.0037172991806941,0.06428571428571428,Adult cell types
Adult cell types,Epithelial Mesenchymal Transition,top_500,140,10,1.4678649237472765,0.0025494626990382,0.07142857142857142,Adult cell types
Adult cell types,Epithelial Mesenchymal Transition,top_5pct,140,2,2.1643999645047862,0.0108602665468888,0.014285714285714285,Adult cell types
Adult cell types,Estrogen Response Early,top_100,140,3,1.869188982851774,0.0186909240586924,0.02142857142857143,Adult cell types
Adult cell types,Estrogen Response Early,top_500,140,8,1.3436570161343027,0.0017909089130352,0.05714285714285714,Adult cell types
