analysis_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr
Original dataset contexts,Adipogenesis,top_100,60,0,0.9644088412521098,0.27540460775604153
Original dataset contexts,Adipogenesis,top_500,60,1,1.1209385984704912,0.002477571054001677
Original dataset contexts,Adipogenesis,top_5pct,60,0,0.9607985739216145,0.27540460775604153
Original dataset contexts,Allograft Rejection,top_100,60,48,4.596105595341568,3.9691996645174905e-08
Original dataset contexts,Allograft Rejection,top_500,60,60,3.9320486726973582,5.304654138066796e-23
Original dataset contexts,Allograft Rejection,top_5pct,60,45,4.33106666487196,5.286231708681316e-14
Original dataset contexts,Androgen Response,top_100,60,0,0.0,0.6244681093656341
Original dataset contexts,Androgen Response,top_500,60,0,0.5498256209793648,0.19660234265996704
Original dataset contexts,Androgen Response,top_5pct,60,0,0.0,0.23320991335622693
Original dataset contexts,Angiogenesis,top_100,60,0,0.0,0.24963655774398869
Original dataset contexts,Angiogenesis,top_500,60,8,3.4807482588011194,0.0037212966152179337
Original dataset contexts,Angiogenesis,top_5pct,60,1,0.0,0.03953254644403794
Original dataset contexts,Apical Junction,top_100,60,1,2.0564342612044815,0.017188968125772548
Original dataset contexts,Apical Junction,top_500,60,18,1.7036042437545895,0.00022290056580219668
Original dataset contexts,Apical Junction,top_5pct,60,15,1.682410319357292,0.00022290056580219668
Original dataset contexts,Apical Surface,top_100,60,6,4.14203152191109,0.002814529797709504
Original dataset contexts,Apical Surface,top_500,60,19,3.321723424091437,0.00014361630978965118
Original dataset contexts,Apical Surface,top_5pct,60,11,3.866805340819032,0.0013351597244353108
Original dataset contexts,Apoptosis,top_100,60,9,2.172830882352941,0.000717624153828698
Original dataset contexts,Apoptosis,top_500,60,59,3.102374072902761,5.675888093606274e-14
Original dataset contexts,Apoptosis,top_5pct,60,31,2.9363220058891297,1.5628169259730608e-10
Original dataset contexts,Bile Acid Metabolism,top_100,60,0,1.9534384457497889,0.3909207935786763
Original dataset contexts,Bile Acid Metabolism,top_500,60,1,1.721349687488515,0.015764040165415324
