analysis_group,dataset,condition,edge_set,metric,top_level,collection,pathway,repeats_tested,repeats_with_overlap,repeats_fdr_lt_0_05,median_selected_targets,median_overlap_genes,median_fold_enrichment,best_bh_fdr
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Adipogenesis,10,10,0,51.5,1.0,0.9833333333333333,0.8326641604427625
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Allograft Rejection,10,10,9,51.5,9.5,2.577942227140916,0.004521541279013466
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Androgen Response,10,0,0,51.5,0.0,0.0,1.0
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Angiogenesis,10,0,0,51.5,0.0,0.0,1.0
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Apical Junction,10,10,0,51.5,1.0,1.074786324786325,0.7059832696695453
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Apical Surface,10,10,0,51.5,1.0,1.9346153846153846,0.6322416177064506
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Apoptosis,10,10,1,51.5,9.0,2.144051429202075,0.034519027939200746
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Bile Acid Metabolism,10,10,0,51.5,1.0,4.812500000000001,0.4294391541259847
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Cholesterol Homeostasis,10,10,0,51.5,3.0,2.901923076923077,0.2216434690153795
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Coagulation,10,10,0,51.5,1.0,2.0378389653733833,0.572638217817966
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Complement,10,10,10,51.5,10.0,3.177431518513113,0.003062006740585039
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Dna Repair,10,0,0,51.5,0.0,0.0,1.0
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,E2F Targets,10,10,0,51.5,2.0,1.2773692810457518,0.6334799318801282
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Epithelial Mesenchymal Transition,10,10,0,51.5,3.0,2.5150786713286717,0.3113374465236753
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Estrogen Response Early,10,10,0,51.5,3.0,3.559561965811966,0.1979644754736896
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Estrogen Response Late,10,10,0,51.5,3.0,2.347143665158371,0.2699822991625324
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Fatty Acid Metabolism,10,10,0,51.5,1.0,1.6169871794871797,0.6334799318801282
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,G2M Checkpoint,10,10,0,51.5,2.0,1.280065359477124,0.6415501179425267
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Glycolysis,10,10,0,51.5,2.0,1.2291666666666665,0.6415501179425267
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Hedgehog Signaling,10,0,0,51.5,0.0,0.0,1.0
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Heme Metabolism,10,10,0,51.5,2.0,1.6815268065268065,0.4675464027949557
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Hypoxia,10,10,0,51.5,5.0,1.7547740249946133,0.31701227715213487
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Il2 Stat5 Signaling,10,10,0,51.5,4.5,1.7273351648351647,0.2699822991625324
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Il6 Jak Stat3 Signaling,10,10,7,51.5,5.0,3.9345305429864252,0.020922404500717952
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Inflammatory Response,10,10,10,51.5,9.0,3.5775908119658117,0.001986108603982866
Original dataset contexts,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,Hallmark,Interferon Alpha Response,10,10,10,51.5,6.0,3.880769230769231,0.014839114741168
