context_level,context_label,metric,analysis_units,mean_auprc,ci95_auprc,mean_auroc,ci95_auroc,units_auprc_above_0_5,mean_cliffs_delta,median_matched_positives
Adult cell types,AT2 cell,codetection_odds_ratio,4,0.591955626412579,0.029543711979453647,0.5713391075159471,0.025931281867867844,4,0.1426782150318942,437.5
Adult cell types,AT2 cell,coexpression_probability,4,0.5125386503617269,0.006332832189158645,0.5164756282005668,0.007680602762162878,4,0.03295125640113353,437.5
Adult cell types,AT2 cell,mutual_information,4,0.5670602852483851,0.028311717995506677,0.5571331295968016,0.02366088104417786,4,0.11426625919360306,437.5
Adult cell types,AT2 cell,pearson,4,0.5882239142426016,0.036177367891042166,0.5744839032762568,0.030160209323004505,4,0.14896780655251346,437.5
Adult cell types,AT2 cell,spearman,4,0.5751140164113389,0.02894908192371926,0.5620265017433655,0.027610673158470527,4,0.1240530034867309,437.5
Adult cell types,Endothelial cell,codetection_odds_ratio,4,0.5507163476081902,0.012947498292789055,0.5468351256418027,0.006074209736570431,4,0.09367025128360533,657.5
Adult cell types,Endothelial cell,coexpression_probability,4,0.5067801103405134,0.00388669997823491,0.5053300581892518,0.003782153389097592,4,0.01066011637850355,657.5
Adult cell types,Endothelial cell,mutual_information,4,0.535176239069961,0.011709170812869138,0.5313965663124935,0.006665801132301104,4,0.06279313262498698,657.5
Adult cell types,Endothelial cell,pearson,4,0.5373086517138941,0.010047502820901283,0.5311747427731884,0.0056248304674766094,4,0.06234948554637688,657.5
Adult cell types,Endothelial cell,spearman,4,0.5388161861687121,0.01262882391070539,0.5373995075687608,0.005646106362379305,4,0.07479901513752152,657.5
Adult cell types,Enterocyte,codetection_odds_ratio,4,0.5625117246389524,0.02647151155390778,0.5467904534720627,0.03915178795900749,4,0.09358090694412527,161.0
Adult cell types,Enterocyte,coexpression_probability,4,0.5193330245092288,0.011552772567829111,0.516328443118466,0.007154585382084616,4,0.03265688623693212,161.0
