context_level,metric,analysis_units,mean_auprc,sd_auprc,ci95_auprc,mean_auroc,sd_auroc,ci95_auroc,units_auprc_above_0_5,mean_cliffs_delta,sd_cliffs_delta,median_matched_positives
Adult cell types,codetection_odds_ratio,7,0.5616976362791412,0.026653100778098134,0.019744893371725143,0.5637980575036733,0.024771559297292904,0.018351027936619545,7,0.12759611500734644,0.04954311859458581,446.5
Adult cell types,coexpression_probability,7,0.5152017731554043,0.004592549671456543,0.0034022084080279126,0.5154757494366023,0.007142598744614268,0.0052913111980320195,7,0.030951498873204593,0.014285197489228525,446.5
Adult cell types,mutual_information,7,0.5442745665742076,0.0250299791210801,0.018542468021144762,0.5394821581299263,0.02884521940069418,0.021368837573253068,7,0.07896431625985247,0.05769043880138838,446.5
Adult cell types,pearson,7,0.5533993499613847,0.025742660390659523,0.019070429694085823,0.5462528362963901,0.027015550412787147,0.020013399818653677,7,0.09250567259278013,0.054031100825574295,446.5
Adult cell types,spearman,7,0.549207012696212,0.02620068014185712,0.019409735474108687,0.5442347635448117,0.030215017964723534,0.022383598550322084,7,0.08846952708962341,0.060430035929447075,446.5
Tissue contexts,codetection_odds_ratio,8,0.5569325832586628,0.03391323608688608,0.02350067362483713,0.5504005413551587,0.05340277159223499,0.037006232688485165,8,0.10080108271031744,0.10680554318446994,605.5
Tissue contexts,coexpression_probability,8,0.5137280401855512,0.009371973492697054,0.006494446289590925,0.5140687739601066,0.019015543579248832,0.013177099416578459,8,0.028137547920213092,0.03803108715849757,605.5
Tissue contexts,mutual_information,8,0.5303335956559527,0.027114893555619465,0.01878966260224334,0.5238679210516783,0.03635907956552946,0.025195556684117364,8,0.04773584210335673,0.07271815913105885,605.5
Tissue contexts,pearson,8,0.5394102293629979,0.024717477847999724,0.017128338276145898,0.5333777080594184,0.038859719595988905,0.026928411816504887,7,0.06675541611883679,0.07771943919197777,605.5
Tissue contexts,spearman,8,0.541234123412772,0.0253628670144442,0.017575570151121177,0.5343021499830019,0.037184793630340295,0.025767747338375238,8,0.06860429996600363,0.07436958726068055,605.5
