result_source,dataset,condition,edge_set,metric,top_level,repeats,mean_actual_top_n,mean_curated_positive_fraction,sd_curated_positive_fraction,mean_delta_vs_0_5,repeats_above_0_5,trrust_union_known_fraction_mean,analysis_group,source_group,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5,context_level,context_label,fixed_top100_valid,strict_top500_valid
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_100,10,100.0,0.66,0.0305505046330389,0.16,10.0,0.66,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_500,10,500.0,0.527,0.0078457348639599,0.027,10.0,0.527,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,codetection_odds_ratio,top_5pct,10,41.0,0.6463414634146342,0.023703056483111,0.1463414634146341,10.0,0.6463414634146342,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,coexpression_probability,top_100,10,100.0,0.544,0.0084327404271156,0.044,10.0,0.544,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,coexpression_probability,top_500,10,500.0,0.5092000000000001,0.005266244708835,0.0092,10.0,0.5092000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,coexpression_probability,top_5pct,10,41.0,0.524390243902439,0.0263444743837718,0.024390243902439,8.0,0.524390243902439,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,mutual_information,top_100,10,100.0,0.556,0.0206559111797728,0.056,10.0,0.556,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,mutual_information,top_500,10,500.0,0.508,0.0058118652580542,0.008,9.0,0.508,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,mutual_information,top_5pct,10,41.0,0.624390243902439,0.0448261748035454,0.124390243902439,10.0,0.624390243902439,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
local_refined,GSE178429_IFN_gamma,ctrl_6h,trrust_dorothea_intersection,pearson,top_100,10,100.0,0.642,0.0103279555898864,0.142,10.0,0.642,Original dataset contexts,,,,,,,,,,Tissue contexts,"GSE178429
IFN-gamma
PBMC",True,True
