context_level,context_label,metric,top_level,analysis_units,mean_curated_positive_fraction,ci95_curated_positive_fraction,units_mean_above_0_5,median_actual_top_n,mean_delta_vs_0_5
Adult cell types,AT2 cell,codetection_odds_ratio,top_100,4,0.6632499999999999,0.0452739848036375,4,100.0,0.16324999999999998
Adult cell types,AT2 cell,codetection_odds_ratio,top_500,3,0.5404,0.030852002160853854,3,500.0,0.04039999999999997
Adult cell types,AT2 cell,codetection_odds_ratio,top_5pct,4,0.7356244429590018,0.056776938028770645,4,44.5,0.23562444295900176
Adult cell types,AT2 cell,coexpression_probability,top_100,4,0.50525,0.0035220969132984813,3,100.0,0.00525
Adult cell types,AT2 cell,coexpression_probability,top_500,3,0.5094666666666666,0.002102880986752358,3,500.0,0.009466666666666667
Adult cell types,AT2 cell,coexpression_probability,top_5pct,4,0.5193677584670231,0.029929996164499997,3,44.5,0.019367758467023172
Adult cell types,AT2 cell,mutual_information,top_100,4,0.61925,0.028665349000724462,4,100.0,0.11924999999999995
Adult cell types,AT2 cell,mutual_information,top_500,3,0.5336666666666666,0.02217640852597893,3,500.0,0.03366666666666667
Adult cell types,AT2 cell,mutual_information,top_5pct,4,0.683543523469994,0.060994400393250034,4,44.5,0.18354352346999403
Adult cell types,AT2 cell,pearson,top_100,4,0.654,0.02157484337525225,4,100.0,0.154
Adult cell types,AT2 cell,pearson,top_500,3,0.5421333333333334,0.030967448658945778,3,500.0,0.0421333333333333
Adult cell types,AT2 cell,pearson,top_5pct,4,0.7267697192513369,0.07792124951155338,4,44.5,0.22676971925133685
Adult cell types,AT2 cell,spearman,top_100,4,0.64475,0.030703625735950715,4,100.0,0.14475
Adult cell types,AT2 cell,spearman,top_500,3,0.5366666666666667,0.02447237019806437,3,500.0,0.03666666666666667
Adult cell types,AT2 cell,spearman,top_5pct,4,0.680926173499703,0.03231124183877977,4,44.5,0.18092617349970286
Adult cell types,Endothelial cell,codetection_odds_ratio,top_100,4,0.60475,0.03964157539755451,4,100.0,0.10474999999999998
Adult cell types,Endothelial cell,codetection_odds_ratio,top_500,3,0.5488666666666667,0.01153424797914644,3,500.0,0.04886666666666667
Adult cell types,Endothelial cell,codetection_odds_ratio,top_5pct,4,0.6412480141354634,0.04713976401911999,4,66.0,0.14124801413546334
Adult cell types,Endothelial cell,coexpression_probability,top_100,4,0.51325,0.009378519783704329,3,100.0,0.013249999999999998
Adult cell types,Endothelial cell,coexpression_probability,top_500,3,0.5045999999999999,0.0069720187416080085,2,500.0,0.0046
Adult cell types,Endothelial cell,coexpression_probability,top_5pct,4,0.5216546055250378,0.01372118317352591,4,66.0,0.021654605525037774
Adult cell types,Endothelial cell,mutual_information,top_100,4,0.58325,0.04138010592865448,4,100.0,0.08324999999999995
Adult cell types,Endothelial cell,mutual_information,top_500,3,0.5332666666666667,0.006031933391910461,3,500.0,0.03326666666666667
Adult cell types,Endothelial cell,mutual_information,top_5pct,4,0.6188803350759405,0.03598119370189671,4,66.0,0.11888033507594048
Adult cell types,Endothelial cell,pearson,top_100,4,0.59275,0.054607343523253964,4,100.0,0.09274999999999994
Adult cell types,Endothelial cell,pearson,top_500,3,0.5256666666666666,0.0060784582840644205,3,500.0,0.02566666666666667
Adult cell types,Endothelial cell,pearson,top_5pct,4,0.6350705601111022,0.026399160704725696,4,66.0,0.1350705601111022
Adult cell types,Endothelial cell,spearman,top_100,4,0.5905,0.04168937354610484,4,100.0,0.09049999999999997
Adult cell types,Endothelial cell,spearman,top_500,3,0.5351333333333333,0.012012808571594707,3,500.0,0.03513333333333333
Adult cell types,Endothelial cell,spearman,top_5pct,4,0.5855029964882484,0.05449882153275273,4,66.0,0.08550299648824841
Adult cell types,Enterocyte,codetection_odds_ratio,top_100,4,0.52125,0.01301039968640473,4,100.0,0.021249999999999974
Adult cell types,Enterocyte,codetection_odds_ratio,top_500,1,0.5044000000000001,0.0,1,322.0,0.0044
Adult cell types,Enterocyte,codetection_odds_ratio,top_5pct,4,0.6731209150326798,0.02346502469447174,4,16.5,0.17312091503267973
Adult cell types,Enterocyte,coexpression_probability,top_100,4,0.512,0.014111092563417393,4,100.0,0.012
Adult cell types,Enterocyte,coexpression_probability,top_500,1,0.504,0.0,1,322.0,0.004
Adult cell types,Enterocyte,coexpression_probability,top_5pct,4,0.498042619825708,0.057596254627252715,1,16.5,-0.0019573801742919245
Adult cell types,Enterocyte,mutual_information,top_100,4,0.51975,0.025559970657260175,3,100.0,0.01975
Adult cell types,Enterocyte,mutual_information,top_500,1,0.5042,0.0,1,322.0,0.0042
Adult cell types,Enterocyte,mutual_information,top_5pct,4,0.653155637254902,0.08202021268499182,4,16.5,0.15315563725490194
Adult cell types,Enterocyte,pearson,top_100,4,0.5255000000000001,0.01253736282743173,4,100.0,0.025500000000000002
Adult cell types,Enterocyte,pearson,top_500,1,0.5006,0.0,1,322.0,0.0006
Adult cell types,Enterocyte,pearson,top_5pct,4,0.7226000816993464,0.1407700571462692,4,16.5,0.22260008169934642
Adult cell types,Enterocyte,spearman,top_100,4,0.52125,0.010006083149764457,4,100.0,0.02125
Adult cell types,Enterocyte,spearman,top_500,1,0.5016,0.0,1,322.0,0.0016
Adult cell types,Enterocyte,spearman,top_5pct,4,0.7184027777777777,0.09948455991779341,4,16.5,0.21840277777777778
Adult cell types,Epithelial cell,codetection_odds_ratio,top_100,4,0.49274999999999997,0.07223858687248343,2,100.0,-0.0072500000000000255
Adult cell types,Epithelial cell,codetection_odds_ratio,top_500,3,0.5134666666666666,0.006991582494527153,3,500.0,0.013466666666666668
Adult cell types,Epithelial cell,codetection_odds_ratio,top_5pct,4,0.46350415041947296,0.05481674299271329,1,39.5,-0.03649584958052697
Adult cell types,Epithelial cell,coexpression_probability,top_100,4,0.51625,0.01214501681074726,3,100.0,0.01625
Adult cell types,Epithelial cell,coexpression_probability,top_500,3,0.5047333333333334,0.004205761973504668,3,500.0,0.004733333333333333
Adult cell types,Epithelial cell,coexpression_probability,top_5pct,4,0.5247208067470164,0.009344465243557901,4,39.5,0.024720806747016398
Adult cell types,Epithelial cell,mutual_information,top_100,4,0.517,0.033020813638269655,2,100.0,0.016999999999999998
Adult cell types,Epithelial cell,mutual_information,top_500,3,0.498,0.0070159604711923194,1,500.0,-0.0019999999999999996
Adult cell types,Epithelial cell,mutual_information,top_5pct,4,0.553274658808933,0.0672396832313159,3,39.5,0.05327465880893298
Adult cell types,Epithelial cell,pearson,top_100,4,0.5445,0.019899872696410206,4,100.0,0.04449999999999997
Adult cell types,Epithelial cell,pearson,top_500,3,0.5064000000000001,0.009636611299276008,2,500.0,0.0063999999999999994
Adult cell types,Epithelial cell,pearson,top_5pct,4,0.5836100525818267,0.044994497829134644,4,39.5,0.08361005258182673
Adult cell types,Epithelial cell,spearman,top_100,4,0.5215,0.03642736151118642,3,100.0,0.021499999999999977
Adult cell types,Epithelial cell,spearman,top_500,3,0.4961333333333333,0.0037893333333333516,0,500.0,-0.0038666666666666663
Adult cell types,Epithelial cell,spearman,top_5pct,4,0.5200057972941037,0.0644017033390057,2,39.5,0.020005797294103747
Adult cell types,Fibroblast,codetection_odds_ratio,top_100,4,0.6315,0.02566153281989733,4,100.0,0.13149999999999995
Adult cell types,Fibroblast,codetection_odds_ratio,top_500,3,0.5727333333333333,0.026438293977570537,3,500.0,0.07273333333333327
Adult cell types,Fibroblast,codetection_odds_ratio,top_5pct,4,0.6378091806898197,0.03655232739879967,4,45.5,0.13780918068981973
