context_level,metric,top_level,analysis_units,mean_curated_positive_fraction,sd_curated_positive_fraction,ci95_curated_positive_fraction,units_mean_above_0_5,median_actual_top_n,mean_delta_vs_0_5
Adult cell types,codetection_odds_ratio,top_100,7,0.5838928571428571,0.0631542188388302,0.04678530004178661,6,100.0,0.08389285714285712
Adult cell types,codetection_odds_ratio,top_500,7,0.5413714285714286,0.02567026979450645,0.019016801989975216,7,500.0,0.04137142857142855
Adult cell types,codetection_odds_ratio,top_5pct,7,0.6256311045451358,0.08672374764273204,0.06424585132733403,6,45.5,0.12563110454513585
Adult cell types,coexpression_probability,top_100,7,0.514,0.005708181263181245,0.00422867985703971,7,100.0,0.014
Adult cell types,coexpression_probability,top_500,7,0.5084761904761904,0.004200428297637975,0.003111720829142374,7,500.0,0.008476190476190476
Adult cell types,coexpression_probability,top_5pct,7,0.526259516399025,0.02538649711585879,0.018806580247733833,5,45.5,0.02625951639902501
Adult cell types,mutual_information,top_100,7,0.5640714285714286,0.04692696326156614,0.03476398088059917,7,100.0,0.06407142857142854
Adult cell types,mutual_information,top_500,7,0.5275142857142857,0.024216575721652697,0.017939890350216117,6,500.0,0.027514285714285703
Adult cell types,mutual_information,top_5pct,7,0.6161651729132096,0.06605745348703838,0.048936046367297606,6,45.5,0.1161651729132096
Adult cell types,pearson,top_100,7,0.5846071428571429,0.04723828274972383,0.034994609584906064,7,100.0,0.08460714285714284
Adult cell types,pearson,top_500,7,0.529552380952381,0.022774017498365832,0.01687122826326261,7,500.0,0.029552380952380934
Adult cell types,pearson,top_5pct,7,0.6433133253605348,0.08197381965692364,0.06072705543247784,6,45.5,0.14331332536053462
Adult cell types,spearman,top_100,7,0.5725,0.05096771854157625,0.03775741428293699,7,100.0,0.07249999999999998
Adult cell types,spearman,top_500,7,0.5297428571428572,0.026183099682709626,0.01939671168771388,6,500.0,0.029742857142857126
Adult cell types,spearman,top_5pct,7,0.617906638650085,0.07862985754181392,0.058249813630421324,7,45.5,0.11790663865008501
Tissue contexts,codetection_odds_ratio,top_100,8,0.6003541666666666,0.06689475490744387,0.04635570012444832,7,100.0,0.10035416666666663
Tissue contexts,codetection_odds_ratio,top_500,7,0.5412214285714285,0.027225503284613983,0.020168935082705012,7,500.0,0.041221428571428555
Tissue contexts,codetection_odds_ratio,top_5pct,8,0.6323108780980449,0.06045979296718831,0.04189649900430891,8,61.0,0.1323108780980449
Tissue contexts,coexpression_probability,top_100,8,0.5085104166666667,0.013277968198641198,0.009201162526565746,6,100.0,0.008510416666666666
Tissue contexts,coexpression_probability,top_500,7,0.510297619047619,0.01004117646830913,0.007438607625584743,6,500.0,0.010297619047619047
Tissue contexts,coexpression_probability,top_5pct,8,0.5155845609893093,0.013849797152913148,0.009597419775185365,7,61.0,0.015584560989309243
Tissue contexts,mutual_information,top_100,8,0.5603020833333333,0.05494562495220967,0.03807537552023542,6,100.0,0.06030208333333331
Tissue contexts,mutual_information,top_500,7,0.5215785714285714,0.024278219003654677,0.017985556332585133,7,500.0,0.02157857142857142
Tissue contexts,mutual_information,top_5pct,8,0.5784185846151977,0.06893541059418491,0.04776980236912658,7,61.0,0.07841858461519766
Tissue contexts,pearson,top_100,8,0.5756458333333333,0.0544309076749365,0.03771869464462476,7,100.0,0.0756458333333333
Tissue contexts,pearson,top_500,7,0.5279809523809523,0.024972635817681308,0.018499987507503285,7,500.0,0.027980952380952374
Tissue contexts,pearson,top_5pct,8,0.5911551950573473,0.05706533647303647,0.03954426066296059,8,61.0,0.09115519505734727
Tissue contexts,spearman,top_100,8,0.5823020833333333,0.05714922227074308,0.039602390555036095,7,100.0,0.08230208333333332
Tissue contexts,spearman,top_500,7,0.5273976190476191,0.024837517225052144,0.018399890253295897,7,500.0,0.027397619047619032
Tissue contexts,spearman,top_5pct,8,0.6091121321426076,0.06651771404657644,0.046094424137934624,8,61.0,0.10911213214260762
