tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
TP53,BCL2,Repression,-1.0,A,0.1293049645390148,0.2306382978723602,0.14933354,0.28687465,0.15815041123754367,2.3289412750420033,0
MYC,TFAP4,Activation,1.0,A,0.3311205673759182,0.0650780141843972,0.8089884,0.0720561,-0.00804837036860413,0.46555479412753814,1
MYC,ST3GAL1,Activation,1.0,A,0.3311205673759182,0.2180992907801601,0.8089884,0.26190862,0.13883492955524696,2.187814334575212,2
MYC,HLA-F,Activation,1.0,A,0.3311205673759182,0.4862411347518232,0.8089884,0.75363195,0.5192667792875804,5.205759676865053,3
MYC,HDAC2,Activation,1.0,A,0.3311205673759182,0.1689645390071046,0.8089884,0.2175931,0.10454931767376435,1.6348010746465187,4
IRF3,PURA,Repression,-1.0,A,0.2594042553191721,0.1491063829787335,0.30945972,0.16692364,0.06534784965975232,1.4112968702873478,5
IRF3,IRF7,Activation,1.0,A,0.2594042553191721,0.3300425531915209,0.30945972,0.49369162,0.31815860619777975,3.447739463719913,6
IRF1,CASP7,Activation,1.0,A,0.688113475177195,0.0603120567375884,1.7007551,0.06371576,-0.014501045643532757,0.41191378508134024,7
JUN,TXN,Activation,1.0,A,0.0602553191489359,0.5211347517730832,0.07529028,1.9377085,1.4353519122447247,5.598488493095936,8
JUN,POLD2,Activation,1.0,A,0.0602553191489359,0.2010212765957609,0.07529028,0.30497485,0.17215400257929508,1.9956007188263245,9
JUN,PDHA1,Activation,1.0,A,0.0602553191489359,0.1260709219858229,0.07529028,0.14604263,0.04919282756922155,1.152031993230708,10
JUN,NFKB2,Activation,1.0,A,0.0602553191489359,0.3430354609929409,0.07529028,0.4860933,0.3122800099301221,3.593975071714914,11
JUN,ETS2,Activation,1.0,A,0.0602553191489359,0.0740425531914905,0.07529028,0.0833466,0.0006867567594963677,0.5664509778096789,12
JUN,CREM,Activation,1.0,A,0.0602553191489359,0.492368794326292,0.07529028,1.1949437,0.8606966751623869,5.274726688495884,13
