dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,blood,dorothea_ab,0,2566,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,603,MYC,RPL6,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,113,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,145,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,186,MYC,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,129,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,341,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,326,MYC,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,1324,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,604,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,336,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,290,MYC,UBA52,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,388,E2F4,RPL23A,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,1178,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,2401,ETS1,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,50,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,1063,ETS1,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,919,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,337,MYC,RPL27A,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,1066,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,46,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,2556,ETS1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,1834,STAT1,SRGN,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,1997,CTCF,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,422,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,385,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,606,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,0,159,MYC,ACTG1,caliper_candidates_exhausted_by_unique_constraint,False
GSE126030_T_cells,blood,dorothea_ab,0,386,E2F4,RPS4X,caliper_candidates_exhausted_by_unique_constraint,False
GSE126030_T_cells,blood,dorothea_ab,1,606,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,1,603,MYC,RPL6,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,1,186,MYC,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,1,1997,CTCF,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,dorothea_ab,1,1834,STAT1,SRGN,all_caliper_candidates_excluded,False
