tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
ATF1,BCL2,Activation,1.0,A,0.1667517730496575,0.2306382978723602,0.19098194,0.28687465,0.15815041123754367,2.3289412750420033,0
ATF1,LDHA,Activation,1.0,A,0.1667517730496575,0.8850496453897917,0.19098194,5.116992,3.8950698652824354,9.694362683834004,1
ATF1,MAP1LC3B,Activation,1.0,A,0.1667517730496575,0.2944113475177578,0.19098194,0.39156386,0.2391453679082322,3.0467090627554567,2
ATF1,SLC20A1,Activation,1.0,A,0.1667517730496575,0.0872624113475204,0.19098194,0.09423989,0.009114574216054163,0.7152409195687841,3
ATF2,IMPDH2,Activation,1.0,A,0.0854468085106408,0.4254751773050074,0.090325005,0.70602167,0.482432108688009,4.521836811525988,4
ATF2,JUN,Activation,1.0,A,0.0854468085106408,0.0602553191489359,0.090325005,0.07529028,-0.005546180611271853,0.4112752016403139,5
ATF4,CEBPB,Activation,1.0,A,0.4204255319149359,0.3420141843971961,0.72207737,0.4965322,0.3203562792341855,3.582480569776442,6
ATF4,DDIT3,Activation,1.0,A,0.4204255319149359,0.0634893617021275,0.72207737,0.06887882,-0.010506538272733368,0.44767445777880444,7
ATF4,DDIT4,Activation,1.0,A,0.4204255319149359,0.5253900709220157,0.72207737,1.8319031,1.3534933922642522,5.646382251172855,8
ATF4,MCL1,Activation,1.0,A,0.4204255319149359,0.5070070921986273,0.72207737,0.80339533,0.5577672399070368,5.4394812162805675,9
ATF6,ATP2A2,Activation,1.0,A,0.1092765957446862,0.0830638297872362,0.11943078,0.09906259,0.012845755084987358,0.6679857449328448,10
ATF6,DDIT3,Activation,1.0,A,0.1092765957446862,0.0634893617021275,0.11943078,0.06887882,-0.010506538272733368,0.44767445777880444,11
ATF6,DNAJC3,Activation,1.0,A,0.1092765957446862,0.1740141843971761,0.11943078,0.23166415,0.11543567439630616,1.691635000897851,12
ATF6,HSPA5,Activation,1.0,A,0.1092765957446862,0.2828936170213025,0.11943078,0.51854366,0.33738589717626943,2.9170766242271364,13
ATF6,RTN3,Activation,1.0,A,0.1092765957446862,0.1194326241134817,0.11943078,0.130495,0.03716408441429758,1.0773177306306423,14
ATF6,SRF,Activation,1.0,A,0.1092765957446862,0.0579858156028366,0.11943078,0.06399954,-0.014281493420299744,0.3857318639992687,15
ATF6,XBP1,Activation,1.0,A,0.1092765957446862,0.704340425531791,0.11943078,1.8358511,1.3565478435198868,7.660474424167533,16
CEBPB,BCL2L1,Activation,1.0,A,0.3420141843971961,0.1603404255319263,0.4965322,0.21736424,0.10437225543608333,1.537736391610536,17
CEBPB,FURIN,Activation,1.0,A,0.3420141843971961,0.151262411347528,0.4965322,0.26275584,0.1394903987023591,1.4355630410463427,18
CEBPB,GFER,Repression,-1.0,A,0.3420141843971961,0.1574468085106493,0.4965322,0.18161942,0.07671754157300653,1.5051686361181988,19
CEBPB,MAD1L1,Activation,0.5,B,0.3420141843971961,0.1109787234042608,0.4965322,0.12153003,0.030228151315709648,0.9821687979177375,20
CEBPB,TOP1,Activation,1.0,A,0.3420141843971961,0.2551489361702354,0.4965322,0.37181628,0.22386724720743645,2.6048093215653227,21
CEBPB,XBP1,Activation,1.0,A,0.3420141843971961,0.704340425531791,0.4965322,1.8358511,1.3565478435198868,7.660474424167533,22
CREB1,AQP3,Activation,1.0,A,0.161588652482281,0.0663829787234045,0.18615851,0.07999924,-0.0019029970285128902,0.48024221327114147,23
CREB1,BCL2,Activation,1.0,A,0.161588652482281,0.2306382978723602,0.18615851,0.28687465,0.15815041123754367,2.3289412750420033,24
CREB1,CCL5,Activation,1.0,A,0.161588652482281,0.3173333333333634,0.18615851,2.0234694,1.5017025932703936,3.3046967729300434,25
CREB1,CD4,Activation,1.0,A,0.161588652482281,0.1014468085106427,0.18615851,0.12345944,0.031720878974558095,0.8748867798253357,26
CREB1,CXCR4,Activation,1.0,A,0.161588652482281,0.5386666666666852,0.18615851,1.1732808,0.8439367278205216,5.79581077637284,27
CREB1,JUN,Repression,-1.0,A,0.161588652482281,0.0602553191489359,0.18615851,0.07529028,-0.005546180611271853,0.4112752016403139,28
CREB1,NOLC1,Activation,1.0,A,0.161588652482281,0.1707801418439843,0.18615851,0.25765136,0.13554121295125449,1.655235744759358,29
CREB1,ODC1,Activation,1.0,A,0.161588652482281,0.2365957446808715,0.18615851,0.6074509,0.4061708087398443,2.3959925363497545,30
CREB1,POLD2,Activation,1.0,A,0.161588652482281,0.2010212765957609,0.18615851,0.30497485,0.17215400257929508,1.9956007188263245,31
CREB1,PPP2CA,Activation,1.0,A,0.161588652482281,0.269957446808535,0.18615851,0.35995984,0.2146942689791298,2.771479599673162,32
CREB1,PSEN1,Activation,1.0,A,0.161588652482281,0.052255319148936,0.18615851,0.05384364,-0.022138813964144192,0.32123493645563084,33
CREB1,SLC20A1,Activation,1.0,A,0.161588652482281,0.0872624113475204,0.18615851,0.09423989,0.009114574216054163,0.7152409195687841,34
CREB1,UXT,Activation,1.0,A,0.161588652482281,0.6973617021275417,0.18615851,1.3985631,1.0182310044434235,7.5819286609213865,35
CREM,CD247,Repression,-1.0,A,0.492368794326292,0.4908368794326748,1.1949437,0.7392796,0.5081627890447219,5.2574849355881765,36
CTCF,APP,Activation,1.0,A,0.1010496453900753,0.058496453900709,0.11040973,0.06388601,-0.014369328235662504,0.3914791149685044,37
CTCF,ATXN7,Activation,1.0,A,0.1010496453900753,0.1150070921985876,0.11040973,0.12550159,0.03330083024904996,1.027508222230599,38
CTCF,PBXIP1,Activation,1.0,A,0.1010496453900753,0.1840567375886667,0.11040973,0.22037423,0.10670099599711352,1.8046642699594895,39
CTCF,MYC,Repression,-1.0,A,0.1010496453900753,0.3311205673759182,0.11040973,0.8089884,0.5620944333427895,3.4598725490994107,40
CTCF,RAD21,Activation,1.0,A,0.1010496453900753,0.2835177304964799,0.11040973,0.36903715,0.22171711622514884,2.9241010420784246,41
CTCF,RBL2,Activation,1.0,A,0.1010496453900753,0.1609078014184512,0.11040973,0.1804849,0.07583979688239295,1.5441222260207983,42
E2F4,CUX1,Activation,1.0,A,0.2363687943262616,0.0663829787234045,0.32750267,0.06995677,-0.00967256012404766,0.48024221327114147,43
E2F4,HCFC1,Activation,1.0,A,0.2363687943262616,0.0735886524822706,0.32750267,0.0796587,-0.0021664627910746317,0.5613423102814694,44
E2F4,LTBP4,Activation,0.5,B,0.2363687943262616,0.0600851063829785,0.32750267,0.06388598,-0.014369351445778427,0.40935945131723606,45
E2F4,MYC,Repression,-1.0,A,0.2363687943262616,0.3311205673759182,0.32750267,0.8089884,0.5620944333427895,3.4598725490994107,46
ELF2,VCP,Activation,1.0,A,0.1085957446808563,0.2472624113475394,0.11506205,0.36404306,0.21785333596394027,2.5160462232626806,47
ELK1,CITED2,Activation,1.0,A,0.1042836879432671,0.1751489361702259,0.1169344,0.2149266,0.10248632520336179,1.704406669718375,48
ELK1,MCL1,Activation,1.0,A,0.1042836879432671,0.5070070921986273,0.1169344,0.80339533,0.5577672399070368,5.4394812162805675,49
ELK1,PSEN1,Activation,1.0,A,0.1042836879432671,0.052255319148936,0.1169344,0.05384364,-0.022138813964144192,0.32123493645563084,50
ELK1,SRF,Activation,1.0,A,0.1042836879432671,0.0579858156028366,0.1169344,0.06399954,-0.014281493420299744,0.3857318639992687,51
ERF,ETS2,Repression,-1.0,A,0.0548652482269501,0.0740425531914905,0.057928655,0.0833466,0.0006867567594963677,0.5664509778096789,52
ETS1,ATXN2,Activation,1.0,A,0.3447375886525156,0.0899290780141874,0.4792279,0.0971334,0.011353197633655682,0.7452543412970158,53
ETS1,BAX,Repression,-1.0,A,0.3447375886525156,0.4111773049645802,0.4792279,0.6606856,0.44735692734630905,4.360913784387385,54
ETS1,CD6,Activation,1.0,A,0.3447375886525156,0.3152907801418738,0.4792279,0.46152306,0.29327073930721437,3.2817077690531,55
ETS1,CD8A,Activation,1.0,A,0.3447375886525156,0.2567943262411576,0.4792279,0.5473597,0.3596800181388866,2.6233282413550834,56
ETS1,CSNK2A1,Activation,1.0,A,0.3447375886525156,0.1297588652482347,0.4792279,0.15228449,0.05402197070865782,1.1935399168974117,57
ETS1,CSNK2B,Activation,1.0,A,0.3447375886525156,0.4209361702128083,0.4792279,0.6508709,0.43976358318757675,4.470750136243892,58
ETS1,CTSB,Activation,1.0,A,0.3447375886525156,0.1479148936170312,0.4792279,0.18332127,0.07803421276586404,1.397886618025797,59
ETS1,CXCR4,Activation,1.0,A,0.3447375886525156,0.5386666666666852,0.4792279,1.1732808,0.8439367278205216,5.79581077637284,60
ETS1,ECE1,Activation,1.0,A,0.3447375886525156,0.0598581560283686,0.4792279,0.06519099,-0.013359703666367196,0.40680511755313187,61
ETS1,FLI1,Activation,1.0,A,0.3447375886525156,0.1251631205673831,0.4792279,0.13645296,0.04177358249003716,1.1418146581742892,62
ETS1,IL2RB,Activation,1.0,A,0.3447375886525156,0.2177588652482452,0.4792279,0.35048056,0.20736042938984145,2.183982833929055,63
ETS1,LCK,Activation,1.0,A,0.3447375886525156,0.5491631205673854,0.4792279,0.9517152,0.6725179524594781,5.913948712962573,64
ETS1,MDM2,Repression,-1.0,A,0.3447375886525156,0.0588936170212764,0.4792279,0.062978216,-0.01507166170150784,0.39594919905568765,65
ETS1,NDRG1,Repression,-1.0,A,0.3447375886525156,0.0555460992907799,0.4792279,0.059233632,-0.01796873599244722,0.3582727760351455,66
ETS1,PARP1,Activation,1.0,A,0.3447375886525156,0.2643404255319386,0.4792279,0.35956192,0.21438641000151024,2.708259839011568,67
ETS1,SQSTM1,Activation,0.5,B,0.3447375886525156,0.3210780141844276,0.4792279,0.4219214,0.26263210199409165,3.346843280037772,68
ETS1,TAF12,Activation,1.0,A,0.3447375886525156,0.1542127659574575,0.4792279,0.1768531,0.07302998024860036,1.4687693799797061,69
