dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,0,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,1,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,2,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,3,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,4,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,5,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,6,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,7,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,8,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,8,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,8,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,8,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,8,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,8,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,9,505,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,9,287,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,9,215,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,9,384,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,9,208,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_intersection,9,332,RORA,TUBA1B,all_caliper_candidates_excluded,False
