tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,TRRUST,,,0.1661843971631326,0.4111773049645802,0.192684,0.6606856,0.44735692734630905,4.360913784387385,0
AATF,MYC,Activation,TRRUST,,,0.1661843971631326,0.3311205673759182,0.192684,0.8089884,0.5620944333427895,3.4598725490994107,1
AATF,TP53,Unknown,TRRUST,,,0.1661843971631326,0.1293049645390148,0.192684,0.14933354,0.051738907655766615,1.188431249369202,2
AIP,NFKB2,Repression,TRRUST,,,0.3097304964539298,0.3430354609929409,0.3991683,0.4860933,0.3122800099301221,3.593975071714914,3
AIP,RSF1,Repression,TRRUST,,,0.3097304964539298,0.2111205673759039,0.3991683,0.24658851,0.12698221191949272,2.1092685713289883,4
APBB1,GMPS,Repression,TRRUST,,,0.0515177304964537,0.1056453900709269,0.053503234,0.116367094,0.026233739880056083,0.9221419544612749,5
APEX1,NFKB1,Activation,TRRUST,,,0.3281702127659888,0.1794042553191626,0.44773716,0.2344443,0.11758659452253514,1.7523004277953407,6
APEX1,RELA,Activation,TRRUST,,,0.3281702127659888,0.1807092198581698,0.44773716,0.20494032,0.09476023465495319,1.7669878469389426,7
ARID1A,SMAD3,Unknown,TRRUST,,,0.1231205673758935,0.0575886524822693,0.13917673,0.06116265,-0.016476311612446854,0.38126177991208654,8
ARID3A,PML,Activation,TRRUST,,,0.0661560283687945,0.1000283687943305,0.07353124,0.1106935,0.02184424739848058,0.8589221937996808,9
ASH1L,TGFB1,Unknown,TRRUST,,,0.1786099290780277,0.3980141843972027,0.20471358,0.68116647,0.46320237291064187,4.212762426069305,10
ASH1L,TIMP1,Unknown,TRRUST,,,0.1786099290780277,0.14104964539008,0.20471358,0.22542197,0.11060628368230002,1.320618021661626,11
ATF1,BCL2,Activation,DoRothEA_AB,1.0,A,0.1667517730496575,0.2306382978723602,0.19098194,0.28687465,0.15815041123754367,2.3289412750420033,12
ATF1,FTH1,Activation,TRRUST,,,0.1667517730496575,0.9775886524819108,0.19098194,8.813703,6.755106226900388,10.735892276146725,13
ATF1,GOLPH3,Activation,DoRothEA_AB,0.5,B,0.1667517730496575,0.1122269503546156,0.19098194,0.12249455,0.030974372016085668,0.9962176336203145,14
ATF1,LDHA,Activation,DoRothEA_AB,1.0,A,0.1667517730496575,0.8850496453897917,0.19098194,5.116992,3.8950698652824354,9.694362683834004,15
ATF1,MAP1LC3B,Activation,DoRothEA_AB,1.0,A,0.1667517730496575,0.2944113475177578,0.19098194,0.39156386,0.2391453679082322,3.0467090627554567,16
ATF1,SLC20A1,Activation,DoRothEA_AB,1.0,A,0.1667517730496575,0.0872624113475204,0.19098194,0.09423989,0.009114574216054163,0.7152409195687841,17
ATF1,STAT3,Activation,DoRothEA_AB,0.5,B,0.1667517730496575,0.4604822695035931,0.19098194,0.69830936,0.47646532171654443,4.915842794639156,18
ATF1,TFRC,Activation,DoRothEA_AB,0.5,B,0.1667517730496575,0.1278865248227026,0.19098194,0.17934926,0.07496118568078487,1.1724666633435472,19
ATF1,TSPAN31,Activation,DoRothEA_AB,0.5,B,0.1667517730496575,0.0908368794326272,0.19098194,0.099573106,0.013240726269693904,0.7554716763534348,20
ATF1,UBE2D3,Activation,DoRothEA_AB,0.5,B,0.1667517730496575,0.7925106382976727,0.19098194,2.4079592,1.79917102092709,8.652833091521284,21
ATF1,USP7,Unknown,TRRUST,,,0.1667517730496575,0.0782978723404272,0.19098194,0.08425431,0.0013890252370171176,0.6143447358866445,22
ATF2,BCL2,Activation,DoRothEA_AB,0.5,B,0.0854468085106408,0.2306382978723602,0.090325005,0.28687465,0.15815041123754367,2.3289412750420033,23
ATF2,FAS,Unknown,TRRUST,,,0.0854468085106408,0.1866099290780287,0.090325005,0.24397714,0.12496187190545369,1.8334005248056686,24
ATF2,IMPDH2,Activation,DoRothEA_AB,1.0,A,0.0854468085106408,0.4254751773050074,0.090325005,0.70602167,0.482432108688009,4.521836811525988,25
