dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,blood,trrust_dorothea_union,0,720,ETS1,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1726,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,2083,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,885,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,784,ETS1,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,2727,STAT1,SRGN,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1791,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1839,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1735,MYC,RPL6,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,2563,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1670,MYC,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,273,CTCF,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,747,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1968,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,844,ETS1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1488,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1725,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1185,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1827,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,100,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1733,MYC,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1776,MYC,UBA52,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,528,E2F4,RPL23A,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1732,MYC,RPL27A,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,3011,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1436,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust_dorothea_union,0,1741,MYC,RPS6,all_caliper_candidates_excluded,False
