dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,blood,trrust,0,425,IRF7,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.49369162,0.3300425531915209,429
GSE126030_T_cells,blood,trrust,0,544,MYC,HLA-B,RPS21,Activation,0.07525711503775473,0.25,0,19.592915,19.495993,0.9989219858152256,0.99948936170175,0.8089884,0.3311205673759182,549
GSE126030_T_cells,blood,trrust,0,810,RELA,CCL5,NKG7,Activation,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.20494032,0.1807092198581698,820
GSE126030_T_cells,blood,trrust,0,789,REL,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.19568972,0.1535886524822801,798
GSE126030_T_cells,blood,trrust,0,468,JUND,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.19455585,0.1600567375886638,472
GSE126030_T_cells,blood,trrust,0,353,HIVEP2,HLA-B,RPS21,Unknown,0.07525711503775473,0.25,0,19.592915,19.495993,0.9989219858152256,0.99948936170175,0.09662283,0.0883404255319177,357
GSE126030_T_cells,blood,trrust,0,655,NFKB1,NFKBIA,HSPE1,Activation,0.23613114232529245,0.25,0,2.0078466,2.1961584,0.5683404255319079,0.584851063829766,0.2344443,0.1794042553191626,663
GSE126030_T_cells,blood,trrust,0,1277,ZBTB7A,PKM,CD7,Repression,0.1932549470376991,0.25,0,3.349633,3.1713758,0.745304964538848,0.7573333333331639,0.20108178,0.1724822695035589,1290
GSE126030_T_cells,blood,trrust,0,693,NFKBIA,CCL5,NKG7,Repression,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,2.0078466,0.5683404255319079,701
GSE126030_T_cells,blood,trrust,0,417,IRF3,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.30945972,0.2594042553191721,421
GSE126030_T_cells,blood,trrust,0,328,HIF1A,ENO1,PFN1,Activation,0.15521645883859395,0.25,0,6.9647617,7.1571317,0.9109219858153014,0.9148368794323192,0.61443985,0.3612482269503899,332
GSE126030_T_cells,blood,trrust,0,437,JUN,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.07529028,0.0602553191489359,441
GSE126030_T_cells,blood,trrust,0,318,HIF1A,ALDOA,BTG1,Activation,0.17826101656801682,0.25,0,4.522123,4.556643,0.894127659574181,0.9097872340422528,0.61443985,0.3612482269503899,322
GSE126030_T_cells,blood,trrust,0,478,KLF13,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.19563392,0.1632907801418557,483
GSE126030_T_cells,blood,trrust,0,1286,ZNF224,ALDOA,BTG1,Repression,0.17826101656801682,0.25,0,4.522123,4.556643,0.894127659574181,0.9097872340422528,0.11823925,0.1111489361702183,1299
GSE126030_T_cells,blood,trrust,0,556,MYC,LDHA,YBX1,Activation,0.26812043652728135,0.25,0,5.116992,5.333341,0.8850496453897917,0.90365957446779,0.8089884,0.3311205673759182,561
GSE126030_T_cells,blood,trrust,0,610,NFKB1,CCL5,NKG7,Activation,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.2344443,0.1794042553191626,618
GSE126030_T_cells,blood,trrust,0,90,CREB1,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,0.18615851,0.161588652482281,92
GSE126030_T_cells,blood,trrust,0,397,IRF1,CCL5,NKG7,Unknown,0.12614601635791917,0.25,0,2.0234694,1.8999875,0.3173333333333634,0.3100141843971923,1.7007551,0.688113475177195,401
GSE126030_T_cells,blood,trrust,0,855,RELA,NFKBIA,HSPE1,Activation,0.23613114232529245,0.25,0,2.0078466,2.1961584,0.5683404255319079,0.584851063829766,0.20494032,0.1807092198581698,865
