tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,22909821,0.1661843971631326,0.4111773049645802,0.192684,0.6606856,0.44735692734630905,4.360913784387385,0
AATF,MYC,Activation,20549547,0.1661843971631326,0.3311205673759182,0.192684,0.8089884,0.5620944333427895,3.4598725490994107,1
AATF,TP53,Unknown,17157788,0.1661843971631326,0.1293049645390148,0.192684,0.14933354,0.051738907655766615,1.188431249369202,2
AIP,NFKB2,Repression,21984905,0.3097304964539298,0.3430354609929409,0.3991683,0.4860933,0.3122800099301221,3.593975071714914,3
AIP,RSF1,Repression,21984905,0.3097304964539298,0.2111205673759039,0.3991683,0.24658851,0.12698221191949272,2.1092685713289883,4
APBB1,GMPS,Repression,21453247,0.0515177304964537,0.1056453900709269,0.053503234,0.116367094,0.026233739880056083,0.9221419544612749,5
APEX1,NFKB1,Activation,17045925,0.3281702127659888,0.1794042553191626,0.44773716,0.2344443,0.11758659452253514,1.7523004277953407,6
APEX1,RELA,Activation,17045925,0.3281702127659888,0.1807092198581698,0.44773716,0.20494032,0.09476023465495319,1.7669878469389426,7
ARID1A,SMAD3,Unknown,21900401,0.1231205673758935,0.0575886524822693,0.13917673,0.06116265,-0.016476311612446854,0.38126177991208654,8
ARID3A,PML,Activation,22010578,0.0661560283687945,0.1000283687943305,0.07353124,0.1106935,0.02184424739848058,0.8589221937996808,9
ASH1L,TGFB1,Unknown,22488473,0.1786099290780277,0.3980141843972027,0.20471358,0.68116647,0.46320237291064187,4.212762426069305,10
ASH1L,TIMP1,Unknown,22488473,0.1786099290780277,0.14104964539008,0.20471358,0.22542197,0.11060628368230002,1.320618021661626,11
ATF1,BCL2,Unknown,10542244,0.1667517730496575,0.2306382978723602,0.19098194,0.28687465,0.15815041123754367,2.3289412750420033,12
ATF1,FTH1,Activation,17565989,0.1667517730496575,0.9775886524819108,0.19098194,8.813703,6.755106226900388,10.735892276146725,13
ATF1,LDHA,Unknown,9632793,0.1667517730496575,0.8850496453897917,0.19098194,5.116992,3.8950698652824354,9.694362683834004,14
ATF1,MAP1LC3B,Activation,20514020,0.1667517730496575,0.2944113475177578,0.19098194,0.39156386,0.2391453679082322,3.0467090627554567,15
ATF1,SLC20A1,Activation,11722845,0.1667517730496575,0.0872624113475204,0.19098194,0.09423989,0.009114574216054163,0.7152409195687841,16
ATF1,USP7,Unknown,7642633,0.1667517730496575,0.0782978723404272,0.19098194,0.08425431,0.0013890252370171176,0.6143447358866445,17
ATF2,FAS,Unknown,19670268,0.0854468085106408,0.1866099290780287,0.090325005,0.24397714,0.12496187190545369,1.8334005248056686,18
ATF2,KAT5,Repression,18397884,0.0854468085106408,0.1053617021276644,0.090325005,0.11330327,0.023863349539670325,0.9189490372561433,19
ATF2,IMPDH2,Unknown,9278455,0.0854468085106408,0.4254751773050074,0.090325005,0.70602167,0.482432108688009,4.521836811525988,20
ATF2,JUN,Activation,9502786,0.0854468085106408,0.0602553191489359,0.090325005,0.07529028,-0.005546180611271853,0.4112752016403139,21
ATF2,MAP3K1,Unknown,9710625,0.0854468085106408,0.063886524822695,0.090325005,0.068878755,-0.010506588561317866,0.4521445418659886,22
ATF2,RELA,Activation,21350211,0.0854468085106408,0.1807092198581698,0.090325005,0.20494032,0.09476023465495319,1.7669878469389426,23
ATF2,ST3GAL5,Activation,21699754,0.0854468085106408,0.0540141843971629,0.090325005,0.05753155,-0.01928558667686789,0.34103102312744027,24
ATF4,ATG5,Activation,20038797,0.4204255319149359,0.1372482269503633,0.72207737,0.15795852,0.058411800510584755,1.2778329311128709,25
ATF4,CEBPB,Activation,16026328,0.4204255319149359,0.3420141843971961,0.72207737,0.4965322,0.3203562792341855,3.582480569776442,26
ATF4,DDIT3,Activation,16246168;17276738;20020050;21044953;21966512,0.4204255319149359,0.0634893617021275,0.72207737,0.06887882,-0.010506538272733368,0.44767445777880444,27
ATF4,DDIT4,Activation,19059405;19439225,0.4204255319149359,0.5253900709220157,0.72207737,1.8319031,1.3534933922642522,5.646382251172855,28
ATF4,HSPA5,Repression,16205636,0.4204255319149359,0.2828936170213025,0.72207737,0.51854366,0.33738589717626943,2.9170766242271364,29
ATF4,IRF7,Repression,21148039,0.4204255319149359,0.3300425531915209,0.72207737,0.49369162,0.31815860619777975,3.447739463719913,30
ATF4,MAP1LC3B,Activation,20038797;20514020,0.4204255319149359,0.2944113475177578,0.72207737,0.39156386,0.2391453679082322,3.0467090627554567,31
ATF4,MCL1,Unknown,22128141,0.4204255319149359,0.5070070921986273,0.72207737,0.80339533,0.5577672399070368,5.4394812162805675,32
ATF4,SIGMAR1,Activation,22079628,0.4204255319149359,0.0855035460992933,0.72207737,0.0992895,0.013021308665133255,0.6954448328969723,33
ATF4,SIRT2,Repression,21801305,0.4204255319149359,0.0900992907801449,0.72207737,0.096793,0.011089840184968261,0.747170091620095,34
ATF6,ATP2A2,Unknown,11595740,0.1092765957446862,0.0830638297872362,0.11943078,0.09906259,0.012845755084987358,0.6679857449328448,35
ATF6,DDIT3,Unknown,17455323,0.1092765957446862,0.0634893617021275,0.11943078,0.06887882,-0.010506538272733368,0.44767445777880444,36
ATF6,DNAJC3,Activation,12601012,0.1092765957446862,0.1740141843971761,0.11943078,0.23166415,0.11543567439630616,1.691635000897851,37
ATF6,HSPA5,Unknown,12713871,0.1092765957446862,0.2828936170213025,0.11943078,0.51854366,0.33738589717626943,2.9170766242271364,38
ATF6,NUCB1,Activation,17686766,0.1092765957446862,0.3172765957447109,0.11943078,0.409381,0.25292996406953283,3.304058189489017,39
ATF6,RTN3,Activation,17191123,0.1092765957446862,0.1194326241134817,0.11943078,0.130495,0.03716408441429758,1.0773177306306423,40
ATF6,SRF,Unknown,9271374,0.1092765957446862,0.0579858156028366,0.11943078,0.06399954,-0.014281493420299744,0.3857318639992687,41
ATF6,XBP1,Unknown,20003459;24269637,0.1092765957446862,0.704340425531791,0.11943078,1.8358511,1.3565478435198868,7.660474424167533,42
ATF7,TAF12,Activation,15735663,0.0545248226950352,0.1542127659574575,0.0573613,0.1768531,0.07302998024860036,1.4687693799797061,43
ATM,BAX,Activation,16214353,0.20578723404257,0.4111773049645802,0.25243285,0.6606856,0.44735692734630905,4.360913784387385,44
ATM,BCL2,Repression,16214353,0.20578723404257,0.2306382978723602,0.25243285,0.28687465,0.15815041123754367,2.3289412750420033,45
ATM,CFLAR,Activation,19351839,0.20578723404257,0.4389787234042998,0.25243285,0.85717106,0.5993719374807853,4.673819670490225,46
ATM,FAS,Activation,19502594,0.20578723404257,0.1866099290780287,0.25243285,0.24397714,0.12496187190545369,1.8334005248056686,47
ATM,MCL1,Activation,20164679,0.20578723404257,0.5070070921986273,0.25243285,0.80339533,0.5577672399070368,5.4394812162805675,48
ATM,MTF1,Unknown,12926986,0.20578723404257,0.0528226950354608,0.25243285,0.05599964,-0.0204707802997197,0.32762077086589186,49
ATM,PCNA,Unknown,22362778,0.20578723404257,0.0830638297872362,0.25243285,0.10604122,0.01824491546140788,0.6679857449328448,50
ATM,PMAIP1,Repression,20368352,0.20578723404257,0.174581560283701,0.25243285,0.26252955,0.13931532479794229,1.698020835308113,51
ATM,TERF1,Repression,17694070,0.20578723404257,0.1285673758865324,0.25243285,0.14127614,0.04550513472082513,1.1801296646358608,52
BATF,CD2,Unknown,22592317,0.5287375886525093,0.6674609929077092,1.7404414,1.8478087,1.36579908625909,7.245395187500907,53
BCL3,CTCF,Repression,21912613,0.1581843971631317,0.1010496453900753,0.1880307,0.11040973,0.02162470291195287,0.8704166957381525,54
BCL3,NFKB1,Repression,11387332,0.1581843971631317,0.1794042553191626,0.1880307,0.2344443,0.11758659452253514,1.7523004277953407,55
BCL3,RELA,Unknown,7896265,0.1581843971631317,0.1807092198581698,0.1880307,0.20494032,0.09476023465495319,1.7669878469389426,56
BDP1,MYC,Unknown,12734418,0.1373049645390157,0.3311205673759182,0.15846898,0.8089884,0.5620944333427895,3.4598725490994107,57
BDP1,RB1,Unknown,12734418,0.1373049645390157,0.1020141843971676,0.15846898,0.109275,0.020746795750527826,0.8812726142355979,58
BDP1,TP53,Unknown,12734418,0.1373049645390157,0.1293049645390148,0.15846898,0.14933354,0.051738907655766615,1.188431249369202,59
BIN1,MYC,Unknown,9797456,0.2386950354610136,0.3311205673759182,0.28182575,0.8089884,0.5620944333427895,3.4598725490994107,60
BRD7,BRD2,Activation,12600283,0.2200851063829972,0.3007092198581841,0.2724623,0.40121016,0.24660842594957633,3.1175918247093652,61
BRD7,BRD3,Activation,12600283,0.2200851063829972,0.1008794326241178,0.2724623,0.1117147,0.022634319744542865,0.8685009454150736,62
BRD7,E2F3,Repression,16475162,0.2200851063829972,0.055432624113475,0.2724623,0.058836468,-0.018276010075145496,0.35699560915309403,63
BTF3,ABL2,Activation,17312387,0.9771347517726912,0.0579858156028366,5.8347936,0.061900202,-0.015905689365107518,0.3857318639992687,64
BTF3,ATM,Activation,17312387,0.9771347517726912,0.20578723404257,5.8347936,0.25243285,0.13150380554952174,2.0492417278725257,65
BTF3,NFKB1,Repression,17312387,0.9771347517726912,0.1794042553191626,5.8347936,0.2344443,0.11758659452253514,1.7523004277953407,66
BTF3,RRAS2,Repression,17312387,0.9771347517726912,0.1075744680851115,5.8347936,0.12504779,0.03294973856216877,0.9438537914561655,67
BTG2,HRAS,Repression,20197462,0.3181843971631507,0.1328794326241216,0.49057263,0.16970383,0.06749880073280255,1.228662006153853,68
CBFB,RUNX1,Unknown,24648201,0.3367375886525146,0.0934468085106417,0.5271145,0.10536023,0.017718053566632166,0.7848465146406404,69
CBFB,RUNX3,Unknown,24648201,0.3367375886525146,0.3294184397163435,0.5271145,0.5016945,0.32435019861538156,3.440715045868624,70
CDC5L,PLRG1,Unknown,11544257,0.110070921985821,0.1060992907801468,0.12107619,0.115969874,0.025926422471808076,0.9272506219894844,71
CEBPB,BCL2L1,Unknown,19043455,0.3420141843971961,0.1603404255319263,0.4965322,0.21736424,0.10437225543608333,1.537736391610536,72
CEBPB,DDIT3,Unknown,16757577,0.3420141843971961,0.0634893617021275,0.4965322,0.06887882,-0.010506538272733368,0.44767445777880444,73
CEBPB,FURIN,Activation,8132667,0.3420141843971961,0.151262411347528,0.4965322,0.26275584,0.1394903987023591,1.4355630410463427,74
CEBPB,GFER,Repression,20690902,0.3420141843971961,0.1574468085106493,0.4965322,0.18161942,0.07671754157300653,1.5051686361181988,75
CEBPB,HSF1,Unknown,11801594,0.3420141843971961,0.2119716312056913,0.4965322,0.2508444,0.13027486859485798,2.118847322944382,77
CEBPB,IRF4,Activation,19717648,0.3420141843971961,0.2277446808510832,0.4965322,0.4592459,0.29150896772127705,2.2963735195496664,78
