dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,blood,trrust,0,819,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,83,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,159,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,1027,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,585,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,617,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,725,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,605,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,908,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,76,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,481,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,117,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,0,1209,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,481,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,725,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,617,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,1209,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,605,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,819,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,117,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,908,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,76,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,159,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,585,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,83,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,1,1027,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,819,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,725,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,585,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,617,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,159,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,83,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,76,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,605,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,1027,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,117,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,1209,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,908,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,2,481,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,481,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,725,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,83,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,908,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,617,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,819,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,585,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,1027,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,159,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,117,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,605,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,1209,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,3,76,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,83,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,605,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,76,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,481,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,1027,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,725,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,617,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,159,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,1209,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,819,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,908,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,117,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,4,585,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,1209,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,1027,STAT1,HSP90AA1,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,83,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,585,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,117,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,605,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,819,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,908,RORA,TUBA1B,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,617,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,481,KHSRP,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,725,NPM1,RPL3,all_caliper_candidates_excluded,False
GSE126030_T_cells,blood,trrust,5,159,DNMT1,IL32,all_caliper_candidates_excluded,False
