tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
TP53,BCL2,Repression,-1.0,A,0.088522130532632,0.1039759939984978,0.09647435,0.11717961,0.06546112486003751,1.1562067237596523,0
MYC,ST3GAL1,Activation,1.0,A,0.2238559639909906,0.1002250562640644,0.45221072,0.111328304,0.05915758230454484,1.1059042684814855,1
MYC,HLA-F,Activation,1.0,A,0.2238559639909906,0.3374343585896514,0.45221072,0.44455335,0.41813697220775653,4.287031540273021,2
MYC,HDAC2,Activation,1.0,A,0.2238559639909906,0.1387846961740401,0.45221072,0.16474229,0.1166998359158736,1.623013508741047,3
IRF3,PURA,Repression,-1.0,A,0.2217554388597079,0.0832708177044252,0.2591165,0.088972405,0.035073837459753614,0.8785371706241673,4
IRF3,IRF7,Activation,1.0,A,0.2217554388597079,0.168492123030753,0.2591165,0.20975402,0.16519043879176934,2.021408954544135,5
IRF7,CXCL10,Activation,1.0,A,0.168492123030753,0.1185296324080996,0.20975402,0.21035367,0.165836434624734,1.3513802502389431,6
JUN,TXN,Activation,1.0,A,0.0730682670667663,0.3969992498124654,0.08762201,1.0376506,1.0570736053150789,5.0858345300904695,7
JUN,POLD2,Activation,1.0,A,0.0730682670667663,0.1276819204801172,0.08762201,0.16639255,0.1184776414412772,1.474118241117672,8
JUN,PDHA1,Activation,1.0,A,0.0730682670667663,0.0784696174043504,0.08762201,0.082970805,0.028608384960594473,0.8141500278681129,9
JUN,NFKB2,Activation,1.0,A,0.0730682670667663,0.1792948237059213,0.08762201,0.21455537,0.1703628762012664,2.166280025745258,10
JUN,CREM,Activation,1.0,A,0.0730682670667663,0.2298574643660841,0.08762201,0.3632389,0.3305378796374003,2.844357122894957,11
JUN,CD82,Activation,1.0,A,0.0730682670667663,0.0664666166541634,0.08762201,0.07636906,0.021496403370841535,0.6531821709779766,12
IRF9,PML,Activation,1.0,A,0.1605401350337541,0.0586646661665417,0.18859842,0.06226538,0.006302676180868762,0.5485530639993861,13
NCOA3,BCL2,Activation,1.0,A,0.1315828957239279,0.1039759939984978,0.14688759,0.11717961,0.06546112486003751,1.1562067237596523,14
NFIC,JUN,Activation,1.0,A,0.0616654163540886,0.0730682670667663,0.06661653,0.08762201,0.033619072942357914,0.741714492267552,15
NFKB1,PDE7A,Activation,1.0,A,0.1135783945986474,0.0924231057764428,0.13788496,0.0993251,0.046226672997074024,1.001275161502896,16
NFKB1,NOLC1,Activation,1.0,A,0.1135783945986474,0.0813203300825198,0.13788496,0.105926715,0.05333851453936881,0.8523798938795201,17
NFKB1,MAT2A,Activation,1.0,A,0.1135783945986474,0.098274568642159,0.13788496,0.11072809,0.05851097888106938,1.0797469917368379,18
NFKB1,IRF1,Activation,1.0,A,0.1135783945986474,0.509377344336112,0.13788496,1.0218875,1.040092204640343,6.592896090224648,19
NFKB1,HLA-F,Activation,1.0,A,0.1135783945986474,0.3374343585896514,0.13788496,0.44455335,0.41813697220775653,4.287031540273021,20
NFKB1,GSTP1,Activation,1.0,A,0.1135783945986474,0.5017254313578664,0.13788496,1.0215896,1.0397712805035295,6.490279081457167,21
NFKB1,JUNB,Activation,1.0,A,0.1135783945986474,0.4016504126031637,0.13788496,0.60914,0.5954442182039457,5.148209574635408,22
NFKB1,XIAP,Activation,1.0,A,0.1135783945986474,0.0679669917479368,0.13788496,0.07291815,0.017778778956706435,0.6733031530892439,23
NFKB1,TNFSF10,Activation,1.0,A,0.1135783945986474,0.1237809452363064,0.13788496,0.17059359,0.1230033720076374,1.4218036876283775,24
NFKB1,TNFAIP3,Activation,1.0,A,0.1135783945986474,0.1065266316579126,0.13788496,0.120630585,0.06917881929790169,1.1904123933488069,25
NFKB1,TIMP1,Repression,-1.0,A,0.1135783945986474,0.120480120030005,0.13788496,0.1551395,0.10635486414094686,1.3775375269835903,26
NFKB1,TBX21,Activation,1.0,A,0.1135783945986474,0.0628657164291073,0.13788496,0.0727681,0.01761713187134606,0.6048918139109356,27
NFKB1,SOCS3,Activation,1.0,A,0.1135783945986474,0.3081770442610651,0.13788496,0.46240845,0.43737205967072246,3.8946723891032407,28
NFKB1,SERPINB1,Activation,1.0,A,0.1135783945986474,0.2217554388597079,0.13788496,0.26211676,0.2216001975554023,2.7357038194941152,29
NFIC,POLD2,Activation,1.0,A,0.0616654163540886,0.1276819204801172,0.06661653,0.16639255,0.1184776414412772,1.474118241117672,30
NFIC,HMGB1,Activation,1.0,A,0.0616654163540886,0.6238559639910418,0.06661653,1.1284206,1.154859049754674,8.128127025314608,31
NFKB1,CTSB,Activation,1.0,A,0.1135783945986474,0.1104276069017233,0.13788496,0.12258106,0.07128004288216212,1.2427269468381006,32
NFKB1,CSNK2A1,Activation,1.0,A,0.1135783945986474,0.0705176294073515,0.13788496,0.07711928,0.022304606478999216,0.7075088226783973,33
NFKB1,CD69,Activation,1.0,A,0.1135783945986474,0.3317329332333115,0.13788496,0.64845175,0.6377943002293753,4.210571808250192,34
NFKB1,CD58,Activation,1.0,A,0.1135783945986474,0.0534133533383346,0.13788496,0.05746422,0.001130443456118224,0.4781296266099477,35
NFKB1,CCR7,Activation,1.0,A,0.1135783945986474,0.3783945986496721,0.13788496,0.64649874,0.6356903457196807,4.836334351910712,36
NFKB1,CCND2,Activation,1.0,A,0.1135783945986474,0.1975993998499565,0.13788496,0.2948235,0.25683478064530296,2.4117560075027153,37
NFKB1,CCL4,Activation,1.0,A,0.1135783945986474,0.1783945986496573,0.13788496,1.5488373,1.607768974391976,2.1542074364784973,39
NFKB1,BIRC3,Activation,1.0,A,0.1135783945986474,0.3017254313578384,0.13788496,0.4279012,0.4001978085124298,3.8081521660247764,40
NFKB1,BIRC2,Activation,1.0,A,0.1135783945986474,0.1146286571642888,0.13788496,0.12918282,0.07839204063123716,1.2990656967496486,41
YY1,EP300,Activation,1.0,A,0.1986496624155979,0.0672168042010501,0.23045948,0.07096765,0.015677528440242502,0.6632426620336103,43
ETS1,CSNK2B,Activation,1.0,A,0.3086271567891972,0.3345836459114814,0.39564312,0.45805728,0.4326845958359507,4.248801674261605,44
ETS1,CD8A,Activation,1.0,A,0.3086271567891972,0.1386346586646628,0.39564312,0.21995643,0.17618137408101656,1.6210014105299209,45
