dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,bone_marrow,dorothea_ab,0,308,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,306,MYC,RPL26,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,533,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,38,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,479,MYC,PKM,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,1222,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,42,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,926,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,2042,ETS1,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,901,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,528,MYC,RPS20,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,843,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,531,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,103,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,303,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,859,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,641,E2F4,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,2216,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,305,MYC,RPL27,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,1018,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,197,MYC,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,996,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,250,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,529,MYC,RPS15A,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,927,FOS,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,650,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,248,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,381,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,343,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,148,MYC,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,307,MYC,RPL22,caliper_candidates_exhausted_by_unique_constraint,False
GSE126030_T_cells,bone_marrow,dorothea_ab,0,834,MYC,ENO1,caliper_candidates_exhausted_by_unique_constraint,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,528,MYC,RPS20,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,927,FOS,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,103,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,305,MYC,RPL27,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,148,MYC,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,1222,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,996,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,2216,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,533,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,901,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,531,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,38,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,303,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,859,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,343,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,843,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,42,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,248,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,650,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,1018,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,dorothea_ab,1,479,MYC,PKM,all_caliper_candidates_excluded,False
