tf,target,mode,pearson,spearman,mutual_information,coexpression_probability,codetection_odds_ratio
AATF,BAX,Unknown,0.009972029365599155,0.0325486846268177,0.006423191,0.04696173965930939,1.5930582284927368
AATF,MYC,Unknown,0.05235697329044342,0.08409173786640167,0.0044670017,0.03420855104923248,1.9810571670532227
AATF,TP53,Unknown,0.035168714821338654,0.06235943362116814,0.0022168476,0.014853713102638721,1.9881811141967773
AIP,NFKB2,Unknown,0.009708774276077747,0.03269625082612038,0.015015546,0.04951237887144089,1.3999369144439697
AIP,RSF1,Unknown,0.006879891734570265,0.02612214908003807,0.008867778,0.03825956583023071,1.3202615976333618
APEX1,NFKB1,Unknown,0.030299270525574684,0.06952740252017975,0.008239825,0.03615903854370117,1.89689040184021
APEX1,RELA,Unknown,0.007519179489463568,0.031895823776721954,0.0016992695,0.030907727777957916,1.3903412818908691
ARID1A,SMAD3,Unknown,0.019869869574904442,0.034909650683403015,0.0006394024,0.008402100764214993,1.5938234329223633
ARID3A,PML,Unknown,-0.008674221113324165,-0.013521559536457062,7.3749936e-05,0.002400600118562579,0.8005681037902832
ASH1L,TGFB1,Unknown,-0.010583927854895592,-0.0026603799778968096,0.0054349764,0.031357839703559875,1.0406701564788818
ASH1L,TIMP1,Unknown,0.008494418114423752,0.013749728910624981,0.0003306091,0.019354838877916336,1.1782569885253906
ATF1,BCL2,Unknown,0.01906018890440464,0.028728095814585686,0.00046740705,0.01230307575315237,1.3898582458496094
ATF1,FTH1,Unknown,0.04315905645489693,0.048292018473148346,0.0019252056,0.08897224068641663,2.121316432952881
ATF1,LDHA,Unknown,0.04451742395758629,0.06333120912313461,0.0025188404,0.07471867650747299,1.7201344966888428
ATF1,MAP1LC3B,Unknown,0.027563786134123802,0.03691011294722557,0.0013587057,0.0250562634319067,1.423988699913025
ATF1,SLC20A1,Unknown,-0.002518327906727791,0.012554130516946316,0.00013880288,0.00600150041282177,1.2873591184616089
ATF1,USP7,Unknown,0.023896044120192528,0.035716500133275986,0.000625729,0.008402100764214993,1.5863898992538452
ATF4,ATG5,Unknown,0.03792711719870567,0.06112414970993996,0.0041124853,0.03465866297483444,1.7948411703109741
