dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,542,ZNF224,ALDOA,TMSB4XP4,Repression,0.22175200244763,0.25,0,2.8526914,2.9714966,0.7941485371343515,0.8076519129783144,0.067516744,0.064516129032258,553
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,142,JUN,TXN,LGALS1,Activation,0.1878679395184056,0.25,0,1.0376506,1.2115495,0.3969992498124654,0.398049512378107,0.08762201,0.0730682670667663,146
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,189,NFKB1,CCL4,GNLY,Activation,0.1649360422737321,0.25,0,1.5488373,1.6927316,0.1783945986496573,0.1825956489122227,0.13788496,0.1135783945986474,195
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,87,HIF1A,ALDOA,TMSB4XP4,Activation,0.22175200244763,0.25,0,2.8526914,2.9714966,0.7941485371343515,0.8076519129783144,0.23646112,0.1845461365341281,88
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,96,HIF1A,MIF,CD7,Activation,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.23646112,0.1845461365341281,98
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,86,HBP1,MIF,CD7,Repression,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.09062281,0.0846211552888213,87
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,252,RELA,CCL4,GNLY,Activation,0.1649360422737321,0.25,0,1.5488373,1.6927316,0.1783945986496573,0.1825956489122227,0.124831796,0.1174793698424582,260
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,347,SP1,MIF,CD7,Activation,0.21412114392459064,0.25,0,1.8064451,1.6330309,0.6414103525881936,0.6492123030758166,0.055363677,0.053563390847712,356
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,92,HIF1A,ENO1,TPI1,Activation,0.12142932818798495,0.25,0,4.0055604,3.9818559,0.7920480120030684,0.7831957989498038,0.23646112,0.1845461365341281,93
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,161,MYC,HNRNPA1,GAS5,Activation,0.09792290522297564,0.25,0,3.8808959,3.8658977,0.8762190547637704,0.8834208552138839,0.45221072,0.2238559639909906,166
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,341,SP1,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.055363677,0.053563390847712,350
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,379,SP1,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.055363677,0.053563390847712,388
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,95,HIF1A,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.23646112,0.1845461365341281,97
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,167,MYC,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.45221072,0.2238559639909906,172
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,401,STAT1,HSP90AA1,PSME2,Repression,0.08039843924546691,0.25,0,1.3729912,1.4089957,0.5227306826706976,0.5279819954989053,0.9749255,0.423105776444127,410
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,359,SP1,RPS3A,RPS15,Activation,0.025259642726587407,0.25,0,18.538553,18.519089,0.9984996249063232,0.9995498874719648,0.055363677,0.053563390847712,368
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,1,ATF1,LDHA,CD52,Activation,0.08127868994248633,0.25,0,2.6508853,2.7257526,0.7291822955739523,0.7299324831208391,0.095874146,0.0915228807201788,1
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,541,ZEB2,VIM,RPS26,Activation,0.008433714017041048,0.25,0,2.6041772,2.6018379,0.7396849212303679,0.7402850712678773,0.06286558,0.0519129782445612,552
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,489,TP53,HSP90AB1,HSP90AA1,Repression,0.12067693331491744,0.25,0,1.4529577,1.3729912,0.5290322580645469,0.5227306826706976,0.09647435,0.088522130532632,499
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,291,RORA,TUBA1B,MT-RNR1,Activation,0.17050835497661038,0.25,0,2.1649122,2.0253787,0.7083270817704985,0.7143285821455931,0.27786997,0.2226556639159719,300
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,424,STAT2,STAT1,NFKBIA,Activation,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.07291819,0.0691672918229555,433
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,284,RELA,STAT1,RPS10P3,Activation,0.1321484088283231,0.25,0,0.9749255,0.85595363,0.423105776444127,0.4255063765941648,0.124831796,0.1174793698424582,293
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,281,RELA,S100A6,RPL13AP5,Activation,0.19215415761369573,0.25,0,3.4018254,3.257342,0.883870967742016,0.8922730682671485,0.124831796,0.1174793698424582,290
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,99,HIF1A,PGK1,RPS2P46,Activation,0.09551084863657142,0.25,0,1.3230307,1.2501112,0.5441860465116608,0.5482370592648497,0.23646112,0.1845461365341281,101
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,447,STAT3,STAT1,NFKBIA,Activation,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.30202457,0.2427606901725351,456
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,508,TP53,STAT1,NFKBIA,Activation,0.08630860910782234,0.25,0,0.9749255,0.89480895,0.423105776444127,0.423105776444127,0.09647435,0.088522130532632,518
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,112,IRF1,HLA-A,RPSA,Activation,0.009783228012979489,0.25,0,8.575667,8.5673895,0.9740435108778126,0.973743435859058,1.0218875,0.509377344336112,115
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,400,STAT1,HLA-E,SRP14,Activation,0.07663563155186769,0.25,0,1.9970295,1.9265076,0.7695423855964636,0.7687921980495768,0.9749255,0.423105776444127,409
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,108,HSF1,UBB,ATP5ME,Activation,0.15246606533683535,0.25,0,1.4949795,1.4085411,0.6565641410353075,0.6475618904726655,0.125282,0.1164291072768168,110
