tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
ATF1,BCL2,Activation,1.0,A,0.0915228807201788,0.1039759939984978,0.095874146,0.11717961,0.06546112486003751,1.1562067237596523,0
ATF1,LDHA,Activation,1.0,A,0.0915228807201788,0.7291822955739523,0.095874146,2.6508853,2.7949922141602577,9.540619969525814,1
ATF1,MAP1LC3B,Activation,1.0,A,0.0915228807201788,0.2154538634658597,0.095874146,0.2532652,0.21206451694965436,2.6511956946267934,2
ATF1,SLC20A1,Activation,1.0,A,0.0915228807201788,0.0534133533383346,0.095874146,0.05446347,-0.002102228929054359,0.4781296266099477,3
ATF4,CEBPB,Activation,1.0,A,0.3332333083270851,0.2298574643660841,0.494364,0.29137242,0.2531169730921841,2.844357122894957,4
ATF4,DDIT3,Activation,1.0,A,0.3332333083270851,0.0549137284321081,0.494364,0.0579143,0.0016153093020295692,0.4982506087212164,5
ATF4,DDIT4,Activation,1.0,A,0.3332333083270851,0.3515378844711237,0.494364,0.672155,0.6633295303264649,4.476168772118966,6
ATF4,MCL1,Activation,1.0,A,0.3332333083270851,0.2760690172543089,0.494364,0.34238303,0.308070098243499,3.4640833719220456,7
ATF6,DDIT3,Activation,1.0,A,0.0630157539384846,0.0549137284321081,0.06676656,0.0579143,0.0016153093020295692,0.4982506087212164,8
ATF6,DNAJC3,Activation,1.0,A,0.0630157539384846,0.1030757689422338,0.06676656,0.11883016,0.06723924279900163,1.1441341344928924,9
ATF6,HSPA5,Activation,1.0,A,0.0630157539384846,0.1903975993998443,0.06676656,0.27606905,0.23663083409390748,2.315175293368634,10
ATF6,RTN3,Activation,1.0,A,0.0630157539384846,0.0906226556639148,0.06676656,0.095124,0.04170087779342543,0.9771299829693765,11
ATF6,XBP1,Activation,1.0,A,0.0630157539384846,0.3230307576894243,0.06676656,0.4946657,0.47212241251471415,4.093870112004821,12
CEBPB,BCL2L1,Activation,1.0,A,0.2298574643660841,0.0795198799699918,0.29137242,0.10157553,0.048651034545274946,0.8282347153460001,13
CEBPB,GFER,Repression,-1.0,A,0.2298574643660841,0.1051762940735165,0.29137242,0.11567941,0.06384497719287566,1.172303509448666,14
CEBPB,MAD1L1,Activation,0.5,B,0.2298574643660841,0.0727681920480116,0.29137242,0.07606902,0.021173173837409166,0.7376902958452984,15
CEBPB,S100A9,Activation,1.0,A,0.2298574643660841,0.2051012753188234,0.29137242,0.24111235,0.19897239578123158,2.512360918059051,16
CEBPB,TOP1,Activation,1.0,A,0.2298574643660841,0.1476369092273031,0.29137242,0.17674553,0.12963078400571743,1.7417273031975238,17
CEBPB,XBP1,Activation,1.0,A,0.2298574643660841,0.3230307576894243,0.29137242,0.4946657,0.47212241251471415,4.093870112004821,18
CREB1,AQP3,Activation,1.0,A,0.1167291822955715,0.1404351087771909,0.13008304,0.18574765,0.13932866111377698,1.645146589063442,19
CREB1,BCL2,Activation,1.0,A,0.1167291822955715,0.1039759939984978,0.13008304,0.11717961,0.06546112486003751,1.1562067237596523,20
CREB1,CD4,Activation,1.0,A,0.1167291822955715,0.0835708927231799,0.13008304,0.09077284,0.03701342473153505,0.882561367046421,22
CREB1,CXCR4,Activation,1.0,A,0.1167291822955715,0.5192798199550182,0.13008304,0.9659182,0.9797971415636322,6.725694572159036,23
CREB1,FOS,Activation,1.0,A,0.1167291822955715,0.0564141035258815,0.13008304,0.066316456,0.010666852308648608,0.5183715908324837,24
CREB1,JUN,Repression,-1.0,A,0.1167291822955715,0.0730682670667663,0.13008304,0.08762201,0.033619072942357914,0.741714492267552,25
CREB1,NOLC1,Activation,1.0,A,0.1167291822955715,0.0813203300825198,0.13008304,0.105926715,0.05333851453936881,0.8523798938795201,26
CREB1,ODC1,Activation,1.0,A,0.1167291822955715,0.1206301575393823,0.13008304,0.19715041,0.15161271922150024,1.3795496251947168,27
CREB1,POLD2,Activation,1.0,A,0.1167291822955715,0.1276819204801172,0.13008304,0.16639255,0.1184776414412772,1.474118241117672,28
CREB1,PPP2CA,Activation,1.0,A,0.1167291822955715,0.1654913728432062,0.13008304,0.18694825,0.14062205325428795,1.9811669903216003,29
CREB1,SLC20A1,Activation,1.0,A,0.1167291822955715,0.0534133533383346,0.13008304,0.05446347,-0.002102228929054359,0.4781296266099477,30
CREB1,UXT,Activation,1.0,A,0.1167291822955715,0.5866466616654552,0.13008304,1.0284866,1.0472013368029662,7.6291266689550925,31
CREM,CD247,Repression,-1.0,A,0.2298574643660841,0.3945986496624276,0.3632389,0.56217825,0.544852881909893,5.053640958712436,32
CREM,DUSP1,Repression,-1.0,A,0.2298574643660841,0.059264816204051,0.3632389,0.06436592,0.008565563009811653,0.5566014568438923,33
CREM,FOS,Repression,-1.0,A,0.2298574643660841,0.0564141035258815,0.3632389,0.066316456,0.010666852308648608,0.5183715908324837,34
CTCF,ATXN7,Activation,1.0,A,0.0798199549887465,0.0882220555138774,0.0847713,0.09392365,0.04040775497494941,0.9449364115913492,35
CTCF,BBC3,Activation,1.0,A,0.0798199549887465,0.0750187546886717,0.0847713,0.08447124,0.030224785790469152,0.7678717690121993,36
CTCF,PBXIP1,Activation,1.0,A,0.0798199549887465,0.1740435108777145,0.0847713,0.2049528,0.1600181414297304,2.095856588355823,37
CTCF,MYC,Repression,-1.0,A,0.0798199549887465,0.2238559639909906,0.0847713,0.45221072,0.426386166089969,2.7638731944498884,38
CTCF,RAD21,Activation,1.0,A,0.0798199549887465,0.1828957239309774,0.0847713,0.21230474,0.16793829919543754,2.2145703828122985,39
CTCF,RBL2,Activation,1.0,A,0.0798199549887465,0.1054763690922712,0.0847713,0.11372892,0.06174373744929313,1.1763277058709196,40
E2F4,HCFC1,Activation,1.0,A,0.1177794448612129,0.0511627906976744,0.14133607,0.053413216,-0.003233655106915575,0.4479481534430453,41
E2F4,LTBP4,Activation,0.5,B,0.1177794448612129,0.06271567891973,0.14133607,0.06661652,0.010990107696996331,0.6028797156998095,42
E2F4,MYC,Repression,-1.0,A,0.1177794448612129,0.2238559639909906,0.14133607,0.45221072,0.426386166089969,2.7638731944498884,43
ELF2,VCP,Activation,1.0,A,0.0865716429107266,0.1656414103525836,0.09047281,0.19520035,0.14951194271181778,1.9831790885327276,44
ELK4,FOS,Activation,1.0,A,0.1090772693173273,0.0564141035258815,0.119280234,0.066316456,0.010666852308648608,0.5183715908324837,45
ETS1,ATXN2,Activation,1.0,A,0.3086271567891972,0.0619654913728432,0.39564312,0.06511611,0.00937373379932516,0.5928192246441745,46
ETS1,BAX,Repression,-1.0,A,0.3086271567891972,0.3726931732933322,0.39564312,0.5416253,0.5227114326392664,4.759874619887882,47
ETS1,CD6,Activation,1.0,A,0.3086271567891972,0.2511627906976663,0.39564312,0.31222668,0.2755830200521805,3.130075068874952,48
ETS1,CD8A,Activation,1.0,A,0.3086271567891972,0.1386346586646628,0.39564312,0.21995643,0.17618137408101656,1.6210014105299209,49
ETS1,CSNK2A1,Activation,1.0,A,0.3086271567891972,0.0705176294073515,0.39564312,0.07711928,0.022304606478999216,0.7075088226783973,50
ETS1,CSNK2B,Activation,1.0,A,0.3086271567891972,0.3345836459114814,0.39564312,0.45805728,0.4326845958359507,4.248801674261605,51
ETS1,CTSB,Activation,1.0,A,0.3086271567891972,0.1104276069017233,0.39564312,0.12258106,0.07128004288216212,1.2427269468381006,52
ETS1,CXCR4,Activation,1.0,A,0.3086271567891972,0.5192798199550182,0.39564312,0.9659182,0.9797971415636322,6.725694572159036,53
ETS1,FLI1,Activation,1.0,A,0.3086271567891972,0.0682670667666915,0.39564312,0.071567796,0.01632405860812447,0.6773273495114978,54
ETS1,IL2RB,Activation,1.0,A,0.3086271567891972,0.0979744936234043,0.39564312,0.11868008,0.06707756339499706,1.0757227953145843,55
ETS1,LCK,Activation,1.0,A,0.3086271567891972,0.5057764441110553,0.39564312,0.77972126,0.7792093864551974,6.544605733157598,56
ETS1,NDRG1,Repression,-1.0,A,0.3086271567891972,0.053563390847712,0.39564312,0.055213645,-0.0012940742988629618,0.4801417248210752,57
ETS1,PARP1,Activation,1.0,A,0.3086271567891972,0.1600900225056221,0.39564312,0.18904866,0.1428848000357727,1.9087314547210397,58
ETS1,SQSTM1,Activation,0.5,B,0.3086271567891972,0.2672168042010444,0.39564312,0.33083025,0.29562442536905964,3.345369577465549,59
ETS1,TAF12,Activation,1.0,A,0.3086271567891972,0.1026256564141018,0.39564312,0.108777665,0.05640980916121593,1.1380978398595127,60
ETS1,TGFBR2,Activation,1.0,A,0.3086271567891972,0.1092273068267046,0.39564312,0.12003049,0.06853234407171487,1.2266301611490869,61
ETS1,TP53,Activation,1.0,A,0.3086271567891972,0.088522130532632,0.39564312,0.09647435,0.04315559383285483,0.9489606080136015,62
ETS1,WAS,Activation,1.0,A,0.3086271567891972,0.1590397599399807,0.39564312,0.17674547,0.12963071936842904,1.8946467672431524,63
FLI1,ID2,Activation,1.0,A,0.0682670667666915,0.2442610652663085,0.071567796,0.4771146,0.4532148206462138,3.0375185511631204,64
FLI1,TGFBR2,Activation,1.0,A,0.0682670667666915,0.1092273068267046,0.071567796,0.12003049,0.06853234407171487,1.2266301611490869,65
FOS,BCL2L1,Activation,1.0,A,0.0564141035258815,0.0795198799699918,0.066316456,0.10157553,0.048651034545274946,0.8282347153460001,66
FOS,CD40LG,Activation,1.0,A,0.0564141035258815,0.086721680420104,0.066316456,0.1311331,0.08049305414431034,0.9248154294800818,67
FOS,CREM,Activation,1.0,A,0.0564141035258815,0.2298574643660841,0.066316456,0.3632389,0.3305378796374003,2.844357122894957,68
FOS,DDIT3,Activation,1.0,A,0.0564141035258815,0.0549137284321081,0.066316456,0.0579143,0.0016153093020295692,0.4982506087212164,69
FOS,EZR,Activation,1.0,A,0.0564141035258815,0.2652663165791386,0.066316456,0.3510843,0.3174438732147331,3.3192123007208965,70
FOS,FAS,Activation,1.0,A,0.0564141035258815,0.0775693923480864,0.066316456,0.0856715,0.03151781165301259,0.8020774386013527,71
FOS,GSTP1,Activation,1.0,A,0.0564141035258815,0.5017254313578664,0.066316456,1.0215896,1.0397712805035295,6.490279081457167,72
FOS,HSPH1,Activation,1.0,A,0.0564141035258815,0.0951237809452349,0.066316456,0.11807974,0.06643082423321602,1.0374929293031772,73
FOS,MYC,Activation,1.0,A,0.0564141035258815,0.2238559639909906,0.066316456,0.45221072,0.426386166089969,2.7638731944498884,74
FOS,NFKB1,Repression,-1.0,A,0.0564141035258815,0.1135783945986474,0.066316456,0.13788496,0.08776675284315275,1.2849810092717613,75
FOS,PDHA1,Activation,1.0,A,0.0564141035258815,0.0784696174043504,0.066316456,0.082970805,0.028608384960594473,0.8141500278681129,76
FOS,TP53,Activation,1.0,A,0.0564141035258815,0.088522130532632,0.066316456,0.09647435,0.04315559383285483,0.9489606080136015,77
FOXO3,CCND2,Repression,-1.0,A,0.0549137284321081,0.1975993998499565,0.05701408,0.2948235,0.25683478064530296,2.4117560075027153,78
FOXO3,GALT,Activation,1.0,A,0.0549137284321081,0.0676669167291821,0.05701408,0.070967674,0.015677554295157856,0.6692789566669902,79
FOXO3,TNFSF10,Activation,1.0,A,0.0549137284321081,0.1237809452363064,0.05701408,0.17059359,0.1230033720076374,1.4218036876283775,80
FOXO3,TXNIP,Activation,1.0,A,0.0549137284321081,0.2652663165791386,0.05701408,0.35333446,0.31986794389513634,3.3192123007208965,81
GATA3,CD40LG,Activation,1.0,A,0.1150787696924208,0.086721680420104,0.13383391,0.1311331,0.08049305414431034,0.9248154294800818,82
GATA3,CD8A,Activation,1.0,A,0.1150787696924208,0.1386346586646628,0.13383391,0.21995643,0.17618137408101656,1.6210014105299209,83
GATA3,CD8B,Activation,1.0,A,0.1150787696924208,0.1665416354088476,0.13383391,0.31402802,0.2775235822697284,1.9952516777994875,84
GATA3,NFKB1,Activation,1.0,A,0.1150787696924208,0.1135783945986474,0.13383391,0.13788496,0.08776675284315275,1.2849810092717613,85
GATA3,ZEB1,Activation,1.0,A,0.1150787696924208,0.0573143285821456,0.13383391,0.059714746,0.003554908423980555,0.530444180099245,86
HBP1,MIF,Repression,-1.0,A,0.0846211552888213,0.6414103525881936,0.09062281,1.8064451,1.885286802023422,8.363542516016475,87
HIF1A,ALDOA,Activation,1.0,A,0.1845461365341281,0.7941485371343515,0.23646112,2.8526914,3.0123955322072047,10.41185849494384,88
HIF1A,BAX,Activation,1.0,A,0.1845461365341281,0.3726931732933322,0.23646112,0.5416253,0.5227114326392664,4.759874619887882,89
HIF1A,BNIP3,Activation,1.0,A,0.1845461365341281,0.3075768942235556,0.23646112,0.5030688,0.48117497248133706,3.8866239962587317,90
HIF1A,CXCR4,Activation,1.0,A,0.1845461365341281,0.5192798199550182,0.23646112,0.9659182,0.9797971415636322,6.725694572159036,91
HIF1A,EGLN1,Activation,1.0,A,0.1845461365341281,0.1158289572393075,0.23646112,0.12693222,0.07596749594405248,1.3151624824386623,92
HIF1A,ENO1,Activation,1.0,A,0.1845461365341281,0.7920480120030684,0.23646112,4.0055604,4.2543676325226345,10.383689119988059,93
HIF1A,FAM162A,Activation,1.0,A,0.1845461365341281,0.3054763690922725,0.23646112,0.47786364,0.4540217525543666,3.8584546213029527,94
HIF1A,ITGB2,Activation,1.0,A,0.1845461365341281,0.2025506376594086,0.23646112,0.252515,0.21125633538725944,2.478155248469896,96
HIF1A,LDHA,Activation,1.0,A,0.1845461365341281,0.7291822955739523,0.23646112,2.6508853,2.7949922141602577,9.540619969525814,97
HIF1A,MIF,Activation,1.0,A,0.1845461365341281,0.6414103525881936,0.23646112,1.8064451,1.885286802023422,8.363542516016475,98
HIF1A,NR3C1,Activation,1.0,A,0.1845461365341281,0.1740435108777145,0.23646112,0.21005414,0.16551375450825287,2.095856588355823,99
HIF1A,PFKFB3,Activation,1.0,A,0.1845461365341281,0.063615903975994,0.23646112,0.07201797,0.016809025719120945,0.6149523049665694,100
HIF1A,PGK1,Activation,1.0,A,0.1845461365341281,0.5441860465116608,0.23646112,1.3230307,1.3645102023484168,7.05970287520613,101
HIF1A,RORA,Activation,1.0,A,0.1845461365341281,0.2226556639159719,0.23646112,0.27786997,0.23857094385043673,2.7477764087608754,102
HIF1A,SOCS1,Activation,1.0,A,0.1845461365341281,0.2750187546886674,0.23646112,0.588142,0.5728233218467503,3.449998684444157,103
HIF1A,TFRC,Activation,1.0,A,0.1845461365341281,0.0684171042760688,0.23646112,0.07997005,0.025375707188981203,0.6793394477226239,104
HIF1A,VEGFB,Activation,1.0,A,0.1845461365341281,0.0597149287321831,0.23646112,0.063615724,0.007757385756569327,0.5626377514772735,105
HIF1A,VHL,Activation,1.0,A,0.1845461365341281,0.0549137284321081,0.23646112,0.057614233,0.0012920506818174277,0.4982506087212164,106
HSF1,HSPA1A,Activation,1.0,A,0.1164291072768168,0.0519129782445612,0.125282,0.056563992,0.0001606385087020279,0.45800864449868034,107
HSF1,HSPA4,Activation,1.0,A,0.1164291072768168,0.0813203300825198,0.125282,0.09152297,0.03782153088376017,0.8523798938795201,108
