dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,131,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,95,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,523,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,261,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,188,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,249,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,196,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,466,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,21,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,147,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,0,111,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,95,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,249,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,523,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,131,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,147,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,466,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,261,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,188,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,111,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,196,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,1,21,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,131,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,95,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,249,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,523,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,261,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,196,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,21,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,147,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,188,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,466,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,2,111,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,261,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,95,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,111,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,188,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,249,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,147,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,21,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,196,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,466,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,523,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,3,131,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,111,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,147,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,249,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,261,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,523,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,188,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,131,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,466,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,196,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,95,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,4,21,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,5,466,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_intersection,5,261,RELA,CCL5,all_caliper_candidates_excluded,False
