dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1507,MYC,RPL26,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1480,MYC,PKM,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1240,IRF7,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,2596,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1039,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1503,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1562,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,722,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1511,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,2821,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1693,NFKBIA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,513,ETS1,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1296,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1600,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,505,EP300,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,774,FOS,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,289,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,603,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1508,MYC,RPL27,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust_dorothea_union,0,1230,IRF3,CCL5,all_caliper_candidates_excluded,False
