dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,bone_marrow,trrust,0,376,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,405,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,358,IRF3,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,1148,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,79,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,141,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,366,IRF7,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,281,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,414,KLF13,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,703,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,600,NFKBIA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,1053,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,524,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,684,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,338,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,846,SP1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,73,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,167,EP300,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,99,CREBBP,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,0,512,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,358,IRF3,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,281,HIF1A,GAPDH,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,338,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,376,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,512,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,414,KLF13,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,405,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,684,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,167,EP300,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,846,SP1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,79,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,141,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,524,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,1053,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,1148,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,73,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,703,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,366,IRF7,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,bone_marrow,trrust,1,99,CREBBP,S100A4,all_caliper_candidates_excluded,False
