dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,lung,dorothea_ab,0,948,REL,NFKBIA,EIF5A,Activation,0.20851789448041055,0.25,0,1.5871584,1.4653529,0.5151460349036974,0.5148747626367655,0.094674915,0.0801157428338908,990
GSE126030_T_cells,lung,dorothea_ab,0,734,NFKB1,NFKBIA,EIF5A,Activation,0.20851789448041055,0.25,0,1.5871584,1.4653529,0.5151460349036974,0.5148747626367655,0.12225483,0.0955782620490096,767
GSE126030_T_cells,lung,dorothea_ab,0,728,RELA,NFKBIA,EIF5A,Activation,0.20851789448041055,0.25,0,1.5871584,1.4653529,0.5151460349036974,0.5148747626367655,0.13220173,0.1214395514965184,761
GSE126030_T_cells,lung,dorothea_ab,0,450,MYC,PKM,CD7,Activation,0.26002642934664044,0.25,0,1.9982157,2.0882657,0.6531331946830623,0.6379419477348753,0.40753916,0.1900714350302917,474
GSE126030_T_cells,lung,dorothea_ab,0,768,STAT1,HSP90AA1,RAN,Repression,0.09819990136386612,0.25,0,1.4430258,1.427927,0.5568315399222342,0.5499593091599592,0.39786178,0.2370015372095121,801
GSE126030_T_cells,lung,dorothea_ab,0,531,ETS1,COX4I1,BTG1,Activation,0.16016024458530093,0.25,0,2.5728402,2.6130724,0.8433854778913086,0.8328962835699414,0.3929772,0.2859209693462333,559
GSE126030_T_cells,lung,dorothea_ab,0,1537,E2F4,PKM,CD7,Activation,0.26002642934664044,0.25,0,1.9982157,2.0882657,0.6531331946830623,0.6379419477348753,0.19558777,0.1642101455827829,1586
GSE126030_T_cells,lung,dorothea_ab,0,175,MYC,HNRNPA1,PABPC1,Activation,0.17704080224554639,0.25,0,3.1533592,3.0907016,0.8244868432950522,0.8142689212406169,0.40753916,0.1900714350302917,184
GSE126030_T_cells,lung,dorothea_ab,0,492,HIF1A,COX4I1,BTG1,Activation,0.16016024458530093,0.25,0,2.5728402,2.6130724,0.8433854778913086,0.8328962835699414,0.33248553,0.2409801971245135,517
GSE126030_T_cells,lung,dorothea_ab,0,705,TP53,HSP90AB1,HSPA8,Repression,0.3172672622063559,0.25,0,1.6731519,1.5566847,0.5648792838412142,0.5827832534587203,0.11601565,0.1031738855231031,738
GSE126030_T_cells,lung,dorothea_ab,0,2002,ETS1,PKM,CD7,Activation,0.26002642934664044,0.25,0,1.9982157,2.0882657,0.6531331946830623,0.6379419477348753,0.3929772,0.2859209693462333,2055
GSE126030_T_cells,lung,dorothea_ab,0,665,HIF1A,NPM1,TRAC,Activation,0.17742775197460578,0.25,0,2.8443794,2.8831575,0.7699611176417382,0.7818970973867423,0.33248553,0.2409801971245135,698
GSE126030_T_cells,lung,dorothea_ab,0,1604,CTCF,RPL3,RPL28,Activation,0.18037038874001282,0.25,0,12.993248,12.905927,0.989601229767608,0.9969255809747696,0.09901552,0.091509178045031,1653
GSE126030_T_cells,lung,dorothea_ab,0,499,MYC,RPL23,MYL6,Activation,0.24626466481852916,0.25,0,3.5684152,3.4613678,0.8664436205805209,0.878379600325525,0.40753916,0.1900714350302917,526
GSE126030_T_cells,lung,dorothea_ab,0,498,MYC,RPS15A,RPS3,Activation,0.0647190640532943,0.25,0,13.257196,13.293607,0.9948458269282916,0.9935798896826096,0.40753916,0.1900714350302917,523
GSE126030_T_cells,lung,dorothea_ab,0,277,MYC,RPL3,RPL28,Activation,0.18037038874001282,0.25,0,12.993248,12.905927,0.989601229767608,0.9969255809747696,0.40753916,0.1900714350302917,290
GSE126030_T_cells,lung,dorothea_ab,0,540,HIF1A,PKM,CD7,Activation,0.26002642934664044,0.25,0,1.9982157,2.0882657,0.6531331946830623,0.6379419477348753,0.33248553,0.2409801971245135,568
GSE126030_T_cells,lung,dorothea_ab,0,285,MYC,RPL22,ATP5F1E,Activation,0.1620572496389337,0.25,0,4.2974544,4.2967157,0.9191608644542888,0.9309159960213382,0.40753916,0.1900714350302917,304
GSE126030_T_cells,lung,dorothea_ab,0,2084,ETS1,RPL3,RPL28,Activation,0.18037038874001282,0.25,0,12.993248,12.905927,0.989601229767608,0.9969255809747696,0.3929772,0.2859209693462333,2137
GSE126030_T_cells,lung,dorothea_ab,0,283,MYC,RPS16,RPL15,Activation,0.05317139759724245,0.25,0,10.181891,10.192679,0.988335292521926,0.991952256081018,0.40753916,0.1900714350302917,298
GSE126030_T_cells,lung,dorothea_ab,0,690,MYC,NPM1,VIM,Activation,0.1778945698714751,0.25,0,2.8443794,2.7404866,0.7699611176417382,0.769599421285829,0.40753916,0.1900714350302917,723
GSE126030_T_cells,lung,dorothea_ab,0,612,E2F4,RPS8,MT-CO2,Activation,0.1276570308794401,0.25,0,11.065043,10.995785,0.9858938421195388,0.9824577267384011,0.19558777,0.1642101455827829,642
GSE126030_T_cells,lung,dorothea_ab,0,284,MYC,RPL27,RPL14,Activation,0.17749503444068845,0.25,0,7.1209607,7.2188487,0.9724206528619204,0.9766705850438536,0.40753916,0.1900714350302917,302
GSE126030_T_cells,lung,dorothea_ab,0,506,MYC,DDX5,MYL12A,Activation,0.13964149406209136,0.25,0,1.8557435,1.8541336,0.7516050275793457,0.7414775296138877,0.40753916,0.1900714350302917,534
GSE126030_T_cells,lung,dorothea_ab,0,819,HIF1A,GAPDH,RPL10A,Activation,0.19037768246383813,0.25,0,6.6319346,6.5858545,0.9473731802152074,0.9599421285830526,0.33248553,0.2409801971245135,856
GSE126030_T_cells,lung,dorothea_ab,0,393,STAT1,RPS24,RPS7,Repression,0.18428269840874842,0.25,0,6.2936316,6.4012876,0.9642824848539632,0.9644633330319178,0.39786178,0.2370015372095121,417
GSE126030_T_cells,lung,dorothea_ab,0,1949,ETS1,EEF2,RPL36AP7,Activation,0.22945871311726018,0.25,0,2.685312,2.5664012,0.7848810923229933,0.7771950447599225,0.3929772,0.2859209693462333,1999
GSE126030_T_cells,lung,dorothea_ab,0,180,MYC,GAPDH,RPL10A,Activation,0.19037768246383813,0.25,0,6.6319346,6.5858545,0.9473731802152074,0.9599421285830526,0.40753916,0.1900714350302917,189
GSE126030_T_cells,lung,dorothea_ab,0,186,CEBPD,GAPDH,RPL10A,Activation,0.19037768246383813,0.25,0,6.6319346,6.5858545,0.9473731802152074,0.9599421285830526,0.13003108,0.093588932091509,195
GSE126030_T_cells,lung,dorothea_ab,0,849,IRF1,HLA-A,RPL8,Activation,0.05572622384261949,0.25,0,8.439071,8.462529,0.978840763179309,0.9816439099376054,0.7370306,0.4330409621123058,887
GSE126030_T_cells,lung,dorothea_ab,0,618,STAT1,S100A10,CD3D,Activation,0.22743201780843061,0.25,0,2.465595,2.5267167,0.7944660457545875,0.8091147481689106,0.39786178,0.2370015372095121,649
GSE126030_T_cells,lung,dorothea_ab,0,906,JUN,VIM,NPM1,Activation,0.1778945698714751,0.25,0,2.7404866,2.8443794,0.769599421285829,0.7699611176417382,0.31331745,0.212225336829731,947
GSE126030_T_cells,lung,dorothea_ab,0,164,MYC,HSPA8,RPL13AP25,Activation,0.09482750310721454,0.25,0,1.5566847,1.5114902,0.5827832534587203,0.5867619133737216,0.40753916,0.1900714350302917,173
GSE126030_T_cells,lung,dorothea_ab,0,321,E2F4,RPS15,RPL11,Activation,0.23065498133063198,0.25,0,11.462855,11.32854,0.9952979473731782,0.9939415860385188,0.19558777,0.1642101455827829,342
GSE126030_T_cells,lung,dorothea_ab,0,514,NFKB1,VIM,TRAC,Activation,0.2972769932387491,0.25,0,2.7404866,2.8831575,0.769599421285829,0.7818970973867423,0.12225483,0.0955782620490096,542
GSE126030_T_cells,lung,dorothea_ab,0,425,TP53,BTG1,BTF3,Activation,0.13180103704534663,0.25,0,2.6130724,2.6221185,0.8328962835699414,0.8234017542273245,0.11601565,0.1031738855231031,449
GSE126030_T_cells,lung,dorothea_ab,0,163,MYC,HSPE1,CYCS,Activation,0.08445413121922551,0.25,0,0.97836924,0.95847666,0.4221900714350294,0.4165837779184366,0.40753916,0.1900714350302917,172
GSE126030_T_cells,lung,dorothea_ab,0,324,E2F4,PPIA,RPL3P4,Activation,0.14286303208314086,0.25,0,2.2182667,2.300916,0.7550411429604832,0.7535943575368463,0.19558777,0.1642101455827829,346
GSE126030_T_cells,lung,dorothea_ab,0,320,E2F4,RPS4X,RPS16,Activation,0.08586577333907852,0.25,0,10.134352,10.181891,0.9863459625644252,0.988335292521926,0.19558777,0.1642101455827829,341
GSE126030_T_cells,lung,dorothea_ab,0,497,MYC,RPS20,RPL26P19,Activation,0.10354631886848983,0.25,0,6.5390935,6.504349,0.9662718148114638,0.9601229767610072,0.40753916,0.1900714350302917,522
GSE126030_T_cells,lung,dorothea_ab,0,945,ZEB2,VIM,NPM1,Activation,0.1778945698714751,0.25,0,2.7404866,2.8443794,0.769599421285829,0.7699611176417382,0.08192475,0.0693552762455917,987
GSE126030_T_cells,lung,dorothea_ab,0,177,MYC,HINT1,CD3D,Activation,0.1577138762804882,0.25,0,2.466699,2.5267167,0.8177954607107317,0.8091147481689106,0.40753916,0.1900714350302917,186
GSE126030_T_cells,lung,dorothea_ab,0,428,HIF1A,PPIA,RPL3P4,Activation,0.14286303208314086,0.25,0,2.2182667,2.300916,0.7550411429604832,0.7535943575368463,0.33248553,0.2409801971245135,452
GSE126030_T_cells,lung,dorothea_ab,0,760,MYC,PTMA,FTL,Activation,0.04465716024564449,0.25,0,8.618375,8.610155,0.9764897368658992,0.9795641558911274,0.40753916,0.1900714350302917,793
GSE126030_T_cells,lung,dorothea_ab,0,1595,CTCF,PTMA,HLA-B,Activation,0.11593903190697614,0.25,0,8.618375,8.6817045,0.9764897368658992,0.97947373180215,0.09901552,0.091509178045031,1644
GSE126030_T_cells,lung,dorothea_ab,0,1530,E2F4,PTMA,FTL,Activation,0.04465716024564449,0.25,0,8.618375,8.610155,0.9764897368658992,0.9795641558911274,0.19558777,0.1642101455827829,1579
GSE126030_T_cells,lung,dorothea_ab,0,1448,STAT1,S100A11,RPL3P4,Activation,0.08520825141906682,0.25,0,2.350677,2.300916,0.7537752057148009,0.7535943575368463,0.39786178,0.2370015372095121,1495
GSE126030_T_cells,lung,dorothea_ab,0,854,STAT3,S100A11,RPL3P4,Activation,0.08520825141906682,0.25,0,2.350677,2.300916,0.7537752057148009,0.7535943575368463,0.34668154,0.2682882719956591,892
GSE126030_T_cells,lung,dorothea_ab,0,494,HIF1A,DDIT4,CREM,Activation,0.13416404596889972,0.25,0,0.669762,0.6042047,0.3124152274165832,0.3177502486662441,0.33248553,0.2409801971245135,519
GSE126030_T_cells,lung,dorothea_ab,0,1994,ETS1,PTMA,MT-ND2,Activation,0.054744978877173577,0.25,0,8.618375,8.631579,0.9764897368658992,0.972872773306807,0.3929772,0.2859209693462333,2046
GSE126030_T_cells,lung,dorothea_ab,0,119,RORA,TUBA1B,S100A11,Activation,0.09629691244472338,0.25,0,2.366825,2.350677,0.7470838231304805,0.7537752057148009,0.39342964,0.2863730897911198,126
