dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,lung,dorothea_ab,0,486,NFYB,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,96,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,111,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,243,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,524,MYC,RPL6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,297,MYC,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,570,MAX,SERF2,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,845,HIF1A,LGALS1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,160,MYC,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,527,MYC,RPL13,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,303,MYC,RPL26,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,137,MYC,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1025,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,53,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,38,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,305,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,927,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1543,E2F4,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,373,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,525,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,802,MYC,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,340,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,2051,ETS1,PFN1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,300,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1288,TP53,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,648,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,2009,ETS1,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1998,ETS1,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,949,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,929,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,2008,ETS1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,924,ETS1,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,397,E2F4,LGALS1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1514,STAT1,SRGN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,823,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,2145,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,257,MYC,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,6,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,811,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,42,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1268,TP53,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1145,GATA3,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,639,E2F4,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,301,MYC,RPL27A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,1354,STAT1,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,dorothea_ab,0,875,JUND,CCL5,all_caliper_candidates_excluded,False
