dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,122,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,246,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,90,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,140,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,260,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,395,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,190,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,259,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,183,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,31,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,139,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,107,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,0,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,31,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,260,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,140,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,107,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,246,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,183,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,259,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,139,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,90,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,190,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,395,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,122,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,1,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,140,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,31,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,190,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,395,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,260,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,139,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,246,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,122,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,183,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,107,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,90,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,2,259,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,140,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,259,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,107,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,260,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,183,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,190,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,246,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,31,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,139,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,395,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,90,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,3,122,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,122,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,190,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,90,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,259,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,139,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,183,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,140,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,260,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,395,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,31,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,246,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,4,107,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,246,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,139,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,140,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,183,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,260,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,190,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,31,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,107,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,259,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,90,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,122,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,5,395,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,6,453,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,6,291,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,6,191,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_intersection,6,246,REL,CCL5,all_caliper_candidates_excluded,False
