tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,TRRUST,,,0.1226150646532233,0.4275250926846903,0.13654177,0.6769006,1.0845257467590663,5.650152432357667,0
AATF,CDKN1A,Unknown,TRRUST,,,0.1226150646532233,0.0531693643186543,0.13654177,0.05931813,0.02746112920590263,0.4894094061553563,1
AATF,MYC,Activation,TRRUST,,,0.1226150646532233,0.1900714350302917,0.13654177,0.40753916,0.6234821430486673,2.3766956239501154,2
AATF,TP53,Unknown,TRRUST,,,0.1226150646532233,0.1031738855231031,0.13654177,0.11601565,0.12450556489886012,1.178755032602187,3
AHR,MYC,Activation,DoRothEA_AB,1.0,A,0.0573288724116103,0.1900714350302917,0.062573396,0.40753916,0.6234821430486673,2.3766956239501154,5
AHR,PCNA,Activation,TRRUST,,,0.0573288724116103,0.084365675015824,0.062573396,0.09467497,0.08797849549787073,0.9194713250055493,6
AHR,VGLL4,Activation,DoRothEA_AB,0.5,B,0.0573288724116103,0.0559725110769507,0.062573396,0.057871345,0.02498478749123794,0.5280526510375474,7
AIP,AHR,Activation,TRRUST,,,0.2186454471471195,0.0573288724116103,0.26358518,0.062573396,0.03303289763599396,0.5467509953353825,8
AIP,NFKB2,Repression,TRRUST,,,0.2186454471471195,0.2054435301564332,0.26358518,0.2710919,0.38993670140412523,2.588610192658905,9
AIP,RSF1,Repression,TRRUST,,,0.2186454471471195,0.1447689664526627,0.26358518,0.16195028,0.20312805574351783,1.7521709244024444,10
APBB1,GMPS,Repression,TRRUST,,,0.0503662175603579,0.0548874220092231,0.051541667,0.058504313,0.02606818624257134,0.5130939755992804,11
APEX1,NFKB1,Activation,TRRUST,,,0.1777737589293784,0.0955782620490096,0.2196408,0.12225483,0.1351846510791161,1.0740443045343138,12
APEX1,RELA,Activation,TRRUST,,,0.1777737589293784,0.1214395514965184,0.2196408,0.13220173,0.15220993362047378,1.4305594024796915,13
ARID1A,CDKN1A,Unknown,TRRUST,,,0.0790306537661631,0.0531693643186543,0.08572277,0.05931813,0.02746112920590263,0.4894094061553563,14
ARID1A,SMAD3,Unknown,TRRUST,,,0.0790306537661631,0.0959399584049188,0.08572277,0.10362737,0.10330157499231128,1.0790305296804028,15
ASH1L,TGFB1,Unknown,TRRUST,,,0.1425987883172074,0.216113572655755,0.15860471,0.28564844,0.4148519218571885,2.735703834468536,16
ASH1L,TIMP1,Unknown,TRRUST,,,0.1425987883172074,0.1614069988244865,0.15860471,0.23880976,0.3346820437178446,1.9815372811225467,17
ATF1,BCL2,Activation,DoRothEA_AB,1.0,A,0.0982909847183287,0.0994664978750337,0.106340036,0.11927093,0.1300773572915886,1.1276462248547732,18
ATF1,FTH1,Activation,TRRUST,,,0.0982909847183287,0.9669952075232824,0.106340036,7.3082232,12.434809844105047,13.087107237749693,19
ATF1,GOLPH3,Activation,DoRothEA_AB,0.5,B,0.0982909847183287,0.076317931096844,0.106340036,0.08147272,0.06538130075059875,0.8085278155050647,20
ATF1,LDHA,Activation,DoRothEA_AB,1.0,A,0.0982909847183287,0.647979021611356,0.106340036,1.7008196,2.8370828524366574,8.689256658899028,21
ATF1,MAP1LC3B,Activation,DoRothEA_AB,1.0,A,0.0982909847183287,0.3097929288362414,0.106340036,0.40509352,0.6192961441953113,4.027136147305637,22
ATF1,SLC20A1,Activation,DoRothEA_AB,1.0,A,0.0982909847183287,0.0610362600596797,0.106340036,0.06483408,0.03690232266657903,0.5978598030827962,23
ATF1,STAT3,Activation,DoRothEA_AB,0.5,B,0.0982909847183287,0.2682882719956591,0.106340036,0.34668154,0.5193172097232511,3.454966811791902,24
ATF1,TFRC,Activation,DoRothEA_AB,0.5,B,0.0982909847183287,0.0690840039786597,0.106340036,0.08065887,0.06398830130390842,0.7088033125832806,25
ATF1,TSPAN31,Activation,DoRothEA_AB,0.5,B,0.0982909847183287,0.0640202549959308,0.106340036,0.06790862,0.04216475741355607,0.6389961605380331,26
ATF1,UBE2D3,Activation,DoRothEA_AB,0.5,B,0.0982909847183287,0.614883805045663,0.106340036,1.2811613,2.1187885971082787,8.233017058031868,27
