dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,lung,trrust_dorothea_union,0,1591,NFE2L2,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1510,MYC,RPL10,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1840,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1839,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1190,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,2495,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1098,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,639,ETS1,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1716,NFKBIA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,2681,TP53,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1112,HIF1A,LGALS1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1614,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1524,MYC,RPS19,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1603,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,697,ETS1,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,332,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1297,KLF13,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1574,NFAT5,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1815,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1352,MYC,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,569,ETS1,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1243,JUN,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1557,MYC,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1519,MYC,RPL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1284,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,425,E2F4,LGALS1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1228,IRF7,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,2607,TP53,EEF1A1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1219,IRF3,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,99,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1904,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1324,MAX,SERF2,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1244,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,2727,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1678,NFKB1,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,154,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,488,E2F4,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1526,MYC,RPS6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,341,E2F4,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,342,E2F4,ACTG1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,2372,STAT1,SRGN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,485,E2F4,RPL23A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,121,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1520,MYC,RPL6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1710,NFKBIA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,663,ETS1,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,560,EP300,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1573,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1409,MYC,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,783,ETS1,TMSB4X,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,728,ETS1,PFN1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1515,MYC,RPL26,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,1615,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,2554,TP53,ACTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust_dorothea_union,0,568,ETS1,ACTB,all_caliper_candidates_excluded,False
