dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,lung,trrust,0,1018,TP53,HSP90AB1,HSPA8,Repression,0.3172672622063559,0.25,0,1.6731519,1.5566847,0.5648792838412142,0.5827832534587203,0.11601565,0.1031738855231031,1046
GSE126030_T_cells,lung,trrust,0,588,NFKB1,NFKBIA,EIF5A,Activation,0.20851789448041055,0.25,0,1.5871584,1.4653529,0.5151460349036974,0.5148747626367655,0.12225483,0.0955782620490096,608
GSE126030_T_cells,lung,trrust,0,490,MYC,HNRNPA1,PABPC1,Activation,0.17704080224554639,0.25,0,3.1533592,3.0907016,0.8244868432950522,0.8142689212406169,0.40753916,0.1900714350302917,506
GSE126030_T_cells,lung,trrust,0,765,RELA,NFKBIA,EIF5A,Activation,0.20851789448041055,0.25,0,1.5871584,1.4653529,0.5151460349036974,0.5148747626367655,0.13220173,0.1214395514965184,791
GSE126030_T_cells,lung,trrust,0,642,NPM1,RPL3,RPL28,Unknown,0.18037038874001282,0.25,0,12.993248,12.905927,0.989601229767608,0.9969255809747696,2.8443794,0.7699611176417382,665
GSE126030_T_cells,lung,trrust,0,427,KHSRP,RPL3,RPL28,Unknown,0.18037038874001282,0.25,0,12.993248,12.905927,0.989601229767608,0.9969255809747696,0.062482968,0.0571480242336557,442
GSE126030_T_cells,lung,trrust,0,894,STAT1,HSP90AA1,RAN,Repression,0.09819990136386612,0.25,0,1.4430258,1.427927,0.5568315399222342,0.5499593091599592,0.39786178,0.2370015372095121,921
GSE126030_T_cells,lung,trrust,0,1126,ZBTB7A,PKM,CD7,Repression,0.26002642934664044,0.25,0,1.9982157,2.0882657,0.6531331946830623,0.6379419477348753,0.17904046,0.1563432498417575,1155
GSE126030_T_cells,lung,trrust,0,1098,YY1,COX7C,PFDN5,Activation,0.25980395504051107,0.25,0,2.8153625,2.7084901,0.8598426620851778,0.8732254272538187,0.23609658,0.2028212315760914,1127
GSE126030_T_cells,lung,trrust,0,487,MYC,HLA-C,ENSG00000244313,Activation,0.0682956052020263,0.25,0,4.5856333,4.6136575,0.93118726828827,0.9276607288181552,0.40753916,0.1900714350302917,503
