dataset,condition,edge_set,repeat,edge_id,tf,target,reason,in_common_supported_subset
GSE126030_T_cells,lung,trrust,0,443,KLF13,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,552,NFKB1,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,536,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,746,RELA,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,432,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,198,EP300,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,725,REL,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,392,IRF7,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,100,CREB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,309,HIF1A,ENO1,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,643,NFKBIA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,385,IRF3,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,563,NFKB1,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,1085,USF2,B2M,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,564,NFKB1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,366,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,81,CEBPB,GNLY,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,125,CREM,CCL4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,747,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,429,JUN,TXN,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,990,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,649,NFKBIA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,620,NFKB1,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,167,DNMT1,IL32,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,803,RELA,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,4,AHR,MT2A,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,122,CREBBP,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,93,CEBPZ,GZMB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,0,401,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,122,CREBBP,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,536,NFAT5,LTB,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,747,RELA,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,432,JUND,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,620,NFKB1,S100A6,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,366,IRF1,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,990,STAT4,S100A4,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,401,JUN,CCL5,all_caliper_candidates_excluded,False
GSE126030_T_cells,lung,trrust,1,564,NFKB1,CCL5,all_caliper_candidates_excluded,False
