dataset,condition,edge_set,repeat,edge_id,tf,positive_target,target,mode,match_distance,caliper_z,relaxed_bin,pos_target_mean_counts,neg_target_mean_counts,pos_target_detection_rate,neg_target_detection_rate,tf_mean_counts,tf_detection_rate,edge_id_original
GSE126030_T_cells,lymph_node,dorothea_ab,0,119,RORA,TUBA1B,LDHB,Activation,0.23151375322764606,0.25,0,2.3575716,2.2109284,0.7582743389606192,0.7689840866462277,0.24590701,0.1950747262055938,125
GSE126030_T_cells,lymph_node,dorothea_ab,0,625,RELA,S100A6,LTB,Activation,0.22278526896741166,0.25,0,3.8940048,4.0331492,0.8535124341987423,0.8429842076603475,0.13057321,0.1190173655230855,651
GSE126030_T_cells,lymph_node,dorothea_ab,0,277,MYC,RPL19,TPT1,Activation,0.1808828665779875,0.25,0,18.301725,18.448217,0.9992739154113462,0.9989108731169188,0.60675657,0.285230229321708,287
GSE126030_T_cells,lymph_node,dorothea_ab,0,606,E2F4,ACTG1,TRAC,Activation,0.30119199899093774,0.25,0,3.4108784,3.2318776,0.8443758697889859,0.8291886004721061,0.22176345,0.1799479639377921,630
GSE126030_T_cells,lymph_node,dorothea_ab,0,100,RELA,CD69,MT2A,Activation,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.13057321,0.1190173655230855,105
GSE126030_T_cells,lymph_node,dorothea_ab,0,859,ETS1,LTB,S100A6,Activation,0.22278526896741166,0.25,0,4.0331492,3.8940048,0.8429842076603475,0.8535124341987423,0.35590377,0.2819023416227901,890
GSE126030_T_cells,lymph_node,dorothea_ab,0,1569,ELK1,ACTG1,TRAC,Activation,0.30119199899093774,0.25,0,3.4108784,3.2318776,0.8443758697889859,0.8291886004721061,0.061172,0.0573001754704411,1611
GSE126030_T_cells,lymph_node,dorothea_ab,0,285,MYC,RPL26,RPS3A,Activation,0.0357853747880213,0.25,0,16.266724,16.294611,0.99897138016599,0.9982452955771351,0.60675657,0.285230229321708,299
GSE126030_T_cells,lymph_node,dorothea_ab,0,922,REL,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.09596319,0.0812609669026439,957
GSE126030_T_cells,lymph_node,dorothea_ab,0,1924,ETS1,PFN1,MT-ATP6,Activation,0.29478527786779674,0.25,0,6.0429473,6.207482,0.9387668663401116,0.9546197131967752,0.35590377,0.2819023416227901,1968
GSE126030_T_cells,lymph_node,dorothea_ab,0,283,MYC,RPS16,RPS17,Activation,0.14664508946625296,0.25,0,13.094225,12.975889,0.9978217462336366,0.9968536334484968,0.60675657,0.285230229321708,294
GSE126030_T_cells,lymph_node,dorothea_ab,0,716,RELA,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.13057321,0.1190173655230855,742
GSE126030_T_cells,lymph_node,dorothea_ab,0,1885,ETS1,ACTG1,TRAC,Activation,0.30119199899093774,0.25,0,3.4108784,3.2318776,0.8443758697889859,0.8291886004721061,0.35590377,0.2819023416227901,1929
GSE126030_T_cells,lymph_node,dorothea_ab,0,36,NFKB1,CD69,MT2A,Activation,0.18290035556514367,0.25,0,0.8637791,0.90594697,0.3293398680946379,0.3423488836449533,0.11804789,0.1009257578507906,36
GSE126030_T_cells,lymph_node,dorothea_ab,0,721,NFKB1,NFKBIA,TXN,Activation,0.24546453804365953,0.25,0,1.2340603,1.4307916,0.4717129545592527,0.474375264718387,0.11804789,0.1009257578507906,747
GSE126030_T_cells,lymph_node,dorothea_ab,0,397,STAT1,RPS24,RACK1,Repression,0.16470172369541608,0.25,0,8.569473,8.436063,0.98916923821645,0.989411266412735,0.62375486,0.3569915895201921,416
GSE126030_T_cells,lymph_node,dorothea_ab,0,132,MYC,ACTG1,TRAC,Activation,0.30119199899093774,0.25,0,3.4108784,3.2318776,0.8443758697889859,0.8291886004721061,0.60675657,0.285230229321708,138
GSE126030_T_cells,lymph_node,dorothea_ab,0,155,MYC,LTB,S100A6,Activation,0.22278526896741166,0.25,0,4.0331492,3.8940048,0.8429842076603475,0.8535124341987423,0.60675657,0.285230229321708,161
GSE126030_T_cells,lymph_node,dorothea_ab,0,745,MYC,PTMA,RPL14,Activation,0.07469925814519388,0.25,0,10.589342,10.647172,0.9925576329644392,0.9941913232893624,0.60675657,0.285230229321708,771
GSE126030_T_cells,lymph_node,dorothea_ab,0,529,ETS1,COX4I1,SERF2,Activation,0.05762619862660445,0.25,0,3.2437956,3.271388,0.91172021540527,0.9082713136082096,0.35590377,0.2819023416227901,553
GSE126030_T_cells,lymph_node,dorothea_ab,0,499,MYC,RPS20,RPL29,Activation,0.043613158085748956,0.25,0,10.931576,10.962453,0.9959460277124284,0.9943728444365764,0.60675657,0.285230229321708,519
GSE126030_T_cells,lymph_node,dorothea_ab,0,284,MYC,RPL27,RPLP0,Activation,0.19829084794083715,0.25,0,10.647241,10.796741,0.9955829854180008,0.9901978580506612,0.60675657,0.285230229321708,298
GSE126030_T_cells,lymph_node,dorothea_ab,0,7,JUN,TXN,NFKBIA,Activation,0.24546453804365953,0.25,0,1.4307916,1.2340603,0.474375264718387,0.4717129545592527,0.09759687,0.0778120651055843,7
GSE126030_T_cells,lymph_node,dorothea_ab,0,1897,ETS1,ALDOA,HSPA8,Activation,0.05478016499293572,0.25,0,1.8180721,1.8292655,0.6981908392328834,0.6942578810432531,0.35590377,0.2819023416227901,1941
GSE126030_T_cells,lymph_node,dorothea_ab,0,1157,TFDP1,PTMA,RPL27,Activation,0.08228006522523311,0.25,0,10.589342,10.647241,0.9925576329644392,0.9955829854180008,0.12512715,0.1026199552247847,1194
GSE126030_T_cells,lymph_node,dorothea_ab,0,329,E2F4,RPS4X,RPS13,Activation,0.12389513210991733,0.25,0,14.840935,14.742671,0.9967326193503544,0.9986083378715628,0.22176345,0.1799479639377921,345
GSE126030_T_cells,lymph_node,dorothea_ab,0,427,TP53,BTG1,OAZ1,Activation,0.06058654582641256,0.25,0,3.118656,3.0699322,0.8581109699281562,0.8586555333697973,0.14055775,0.1242209717432105,446
GSE126030_T_cells,lymph_node,dorothea_ab,0,246,MYC,TXN,TRBC1,Activation,0.17563618064346492,0.25,0,1.4307916,1.5377747,0.474375264718387,0.4657832637502717,0.60675657,0.285230229321708,255
GSE126030_T_cells,lymph_node,dorothea_ab,0,617,NFE2L2,TXN,TRBC1,Activation,0.17563618064346492,0.25,0,1.4307916,1.5377747,0.474375264718387,0.4657832637502717,0.23628646,0.2015489804562129,643
