tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
TP53,BCL2,Repression,-1.0,A,0.1242209717432105,0.1349307194288143,0.14055775,0.15768246,0.13116585551789783,1.577198305233156,0
MYC,TFAP4,Activation,1.0,A,0.285230229321708,0.0577842318630108,0.60675657,0.06171656,0.012714100234025284,0.5374014244718764,1
MYC,ST3GAL1,Activation,1.0,A,0.285230229321708,0.0940884613057426,0.60675657,0.10231622,0.06282670263684159,1.0267176036536652,2
MYC,HLA-F,Activation,1.0,A,0.285230229321708,0.2895867368548369,0.60675657,0.36909392,0.39211332252572256,3.6616852285473747,3
MYC,HDAC2,Activation,1.0,A,0.285230229321708,0.1480002420281949,0.60675657,0.17172153,0.14849443248172725,1.7533521297385612,4
IRF3,PURA,Repression,-1.0,A,0.2005808676710736,0.0920917286863923,0.2368319,0.09910937,0.05886845276441725,0.999805213798666,5
IRF3,IRF7,Activation,1.0,A,0.2005808676710736,0.1204695347007948,0.2368319,0.13408288,0.10203663696253418,1.3822873605257704,6
JUN,TXN,Activation,1.0,A,0.0778120651055843,0.474375264718387,0.09759687,1.4307916,1.7025783291251004,6.152304580583288,7
JUN,POLD2,Activation,1.0,A,0.0778120651055843,0.165002722817204,0.09759687,0.21177918,0.19793802603992885,1.9825152069886498,8
JUN,PDHA1,Activation,1.0,A,0.0778120651055843,0.0790222060870087,0.09759687,0.08573752,0.042363432711537516,0.8236513892932201,9
JUN,NFKB2,Activation,1.0,A,0.0778120651055843,0.2034852060264915,0.09759687,0.25389338,0.24992004165564302,2.501190356921235,10
JUN,ETS2,Activation,1.0,A,0.0778120651055843,0.0502208507291091,0.09759687,0.053790268,0.002930591713889319,0.43546055380901405,11
JUN,CREM,Activation,1.0,A,0.0778120651055843,0.2303503358141073,0.09759687,0.362256,0.3836732034158023,2.8632843295156816,12
JUN,CD82,Activation,1.0,A,0.0778120651055843,0.0923942639317484,0.09759687,0.11441758,0.07776354304913433,1.003882848625181,13
JUN,BATF3,Activation,1.0,A,0.0778120651055843,0.1168996188055928,0.09759687,0.23961097,0.2322911074802335,1.334171269572894,14
IRF9,PML,Activation,1.0,A,0.1447328613783498,0.0500998366309666,0.16403659,0.05209606,0.0008394123322966966,0.43382949987840735,15
NCOA3,BCL2,Activation,1.0,A,0.143038664004356,0.1349307194288143,0.16458091,0.15768246,0.13116585551789783,1.577198305233156,16
